gameId,date,sport,teamName,isHome,playerName,playerNumber,playerPosition,playerId,g,po,a,tc,e,fldPct,ci,pb,sba,csb,idp
6531499,2/07/26,softball,Emporia St.,1.0,Avery Brewer,10,1B,9657555.0,1,10,0,10,0,1.0,0,0,0,0,0
6531499,2/07/26,softball,Emporia St.,1.0,Addison Callaway,13,DP,11235900.0,1,0,0,0,0,0.0,0,0,0,0,0
6531499,2/07/26,softball,Emporia St.,1.0,Mallory Moore,11,2B,9660874.0,1,0,0,0,0,0.0,0,0,0,0,0
6531499,2/07/26,softball,Emporia St.,1.0,Sophia Garcia,17,PR,11235902.0,1,0,0,0,0,0.0,0,0,0,0,0
6531499,2/07/26,softball,Emporia St.,1.0,Sydney Wagner,1,SS,9655043.0,1,0,4,4,0,1.0,0,0,0,0,0
6531499,2/07/26,softball,Emporia St.,1.0,Leslie Ramos,18,C,9662350.0,1,7,0,7,0,1.0,0,0,2,0,0
6531499,2/07/26,softball,Emporia St.,1.0,Juliana De Luna,25,LF,9665396.0,1,1,0,1,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Megan Ireland,2,2B,9669097.0,1,1,2,3,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Lily Roth,25,CF,9660715.0,1,2,0,2,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Tiffany Pope,29,LF,9664729.0,1,1,0,1,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Adriana Portillo,9,3B,9665380.0,1,1,2,3,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Kayla Jade Rodriguez,10,1B,11228267.0,1,6,0,6,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,ChaCha Miranda,14,C,9654133.0,1,5,0,6,1,0.833,0,0,1,0,0
6532847,2/28/26,softball,Vanguard,,Preslee Brower,3,PR,9669668.0,1,0,0,0,0,0.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Leah Mays,18,SS,11228273.0,1,1,0,1,0,1.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Andrea Connor,21,DP,9668000.0,1,0,0,0,0,0.0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Isabella Bastien,6,RF,11228262.0,1,1,0,2,1,0.5,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Julia Doan,77,LF,9667489.0,1,0,0,0,0,0.0,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Hailey Burns,12,CF,9669355.0,1,0,0,0,0,0.0,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Hannah Tipton,5,1B,9655368.0,1,7,0,7,0,1.0,0,0,0,0,1
6532847,2/28/26,softball,Azusa Pacific,1.0,Maddy Debs,99,P/DP,9658202.0,1,0,0,0,0,0.0,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Alexus Corona,18,C,9660230.0,1,4,1,5,0,1.0,0,0,2,0,0
