gameId,date,sport,teamName,isHome,playerName,playerNumber,playerPosition,playerId,ab,r,h,doubles,triples,tb,hr,rbi,bb,hbp,sf,sh,k,oppDp,cs,picked,sb,ibb
6528365,2/06/26,softball,Emporia St.,,Sydney Wagner,1,SS,9655043,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Taryn Burkhardt,8,CF,9661823,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Brooke Flewelling,2,3B,9655095,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Avery Brewer,10,1B,9657555,3,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Karli Wehunt,4,2B,9665846,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Mallory Moore,11,DH,9660874,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Leslie Ramos,18,C,9662350,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Kinsey Perine,6,RF,9662933,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6528365,2/06/26,softball,Emporia St.,,Elina Bartlett,21,LF,11235897,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Caroline Wilhelm,12,1B,9669319,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Aubree Jones,16,CF,11216469,4,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Aly White,33,P,9661746,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Aaliyah Dixon,5,RF,11216466,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Anna Winkfield,27,LF,9668865,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Miya Curry,11,SS,11216467,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Sophia Wahrmund,6,PR,9664288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Sharlee Jackson,1,C,9660917,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Addy Ward,15,PR,9654608,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Abigayle Lowery,55,PR,11216473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Destiney Madewell,2,2B,9663371,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,Jenny Shank,99,DH,11216474,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6528365,2/06/26,softball,Arkansas Tech,1.0,AJ Fike,7,PR,9661809,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Megan Ireland,2,2B,9669097,2,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Lily Roth,25,CF,9660715,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Tiffany Pope,29,LF,9664729,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Adriana Portillo,9,3B,9665380,2,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Kayla Jade Rodriguez,10,1B,11228267,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,ChaCha Miranda,14,C,9654133,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
6532847,2/28/26,softball,Vanguard,,Preslee Brower,3,PR,9669668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Leah Mays,18,SS,11228273,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6532847,2/28/26,softball,Vanguard,,Andrea Connor,21,DP,9668000,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
6532847,2/28/26,softball,Vanguard,,Isabella Bastien,6,RF,11228262,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Julia Doan,77,LF,9667489,4,2,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Hailey Burns,12,CF,9669355,3,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Hannah Tipton,5,1B,9655368,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Maddy Debs,99,P/DP,9658202,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6532847,2/28/26,softball,Azusa Pacific,1.0,Alexus Corona,18,C,9660230,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
