ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2309110226,BRIELLE,COPPOLA,Brielle Coppola,Saint Peter's University,Metro Atlantic Athletic Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1196,116370,3093741,Brielle Coppola,100.0,team+lastname,HIGH,P,So,1196
2310131314,GRACE,CONAWAY,Grace Conaway,Stonehill College,Northeast Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,2062,107004,3088821,Grace Conaway,100.0,team+lastname,HIGH,3B,So,2062
2302777677,ELLA,DARDIS,Ella Dardis,Oregon State University,West Coast Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1356,106845,3095916,Ella Dardis,100.0,team+lastname,HIGH,RF,So,1356
2211725532,OLIVIA,MOECKEL,Olivia Moeckel,Fairfield University,Metro Atlantic Athletic Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1310,141632,3234409,Olivia Moeckel,100.0,team+lastname,HIGH,C,Fr,1310
2311153251,MORGAN,KOSTECKA,Morgan Kostecka,University of Wisconsin-Green Bay,Horizon League,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1361,146153,3104175,Morgan Kostecka,100.0,team+lastname,HIGH,P,Fr,1361
2209668582,SYDNEY,SHILLER,Sydney Shiller,University of Mississippi,Southeastern Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1243,107060,3087239,Sydney Shiller,100.0,team+lastname,HIGH,CF,So,1243
2311167300,MORGAN,YOUNG,Morgan Young,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1359,140022,3243186,Morgan Young,100.0,team+lastname,HIGH,C,Fr,1359
2206572512,ALEXANDRA,BATSON,Alexandra Batson,Western Carolina University,Southern Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1193,107132,3084276,AG Batson,64.0,team+lastname_diff_first+confirmed,HIGH,P,So,1193
2009922080,SIERRA,ALBRIGHT,Sierra Albright,"Fairleigh Dickinson University, Metropolitan Campus",Northeast Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1368,141637,3227185,Sierra Albright,100.0,team+lastname,HIGH,P,Fr,1368
2309109051,KAYDEN,FRAZIER,Kayden Frazier,Stephen F. Austin State University,Southland Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1354,145270,3234814,Kayden Frazier,100.0,team+lastname,HIGH,1B,Fr,1354
