ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id,hitting_sum,pitching_sum,has_hitting,has_pitching,hitting_sum_f,pitching_sum_f,hitting_rank,pitching_rank,stat_percentile,twp,conf_adjust,hs_adjust,mlb_adjust,fielding_rank,prod_term,sixty_four_rating_portal_player,portal_rank
2106189114,MARIANA,PALAZUELOS,Mariana Palazuelos,"University of California, Riverside",Big West Conference,I,06/08/2026,06/09/2026,Active,2025-26,Softball,1236,93716,2969034,Mariana Palazuelos,100.0,team+lastname,HIGH,C,Jr,1236,0.671428,0.0,True,False,0.671428,0.0,0.7162,0.0,0.7162,0.0,0.118546,0.0,0.0,0.0,0.16375,0.9985,454
2302775744,IZABELLA,CHAVEZ,Izabella Chavez,North Carolina Central University,Mid-Eastern Athletic Conf.,I,05/07/2026,05/07/2026,Active,2025-26,Softball,1302,81594,2944894,Izabella Chavez,100.0,team+lastname+confirmed,HIGH,C,So,1302,0.832889,0.0,True,False,0.832889,0.0,0.7745,0.0,0.7745,0.0,0.0,0.0,0.0,0.0,0.22305,0.9976,455
2311167360,LOLA,MEYER,Lola Meyer,University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,I,05/05/2026,05/05/2026,Active,2025-26,Softball,1199,115556,3098436,Lola Meyer,100.0,team+lastname,HIGH,CF,So,1199,0.763789,0.0,True,False,0.763789,0.0,0.7534,0.0,0.7534,0.0,0.079834,0.0,0.0,0.0,0.16365,0.9969,456
2308991250,MARY,HODGE,Mary Hodge,Arizona State University,Big 12 Conference,I,06/18/2026,07/21/2026,Signed,2025-26,Softball,1191,139985,3230842,Mary Peyton Hodge,92.0,team+lastname+confirmed,HIGH,P,Fr,1191,0.0,0.619992,False,True,0.0,0.619992,0.0,0.5236,0.5236,0.0,0.182742,0.0,0.0,0.0,0.2905,0.9968,457
2303829971,PAIGE,CRUZAN,Paige Cruzan,Westminster College (Missouri),St. Louis Intercollegiate Athletic Conference,III,06/15/2026,07/02/2026,Matriculated,2025-26,Softball,2021,119740,3101388,Paige Cruzan,100.0,team+lastname,HIGH,UT,So,2021,0.878985,0.056848,True,True,0.878985,0.056848,0.7906,0.0751,0.7906,0.00751,-0.04356,0.0,0.0,0.0,0.2399,0.9944,458
2203467977,AVA,ELDRIDGE,Ava Eldridge,University of Texas at San Antonio,American Conference,I,06/08/2026,06/08/2026,Active,2025-26,Softball,1374,108133,3105328,Ava Eldridge,100.0,team+lastname,HIGH,P,So,1374,0.0,0.868436,False,True,0.0,0.868436,0.0,0.6481,0.6481,0.0,0.137902,0.0,0.0,0.0,0.20665,0.9927,459
2005858008,REGANNE,BENNETT,Reganne Bennett,University of Michigan,Big Ten Conference,I,06/08/2026,06/30/2026,Signed,2025-26,Softball,1222,96466,2930086,Reganne Bennett,100.0,team+lastname,HIGH,P,Jr,1222,0.778924,0.650631,True,True,0.778924,0.650631,0.7575,0.5429,0.7575,0.054290000000000005,0.180322,0.0,0.0,0.0,0.0,0.9921,460
2209674135,JACOBI,GLEDHILL,Jacobi Gledhill,Salem University (West Virginia),Independent,II,06/01/2026,06/01/2026,Active,2025-26,Softball,1558,144644,3223273,Jacobi Gledhill,100.0,team+lastname,HIGH,C,Fr,1558,0.898387,0.0,True,False,0.898387,0.0,0.7963,0.0,0.7963,0.0,0.0,0.0,0.0,0.0,0.195225,0.9915,461
1905565951,ANNA,REICHTER,Anna Reichter,Lincoln Memorial University,South Atlantic Conference,II,05/04/2026,05/04/2026,Active,2025-26,Softball,1425,80475,2796182,Anna Kate Reichter,92.0,team+lastname+confirmed,HIGH,CF,Sr,1425,1.156379,0.0,True,False,1.156379,0.0,0.8561,0.0,0.8561,0.0,0.058059,0.0,0.0,0.0,0.075825,0.99,462
2310127039,HANNAH,TRZINSKI,Hannah Trzinski,"University of Minnesota, Crookston",Northern Sun Intercollegiate Conference,II,05/06/2026,05/06/2026,Active,2025-26,Softball,1607,105702,3086123,Hannah Trzinski,100.0,team+lastname,HIGH,1B,So,1607,0.438991,0.802874,True,True,0.438991,0.802874,0.6023,0.6159,0.6159,0.06023,0.045961,0.0,0.0,0.0,0.2673,0.9894,463
2103121558,GISELLE,LAI,Giselle Lai,Claremont McKenna-Harvey Mudd-Scripps Colleges,Southern California Intercollegiate Athletic Conf.,III,07/21/2026,07/22/2026,Active,2025-26,Softball,1745,85881,2958384,Giselle Lai,100.0,team+lastname,HIGH,2B,Jr,1745,0.954383,0.0,True,False,0.954383,0.0,0.8076,0.0,0.8076,0.0,0.007249,0.0,0.0,0.0,0.171275,0.9861,464
2305916733,HANNAH,NITEN,Hannah Niten,Concord University,Mountain East Conference,II,05/28/2026,05/29/2026,Active,2025-26,Softball,1507,141142,3232906,Hannah Niten,100.0,team+lastname,HIGH,C,Fr,1507,0.666176,0.0,True,False,0.666176,0.0,0.7146,0.0,0.7146,0.0,0.029025,0.0,0.0,0.0,0.242212,0.9858,465
2209658878,MAKAYLA,GARCIA,Makayla Garcia,Texas Tech University,Big 12 Conference,I,06/08/2026,06/23/2026,Signed,2025-26,Softball,1113,93409,2943114,Makayla Garcia,100.0,team+lastname,HIGH,RF,Jr,1113,0.930282,0.0,True,False,0.930282,0.0,0.8011,0.0,0.8011,0.0,0.182742,0.0,0.0,0.0,0.0,0.9838,466
2309998799,GABRIELLA,BELTRAN,Gabriella Beltran,University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,I,05/12/2026,05/12/2026,Active,2025-26,Softball,1199,143079,3225336,Gabriella Beltran,100.0,team+lastname,HIGH,1B,Fr,1199,0.705448,0.0,True,False,0.705448,0.0,0.7324,0.0,0.7324,0.0,0.079834,0.0,0.0,0.0,0.16835,0.9806,467
2005860558,TAMYA,GRANT-WAITERS,Tamya Grant-Waiters,"University of California, Berkeley",Atlantic Coast Conference,I,05/15/2026,07/15/2026,Signed,2025-26,Softball,1118,98613,2801985,Tamya Waiters,100.0,human_override,HIGH,P,Jr,1118,0.0,0.599411,False,True,0.0,0.599411,0.0,0.5021,0.5021,0.0,0.185161,0.0,0.0,0.0,0.29335,0.9806,468
2107253507,JAYLA,CADENA,Jayla Cadena,Monmouth University,Coastal Athletic Association,I,05/04/2026,05/04/2026,Active,2025-26,Softball,1335,87752,2818944,Jayla Cadena,100.0,team+lastname,HIGH,P,Sr,1335,0.5594,0.330822,True,True,0.5594,0.330822,0.6589,0.3155,0.6589,0.03155,0.116127,0.0,0.0,0.0,0.1733,0.9799,469
2107254679,CAYDEN,THOMAS,Cayden Thomas,University of North Carolina at Pembroke,Conference Carolinas,II,05/04/2026,05/15/2026,Active,2025-26,Softball,1528,105808,3090468,Cayden Thomas,100.0,team+lastname,HIGH,UT,So,1528,0.73149,0.0,True,False,0.73149,0.0,0.7413,0.0,0.7413,0.0,0.05322,0.0,0.0,0.0,0.185062,0.9796,470
