ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2110339167,BLAKE,ALTHUISIUS,Blake Althuisius,Westminster College (Missouri),St. Louis Intercollegiate Athletic Conference,III,04/01/2026,04/01/2026,Active,2025-26,Baseball,898,116133,3101444,Blake Althuisius,100.0,team+lastname,HIGH,P,Jr,898
2101996488,BRANDON,METIVIER,Brandon Metivier,Bellarmine University,Atlantic Sun Conference,I,04/01/2026,04/01/2026,Active,2025-26,Baseball,64,104028,3106788,Brandon Metivier,100.0,team+lastname,HIGH,P,Sr,64
2310137683,BLAKE,COULTHARD,Blake Coulthard,Rhodes College,Southern Athletic Association,III,09/24/2025,03/31/2026,Active,2025-26,Baseball,642,131000,3239494,Blake Coulthard,100.0,human_override,HIGH,P,So,300
2301759735,MICHAEL,THOMAS,Michael Thomas,Edward Waters University,Southern Intercol. Ath. Conf.,II,03/31/2026,03/31/2026,Active,2025-26,Baseball,234,103456,3102417,Michael Thomas,100.0,team+lastname,HIGH,LF,,234
2107252614,CALEB,WARREN,Caleb Warren,Westminster College (Missouri),St. Louis Intercollegiate Athletic Conference,III,03/31/2026,03/31/2026,Active,2025-26,Baseball,898,115467,3101485,Caleb Warren,100.0,team+lastname,HIGH,C,Sr,898
2305915491,LOGAN,WILSON,Logan Wilson,Southwestern University (Texas),Southern Athletic Association,III,03/30/2026,03/31/2026,Active,2025-26,Baseball,730,71620,2943582,Logan Wilson,100.0,team+fullname,HIGH,CF,Jr,730
2212740695,NOLAN,DREHER,Nolan Dreher,Fort Hays State University,Mid-America Intercollegiate Athletics Association,II,03/31/2026,03/31/2026,Active,2025-26,Baseball,271,104415,3098977,Nolan Dreher,100.0,team+lastname,HIGH,P,Fr,271
2309109325,BLAKE,BIBLE,Blake Bible,Tusculum University,South Atlantic Conference,II,03/31/2026,03/31/2026,Active,2025-26,Baseball,803,137543,3240707,Blake Bible,100.0,team+lastname,HIGH,OF,Fr,803
2002801454,PIERCE,GRITZMAKER,Pierce Gritzmaker,Winona State University,Northern Sun Intercollegiate Conference,II,03/30/2026,03/30/2026,Active,2025-26,Baseball,918,63098,2833273,Pierce Gritzmaker,100.0,team+lastname,HIGH,P,Sr,918
2206599007,HAGEN,HACKER,Hagen Hacker,University of Central Oklahoma,Mid-America Intercollegiate Athletics Association|Mid-America Intercollegiate Athletics Association,II,03/30/2026,03/30/2026,Active,2025-26,Baseball|Football,139,104200,3107292,Hagen Hacker,100.0,team+lastname,HIGH,P,,139
