ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id,hitting_sum,pitching_sum,has_hitting,has_pitching,hitting_sum_f,pitching_sum_f,hitting_rank,pitching_rank,stat_percentile,twp,conf_adjust,hs_adjust,mlb_adjust,fielding_rank,prod_term,sixty_four_rating_portal_player,portal_rank
2011969022,KENNETH,GASKINS III,Kenneth Gaskins Iii,Lincoln University (Pennsylvania),Central Atlantic Collegiate Conference,II,05/05/2026,05/05/2026,Active,2025-26,Baseball,407,118631,3105859,Kenneth Gaskins III,100.0,human_override,HIGH,1B,Sr,407,0.500997,0.022591,True,True,0.500997,0.022591,0.51,0.0634,0.51,0.00634,0.038703,0.0,0.0,0.0,0.156675,0.7117,2274
2208636741,COLE,CARTER,Cole Carter,Pittsburg State University,Mid-America Intercollegiate Athletics Association,II,06/01/2026,06/01/2026,Active,2025-26,Baseball,613,135262,3227578,Cole Carter,100.0,team+lastname,HIGH,OF,Jr,613,0.486871,0.0,True,False,0.486871,0.0,0.5036,0.0,0.5036,0.0,0.067737,0.0,0.0,0.0,0.140025,0.7114,2275
2308980445,JON,WYLIE,Jon Wylie,Xavier University,BIG EAST Conference,I,06/01/2026,06/05/2026,Active,2025-26,Baseball,937,115472,3111682,Jon Wylie,100.0,team+lastname,HIGH,P,So,937,0.0,0.423943,False,True,0.0,0.423943,0.0,0.5162,0.5162,0.0,0.111288,0.035812,0.0,0.0,0.0476,0.7109,2276
2110354704,LAMONT,AKINS III,Lamont Akins Iii,Wheeling University,Mountain East Conference,II,05/14/2026,05/14/2026,Active,2025-26,Baseball,902,53588,2816914,Lamont Akins,100.0,human_override,HIGH,P,Jr,902,0.0,0.373155,False,True,0.0,0.373155,0.0,0.4748,0.4748,0.0,0.029025,0.0,0.0,0.0,0.20685,0.7107,2277
2502520647,KADE,JOHNSON,Kade Johnson,Christian Brothers University,Gulf South Conference,II,05/04/2026,05/04/2026,Active,2025-26,Baseball,151,129092,3248407,Kade Johnson,100.0,team+lastname+confirmed,HIGH,P,Jr,151,0.0,0.553104,False,True,0.0,0.553104,0.0,0.5998,0.5998,0.0,0.070156,0.0,0.0,0.0,0.040612,0.7106,2278
2105179348,AIDAN,ZACARIAS,Aidan Zacarias,Tuskegee University,Southern Intercol. Ath. Conf.,II,05/08/2026,05/08/2026,Active,2025-26,Baseball,804,137581,3233376,Aidan Zacarias,100.0,team+lastname,HIGH,P,Jr,804,0.0,0.514517,False,True,0.0,0.514517,0.0,0.5813,0.5813,0.0,0.026605,0.0,0.0,0.0,0.101962,0.7099,2279
2507662277,BRAEDAN,TRISSELL,Braedan Trissell,Webster University,St. Louis Intercollegiate Athletic Conference,III,05/04/2026,07/21/2026,Active,2025-26,Baseball,877,138246,3238734,Braedan Trissell,100.0,team+lastname,HIGH,SS,Fr,877,0.556665,0.0,True,False,0.556665,0.0,0.5453,0.0,0.5453,0.0,-0.04356,0.0,0.0,0.0,0.20795,0.7097,2280
2606957135,BRADY,SHEA,Brady Shea,Salve Regina University,New England Women's and Men's Athletic Conference,III,06/11/2026,06/11/2026,Active,2025-26,Baseball,681,125963,3117144,Brady Shea,100.0,team+lastname,HIGH,P,So,681,0.0,0.5075,False,True,0.0,0.5075,0.0,0.5774,0.5774,0.0,-0.002428,0.0,0.0,0.0,0.13465,0.7096,2281
2002815785,BENJAMIN,AYALA,Benjamin Ayala,Missouri Western State University,Mid-America Intercollegiate Athletics Association,II,06/09/2026,06/09/2026,Active,2025-26,Baseball,493,52706,2810484,Ben Ayala,92.0,team+lastname+confirmed,HIGH,P,Jr,493,0.0,0.565701,False,True,0.0,0.565701,0.0,0.6067,0.6067,0.0,0.067737,0.0,0.0,0.0,0.034988,0.7094,2282
2605938283,JASON,SMITH,Jason Smith,Willamette University,Northwest Conference,III,05/26/2026,07/23/2026,Active,2025-26,Baseball,909,62982,2817860,Jason Smith,100.0,team+lastname,HIGH,1B,Sr,909,0.595974,0.0,True,False,0.595974,0.0,0.5623,0.0,0.5623,0.0,-0.041141,0.0,0.0,0.0,0.18825,0.7094,2283
2009919481,NATHAN,WILSON,Nathan Wilson,Whitman College,Northwest Conference,III,10/23/2025,10/25/2025,Active,2025-26,Baseball,903,62902,2811734,Nathan Wilson,100.0,team+lastname,HIGH,DH,Sr,903,0.627773,0.0,True,False,0.627773,0.0,0.5768,0.0,0.5768,0.0,-0.041141,0.0,0.0,0.0,0.173525,0.7092,2284
2307965981,JAMES,WELSHER,James Welsher,New Mexico Highlands University,Rocky Mountain Athletic Conference,II,05/17/2026,05/17/2026,Active,2025-26,Baseball,521,104167,3102444,Jimi Welsher,80.0,team+lastname_diff_first+confirmed,HIGH,P,Sr,521,0.119942,0.623482,True,True,0.119942,0.623482,0.2335,0.6412,0.6412,0.023350000000000003,0.043542,0.0,0.0,0.0,0.000637,0.7087,2285
2411456005,EVAN,THEOHARIS,Evan Theoharis,"Pennsylvania Western University, Clarion",Pennsylvania State Athletic Conference,II,05/05/2026,05/05/2026,Active,2025-26,Baseball,155,129126,3247599,Evan Theoharis,100.0,team+lastname,HIGH,P,Fr,155,0.0,0.210211,False,True,0.0,0.210211,0.0,0.3191,0.3191,0.0,0.072576,0.0,0.0,0.0,0.317025,0.7087,2286
2110360603,TYLER,JENKINS,Tyler Jenkins,Trevecca Nazarene University,Gulf South Conference,II,05/22/2026,05/22/2026,Active,2025-26,Baseball,795,137485,3242671,Tyler Jenkins,100.0,team+lastname+confirmed,HIGH,LF,Jr,795,0.437975,0.0,True,False,0.437975,0.0,0.4794,0.0,0.4794,0.0,0.070156,0.0,0.0,0.0,0.159038,0.7086,2287
2401188631,COLLIN,SCHNEIDER,Collin Schneider,Davis & Elkins College,Mountain East Conference,II,05/12/2026,05/29/2026,Active,2025-26,Baseball,199,129707,3221604,Collin Schneider,100.0,team+lastname,HIGH,P,Jr,199,0.0,0.581919,False,True,0.0,0.581919,0.0,0.6149,0.6149,0.0,0.029025,0.0,0.0,0.0,0.064275,0.7082,2288
2407344370,CONNOR,KLOCK,Connor Klock,New Jersey Institute of Technology,America East Conference,I,06/01/2026,06/06/2026,Signed,2025-26,Baseball,540,134152,3231100,Connor Klock,100.0,team+lastname,HIGH,C,Fr,540,0.438728,0.0,True,False,0.438728,0.0,0.4798,0.0,0.4798,0.0,0.094352,0.0,0.0,0.0,0.1339,0.7081,2289
2209655648,DYLAN,RASCO,Dylan Rasco,Arcadia University,Middle Atlantic Conference Freedom,III,05/06/2026,07/23/2026,Active,2025-26,Baseball,30,125926,3115170,Dylan Rasco,100.0,team+lastname,HIGH,P,So,30,0.0,0.473654,False,True,0.0,0.473654,0.0,0.5481,0.5481,0.0,-0.007268,0.0,0.0,0.0,0.1671,0.7079,2290
2308979896,CARSON,BRUMBAUGH,Carson Brumbaugh,"University of Arkansas, Fayetteville",Southeastern Conference,I,06/09/2026,07/07/2026,Signed,2025-26,Baseball,36,139551,3232268,Carson Brumbaugh,100.0,team+lastname,HIGH,SS,Fr,36,0.062927,0.065735,True,True,0.062927,0.065735,0.1578,0.1371,0.1578,0.01371,0.18758,0.096919,0.084694,0.1,0.0672,0.7079,2291
2605934461,BRADEN,RICHEY,Braden Richey,Anderson University (Indiana),Heartland Collegiate Athletic Conference,III,05/21/2026,05/21/2026,Active,2025-26,Baseball,25,139602,3250763,Braden Richey,100.0,team+lastname,HIGH,P,Fr,25,0.0,0.654985,False,True,0.0,0.654985,0.0,0.6615,0.6615,0.0,-0.029043,0.0,0.0,0.0,0.075375,0.7078,2292
2406341567,COLTON,JONES,Colton Jones,University of Montevallo,Gulf South Conference,II,05/08/2026,05/09/2026,Active,2025-26,Baseball,503,133924,3110276,Colton Jones,100.0,team+lastname,HIGH,P,Fr,503,0.0,0.22699,False,True,0.0,0.22699,0.0,0.3368,0.3368,0.0,0.070156,0.0,0.0,0.0,0.30075,0.7077,2293
1908657702,GEHRIG,GOLDBECK,Gehrig Goldbeck,"University of Missouri, Columbia",Southeastern Conference,I,06/01/2026,07/02/2026,Active,2025-26,Baseball,490,115894,3114366,Gehrig Goldbeck,100.0,team+lastname,HIGH,SS,Sr,490,0.5158,0.0,True,False,0.5158,0.0,0.5198,0.0,0.5198,0.0,0.18758,0.0,0.0,0.0,0.0,0.7074,2294
2505610109,WILLIAM,LANDMAN,William Landman,St. Lawrence University,Liberty League,III,09/02/2025,06/24/2026,Active,2025-26,Baseball,744,60658,2806069,Willie Landman,82.0,team+lastname_diff_first+confirmed,HIGH,DH,Sr,744,0.564789,0.0,True,False,0.564789,0.0,0.5483,0.0,0.5483,0.0,-0.012107,0.0,0.0,0.0,0.169375,0.7056,2295
2112389853,COLTON,LAFAVE,Colton Lafave,San Diego State University,Mountain West Conference,I,06/01/2026,07/25/2026,Active,2025-26,Baseball,685,135851,3233503,Colton LaFave,100.0,team+lastname,HIGH,P,Jr,685,0.0,0.258643,False,True,0.0,0.258643,0.0,0.3734,0.3734,0.0,0.123386,0.0,0.0,0.0,0.2087,0.7055,2296
2206593748,CHASE,STEWART,Chase Stewart,Coker University,South Atlantic Conference,II,05/11/2026,05/12/2026,Active,2025-26,Baseball,166,100466,3093215,Chase Stewart,100.0,team+lastname,HIGH,P,So,166,0.0,0.218064,False,True,0.0,0.218064,0.0,0.3243,0.3243,0.0,0.058059,0.0,0.0,0.0,0.3231,0.7055,2297
