source,gameId,sport,division,date,team,opponent
pbp_gap,6537026,baseball,D2,,,
pbp_gap,6565656,baseball,D2,,,
pbp_gap,6565657,baseball,D2,,,
pbp_gap,6565704,baseball,D2,,,
pbp_gap,6568454,baseball,D2,,,
pbp_gap,6568466,baseball,D2,,,
pbp_gap,6568492,baseball,D2,,,
pbp_gap,6568508,baseball,D2,,,
pbp_gap,6568523,baseball,D2,,,
pbp_gap,6568532,baseball,D2,,,
pbp_gap,6568535,baseball,D2,,,
pbp_gap,6568544,baseball,D2,,,
pbp_gap,6568548,baseball,D2,,,
pbp_gap,6568555,baseball,D2,,,
pbp_gap,6568568,baseball,D2,,,
pbp_gap,6568573,baseball,D2,,,
pbp_gap,6568641,baseball,D2,,,
pbp_gap,6568642,baseball,D2,,,
pbp_gap,6568698,baseball,D2,,,
pbp_gap,6568715,baseball,D2,,,
pbp_gap,6568716,baseball,D2,,,
pbp_gap,6568773,baseball,D2,,,
pbp_gap,6568781,baseball,D2,,,
pbp_gap,6568789,baseball,D2,,,
pbp_gap,6568796,baseball,D2,,,
pbp_gap,6573042,baseball,D2,,,
pbp_gap,6573050,baseball,D2,,,
pbp_gap,6526051,baseball,D3,,,
pbp_gap,6538771,baseball,D3,,,
pbp_gap,6548972,baseball,D3,,,
pbp_gap,6564607,baseball,D3,,,
pbp_gap,6565362,baseball,D3,,,
pbp_gap,6565631,baseball,D3,,,
pbp_gap,6572545,baseball,D3,,,
pbp_gap,6572565,baseball,D3,,,
pbp_gap,6572574,baseball,D3,,,
pbp_gap,6572581,baseball,D3,,,
pbp_gap,6572587,baseball,D3,,,
pbp_gap,6574002,baseball,D3,,,
pbp_gap,6574075,baseball,D3,,,
pbp_gap,6574097,baseball,D3,,,
pbp_gap,6574108,baseball,D3,,,
pbp_gap,6574114,baseball,D3,,,
pbp_gap,6574119,baseball,D3,,,
pbp_gap,6574128,baseball,D3,,,
pbp_gap,6574129,baseball,D3,,,
pbp_gap,6574152,baseball,D3,,,
pbp_gap,6574182,baseball,D3,,,
pbp_gap,6574187,baseball,D3,,,
pbp_gap,6574207,baseball,D3,,,
pbp_gap,6574218,baseball,D3,,,
pbp_gap,6574257,baseball,D3,,,
pbp_gap,6573074,softball,D1,,,
pbp_gap,6573075,softball,D1,,,
pbp_gap,6525637,softball,D2,,,
pbp_gap,6525643,softball,D2,,,
pbp_gap,6525815,softball,D2,,,
