sport,division,team,date,opponent,result,runsFor,runsAgainst,teamYearId,opponentYearId
baseball,unknown,Ithaca,2026-04-17,St. Lawrence,W 8-6,8.0,6.0,615232,615340.0
baseball,unknown,JWU (Providence),2026-04-04,Wentworth,W 5-4,5.0,4.0,615483,615381.0
baseball,unknown,JWU (Providence),2026-04-04,Wentworth,L 9-15,9.0,15.0,615483,615381.0
baseball,unknown,JWU (Providence),2026-04-08,Coast Guard,W 3-1,3.0,1.0,615483,615367.0
baseball,unknown,JWU Charlotte,2026-02-21,Kenyon,L 0-9,0.0,9.0,615586,615241.0
baseball,unknown,JWU Charlotte,2026-02-21,Kenyon,L 3-9,3.0,9.0,615586,615241.0
baseball,unknown,JWU Charlotte,2026-03-14,SUNY Poly,W 6-4,6.0,4.0,615586,615470.0
baseball,unknown,JWU Charlotte,2026-03-14,SUNY Poly,L 3-18,3.0,18.0,615586,615470.0
baseball,unknown,JWU Charlotte,2026-03-15,SUNY Poly,L 6-7,6.0,7.0,615586,615470.0
baseball,unknown,JWU Charlotte,2026-03-21,Morris,L 7-8,7.0,8.0,615586,
baseball,unknown,JWU Charlotte,2026-03-21,Morris,W 9-8,9.0,8.0,615586,
baseball,unknown,JWU Charlotte,2026-03-27,Regent,L 1-13,1.0,13.0,615586,615587.0
baseball,unknown,JWU Charlotte,2026-03-28,Regent,L 4-14,4.0,14.0,615586,615587.0
baseball,unknown,JWU Charlotte,2026-03-28,Regent,L 1-9,1.0,9.0,615586,615587.0
baseball,unknown,JWU Charlotte,2026-04-02,Lynchburg,L 0-29,0.0,29.0,615586,615249.0
baseball,D1,Jackson St.,2026-02-14,"Alabama A&M @Pearl, MS",W 6-1,6.0,1.0,614631,614846.0
baseball,D1,Jackson St.,2026-04-02,Grambling,L 9-12,9.0,12.0,614631,614771.0
baseball,D1,Jackson St.,2026-04-07,Tougaloo,W 13-6,13.0,6.0,614631,
baseball,D1,Jacksonville,2026-04-02,Stetson,W 5-1,5.0,1.0,614633,614781.0
baseball,D1,Jacksonville St.,2026-04-02,Middle Tenn.,W 6-5,6.0,5.0,614632,614664.0
baseball,D1,James Madison,2026-03-20,Coastal Carolina,L 2-12,2.0,12.0,614634,614585.0
baseball,D1,James Madison,2026-04-02,Louisiana,L 4-5,4.0,5.0,614634,614748.0
baseball,unknown,Jamestown,2026-04-13,Minn. Duluth,L 4-5,4.0,5.0,621463,615058.0
baseball,unknown,Jessup,2026-02-13,Vanguard,L 10-16,10.0,16.0,615121,615120.0
baseball,unknown,Jessup,2026-02-13,Vanguard,W 9-4,9.0,4.0,615121,615120.0
baseball,unknown,John Carroll,2026-03-04,"Anna Maria @Lake Myrtle, Lake Myrtle",W 19-2,19.0,2.0,615234,615146.0
baseball,unknown,John Carroll,2026-04-02,Ohio Wesleyan,L 2-3,2.0,3.0,615234,615309.0
baseball,unknown,John Carroll,2026-04-17,Wittenberg,L 2-15,2.0,15.0,615234,615403.0
baseball,unknown,John Carroll,2026-04-17,Wittenberg,L 8-17,8.0,17.0,615234,615403.0
baseball,unknown,John Jay,2026-02-27,Grove City,L 9-23 (8),9.0,23.0,615235,615217.0
baseball,unknown,John Jay,2026-04-02,Penn St. Brandywine,L 7-17,7.0,17.0,615235,615292.0
baseball,unknown,John Jay,2026-04-07,FDU-Florham,L 0-2,0.0,2.0,615235,615207.0
baseball,unknown,John Jay,2026-04-14,UMSV,L 8-11,8.0,11.0,615235,615283.0
baseball,unknown,Johns Hopkins,2026-04-04,Muhlenberg,W 14-3,14.0,3.0,615236,615285.0
baseball,unknown,Johns Hopkins,2026-04-04,Muhlenberg,W 15-10,15.0,10.0,615236,615285.0
baseball,unknown,Johns Hopkins,2026-04-07,McDaniel,W 6-5,6.0,5.0,615236,615384.0
baseball,unknown,Johns Hopkins,2026-04-17,Dickinson,W 22-4,22.0,4.0,615236,615195.0
baseball,unknown,Juniata,2026-03-07,"Albertus Magnus @Auburndale, FL",W 10-5,10.0,5.0,615237,615458.0
baseball,unknown,Juniata,2026-03-11,"Gordon @Davenport, FL",L 5-9,5.0,9.0,615237,615421.0
baseball,unknown,Juniata,2026-03-25,Catholic,L 1-4,1.0,4.0,615237,615174.0
baseball,unknown,Juniata,2026-03-31,Susquehanna,W 11-4,11.0,4.0,615237,615360.0
baseball,unknown,Juniata,2026-04-02,Chatham,L 5-6,5.0,6.0,615237,615471.0
baseball,unknown,Juniata,2026-04-03,Mary Washington,L 6-7,6.0,7.0,615237,615254.0
baseball,unknown,Juniata,2026-04-04,Mary Washington,L 10-14,10.0,14.0,615237,615254.0
baseball,unknown,Juniata,2026-04-11,Elizabethtown,L 9-14,9.0,14.0,615237,615201.0
baseball,unknown,Juniata,2026-04-11,Elizabethtown,L 6-8,6.0,8.0,615237,615201.0
baseball,unknown,Kalamazoo,2026-04-17,"Hope @Caledonia, MI",W 15-7,15.0,7.0,615238,615227.0
baseball,unknown,Kalamazoo,2026-04-17,"Hope @Caledonia, MI",L 1-5,1.0,5.0,615238,615227.0
baseball,D1,Kansas,2026-04-02,Utah,W 14-12,14.0,12.0,614636,614800.0
baseball,D1,Kansas,2026-04-07,Nebraska,W 5-3,5.0,3.0,614636,614773.0
baseball,unknown,Kean,2026-04-02,Ramapo,W 3-0,3.0,0.0,615239,615322.0
baseball,unknown,Kean,2026-04-04,Stockton,L 5-6,5.0,6.0,615239,615358.0
baseball,unknown,Kean,2026-04-04,Stockton,W 19-4,19.0,4.0,615239,615358.0
baseball,unknown,Kean,2026-04-17,Rutgers-Newark,W 14-2,14.0,2.0,615239,615336.0
baseball,D1,Kennesaw St.,2026-04-02,DBU,L 5-10,5.0,10.0,614831,614764.0
baseball,D1,Kent St.,2026-04-02,Ohio,W 11-5,11.0,5.0,614637,614701.0
baseball,unknown,Kentucky St.,2026-03-01,Benedict,L 7-13,7.0,13.0,615042,615010.0
baseball,unknown,Kentucky St.,2026-03-09,Miles,W 12-2,12.0,2.0,615042,615056.0
baseball,unknown,Kentucky St.,2026-03-21,Edward Waters,L 1-26,1.0,26.0,615042,615115.0
baseball,unknown,Kentucky St.,2026-03-21,Edward Waters,W 13-8,13.0,8.0,615042,615115.0
baseball,unknown,Kentucky St.,2026-03-22,Edward Waters,L 5-19,5.0,19.0,615042,615115.0
baseball,unknown,Kentucky St.,2026-03-28,LeMoyne-Owen,W 20-12,20.0,12.0,615042,615046.0
baseball,unknown,Kentucky St.,2026-03-28,LeMoyne-Owen,L 4-5,4.0,5.0,615042,615046.0
baseball,unknown,Kenyon,2026-02-21,JWU Charlotte,W 9-0,9.0,0.0,615241,615586.0
baseball,unknown,Kenyon,2026-02-21,JWU Charlotte,W 9-3,9.0,3.0,615241,615586.0
baseball,unknown,Kenyon,2026-04-02,Allegheny,W 11-9,11.0,9.0,615241,615142.0
baseball,unknown,Keuka,2026-04-04,Russell Sage,L 0-11,0.0,11.0,615428,615277.0
baseball,unknown,Keuka,2026-04-04,Russell Sage,L 1-12,1.0,12.0,615428,615277.0
baseball,unknown,Keystone,2026-04-01,Rosemont,W 14-1,14.0,1.0,615501,615276.0
baseball,unknown,Keystone,2026-04-04,St. Mary's (MD),W 13-2,13.0,2.0,615501,615341.0
baseball,unknown,Keystone,2026-04-04,St. Mary's (MD),W 17-1,17.0,1.0,615501,615341.0
baseball,unknown,King's (PA),2026-04-08,Penn St.-Hazleton,W 9-5,9.0,5.0,615242,
baseball,unknown,Knox,2026-04-04,Cornell College,W 10-5,10.0,5.0,615243,615189.0
baseball,unknown,Knox,2026-04-04,Cornell College,L 8-9,8.0,9.0,615243,615189.0
baseball,unknown,Knox,2026-04-11,Monmouth (IL),W 8-7 (14),8.0,7.0,615243,615266.0
baseball,D1,LIU,2026-03-10,Rider,L 6-7,6.0,7.0,614772,614720.0
baseball,D1,LIU,2026-03-14,Wagner,W 15-4,15.0,4.0,614772,614808.0
baseball,D1,LIU,2026-03-15,Wagner,L 1-11,1.0,11.0,614772,614808.0
baseball,D1,LIU,2026-03-15,Wagner,L 5-9,5.0,9.0,614772,614808.0
baseball,D1,LIU,2026-04-02,Le Moyne,L 4-5 (14),4.0,5.0,614772,614760.0
baseball,D1,LIU,2026-04-03,Le Moyne,L 5-12,5.0,12.0,614772,614760.0
baseball,D1,LIU,2026-04-14,Iona,W 10-4,10.0,4.0,614772,614629.0
baseball,unknown,LMU (CA),2026-04-02,San Francisco,W 12-10,12.0,10.0,614648,614732.0
baseball,D1,La Salle,2026-02-20,Delaware St.,W 13-4,13.0,4.0,621265,614594.0
baseball,D1,La Salle,2026-02-20,Delaware St.,W 9-8,9.0,8.0,621265,614594.0
baseball,D1,La Salle,2026-04-02,Richmond,L 0-6,0.0,6.0,621265,614719.0
baseball,unknown,La Verne,2026-04-04,Caltech,W 13-3,13.0,3.0,615244,615165.0
baseball,unknown,La Verne,2026-04-04,Caltech,W 15-0,15.0,0.0,615244,615165.0
baseball,unknown,La Verne,2026-04-17,Occidental,L 9-12,9.0,12.0,615244,615307.0
baseball,unknown,LaGrange,2026-03-01,N.C. Wesleyan,W 10-5,10.0,5.0,615429,615302.0
baseball,unknown,LaGrange,2026-04-17,Piedmont,W 7-6 (11),7.0,6.0,615429,615480.0
baseball,unknown,Lake Erie,2026-02-15,Salem (WV),L 3-7,3.0,7.0,614914,614943.0
baseball,unknown,Lakeland,2026-03-21,Aurora,L 9-27,9.0,27.0,615431,615149.0
baseball,unknown,Lakeland,2026-03-21,Aurora,L 10-14,10.0,14.0,615431,615149.0
baseball,unknown,Lakeland,2026-04-04,Dominican (IL),L 3-5,3.0,5.0,615431,615443.0
baseball,unknown,Lakeland,2026-04-04,Dominican (IL),W 5-0,5.0,0.0,615431,615443.0
baseball,unknown,Lamar University,2026-04-02,Oregon St.,L 0-2,0.0,2.0,614640,614704.0
baseball,unknown,Lancaster Bible,2026-03-14,Cairn,W 22-12,22.0,12.0,615128,615441.0
baseball,unknown,Lancaster Bible,2026-03-14,Cairn,W 9-5,9.0,5.0,615128,615441.0
baseball,unknown,Lancaster Bible,2026-04-04,Penn St. Harrisburg,L 4-14,4.0,14.0,615128,615505.0
baseball,unknown,Lancaster Bible,2026-04-04,Penn St. Harrisburg,L 7-13,7.0,13.0,615128,615505.0
baseball,unknown,Lancaster Bible,2026-04-11,Rosemont,W 15-2,15.0,2.0,615128,615276.0
baseball,unknown,Lancaster Bible,2026-04-11,Rosemont,W 27-4,27.0,4.0,615128,615276.0
baseball,unknown,Lane,2026-03-03,Christian Brothers,L 1-4,1.0,4.0,615045,615109.0
baseball,unknown,Lane,2026-03-03,Christian Brothers,L 2-9,2.0,9.0,615045,615109.0
baseball,unknown,Lane,2026-03-14,Clark Atlanta,W 5-2,5.0,2.0,615045,615024.0
baseball,unknown,Lane,2026-03-14,Clark Atlanta,L 10-11,10.0,11.0,615045,615024.0
baseball,unknown,Lane,2026-04-07,Rust,W 6-2,6.0,2.0,615045,
baseball,unknown,Lasell,2026-04-02,Elms,W 5-0,5.0,0.0,615461,615315.0
baseball,unknown,Lasell,2026-04-02,Elms,L 9-13,9.0,13.0,615461,615315.0
baseball,unknown,Lasell,2026-04-04,St. Joseph's (ME),L 1-2,1.0,2.0,615461,615339.0
baseball,unknown,Lasell,2026-04-04,St. Joseph's (ME),L 1-9,1.0,9.0,615461,615339.0
baseball,unknown,Lawrence,2026-04-03,Illinois Col.,W 7-2,7.0,2.0,615245,615229.0
baseball,unknown,Lawrence,2026-04-03,Illinois Col.,L 5-15 (8),5.0,15.0,615245,615229.0
baseball,D1,Le Moyne,2026-04-02,LIU,W 5-4 (14),5.0,4.0,614760,614772.0
baseball,D1,Le Moyne,2026-04-03,LIU,W 12-5,12.0,5.0,614760,614772.0
baseball,unknown,LeMoyne-Owen,2026-02-06,Harris-Stowe,W 6-5,6.0,5.0,615046,
baseball,unknown,LeMoyne-Owen,2026-02-13,Miles,L 9-12,9.0,12.0,615046,615056.0
baseball,unknown,LeMoyne-Owen,2026-02-13,Miles,L 2-4,2.0,4.0,615046,615056.0
baseball,unknown,LeMoyne-Owen,2026-02-14,Miles,L 1-10,1.0,10.0,615046,615056.0
baseball,unknown,LeMoyne-Owen,2026-02-22,Albany St. (GA),L 8-27,8.0,27.0,615046,615001.0
baseball,unknown,LeMoyne-Owen,2026-02-22,Albany St. (GA),L 2-11,2.0,11.0,615046,615001.0
baseball,unknown,LeMoyne-Owen,2026-02-23,Albany St. (GA),L 5-15,5.0,15.0,615046,615001.0
baseball,unknown,LeMoyne-Owen,2026-03-08,Clark Atlanta,W 16-15,16.0,15.0,615046,615024.0
baseball,unknown,LeMoyne-Owen,2026-03-08,Clark Atlanta,W 5-2,5.0,2.0,615046,615024.0
baseball,unknown,LeMoyne-Owen,2026-03-28,Kentucky St.,L 12-20,12.0,20.0,615046,615042.0
baseball,unknown,LeMoyne-Owen,2026-03-28,Kentucky St.,W 5-4,5.0,4.0,615046,615042.0
baseball,unknown,LeTourneau,2026-04-02,St. Thomas (TX),L 7-8,7.0,8.0,615462,615274.0
baseball,unknown,LeTourneau,2026-04-17,Hendrix,W 8-5,8.0,5.0,615462,615425.0
baseball,unknown,LeTourneau,2026-04-17,Hendrix,W 17-9,17.0,9.0,615462,615425.0
baseball,unknown,Lebanon Valley,2026-04-04,Stevens,L 2-6,2.0,6.0,615246,615357.0
baseball,unknown,Lebanon Valley,2026-04-04,Stevens,L 4-5,4.0,5.0,615246,615357.0
baseball,unknown,Lebanon Valley,2026-04-17,Misericordia,L 1-6,1.0,6.0,615246,615476.0
baseball,unknown,Lehman,2026-04-17,Baruch,L 8-14,8.0,14.0,615225,615155.0
baseball,unknown,Lehman,2026-04-17,Baruch,L 1-11,1.0,11.0,615225,615155.0
baseball,unknown,Lesley,2026-04-04,Husson,L 9-10 (10),9.0,10.0,615486,615427.0
baseball,unknown,Lesley,2026-04-04,Husson,L 5-6 (8),5.0,6.0,615486,615427.0
baseball,unknown,Lewis,2026-04-07,Roosevelt,W 16-5,16.0,5.0,615047,615119.0
baseball,unknown,Lewis & Clark,2026-04-04,Pomona-Pitzer,W 9-8,9.0,8.0,615482,615319.0
baseball,unknown,Lewis & Clark,2026-04-04,Pomona-Pitzer,L 0-12,0.0,12.0,615482,615319.0
baseball,D1,Liberty,2026-04-02,Western Ky.,W 8-3,8.0,3.0,614642,614815.0
baseball,unknown,Lincoln (MO),2026-03-10,Missouri Valley,W 20-9,20.0,9.0,614870,
baseball,unknown,Lincoln (PA),2026-03-28,Chestnut Hill,L 9-15,9.0,15.0,615048,614945.0
baseball,unknown,Lincoln (PA),2026-03-28,Chestnut Hill,L 4-18,4.0,18.0,615048,614945.0
baseball,unknown,Lincoln (PA),2026-03-29,Chestnut Hill,L 2-14,2.0,14.0,615048,614945.0
baseball,unknown,Lincoln Memorial,2026-02-25,Trevecca Nazarene,W 7-6,7.0,6.0,614886,614949.0
baseball,unknown,Lincoln Memorial,2026-04-03,UVA Wise,W 6-5,6.0,5.0,614886,614984.0
baseball,unknown,Lincoln Memorial,2026-04-04,UVA Wise,W 9-7,9.0,7.0,614886,614984.0
baseball,unknown,Lincoln Memorial,2026-04-04,UVA Wise,L 6-7,6.0,7.0,614886,614984.0
baseball,unknown,Lincoln Memorial,2026-04-14,North Greenville,L 8-10,8.0,10.0,614886,614929.0
baseball,unknown,Lincoln Memorial,2026-04-17,Wingate,W 11-10,11.0,10.0,614886,614909.0
baseball,D1,Lindenwood,2026-02-14,Ark.-Pine Bluff,W 3-0,3.0,0.0,614756,614834.0
baseball,D1,Lindenwood,2026-02-14,Ark.-Pine Bluff,L 1-2,1.0,2.0,614756,614834.0
baseball,D1,Lindenwood,2026-04-02,Southeast Mo. St.,W 3-2,3.0,2.0,614756,614779.0
baseball,unknown,Linfield,2026-04-04,Pacific Lutheran,W 7-4,7.0,4.0,615432,615440.0
baseball,D1,Lipscomb,2026-04-02,Bellarmine,W 9-4,9.0,4.0,614840,614754.0
baseball,unknown,Lock Haven,2026-03-22,Clarion,L 5-10,5.0,10.0,615050,615023.0
baseball,D1,Long Beach St.,2026-04-02,CSUN,L 2-7,2.0,7.0,614568,614569.0
baseball,D1,Longwood,2026-04-02,The Citadel,L 3-6,3.0,6.0,614643,614583.0
baseball,unknown,Loras,2026-02-20,"Macalester @Topeka, KS",W 6-5,6.0,5.0,615247,615250.0
baseball,unknown,Loras,2026-02-20,"Macalester @Topeka, KS",L 6-10 (10),6.0,10.0,615247,615250.0
baseball,D1,Louisiana,2026-04-02,James Madison,W 5-4,5.0,4.0,614748,614634.0
baseball,D1,Louisiana Tech,2026-04-02,FIU,L 4-7,4.0,7.0,614645,614605.0
baseball,D1,Louisville,2026-04-02,Duke,L 3-6,3.0,6.0,614646,614769.0
baseball,unknown,Luther,2026-04-04,Buena Vista,W 4-2,4.0,2.0,615248,615164.0
baseball,unknown,Luther,2026-04-04,Buena Vista,W 11-1,11.0,1.0,615248,615164.0
baseball,unknown,Lycoming,2026-03-04,Gettysburg,L 2-3,2.0,3.0,615288,615213.0
baseball,unknown,Lycoming,2026-03-25,Susquehanna,W 13-7,13.0,7.0,615288,615360.0
baseball,unknown,Lycoming,2026-04-04,Drew,L 5-6,5.0,6.0,615288,615196.0
baseball,unknown,Lycoming,2026-04-04,Drew,W 8-6,8.0,6.0,615288,615196.0
baseball,unknown,Lycoming,2026-04-12,Scranton,W 6-3,6.0,3.0,615288,615349.0
baseball,unknown,Lynchburg,2026-04-02,JWU Charlotte,W 29-0,29.0,0.0,615249,615586.0
baseball,unknown,Lynn,2026-03-24,Palm Beach Atl.,W 12-3,12.0,3.0,614944,614951.0
baseball,unknown,Lyon,2026-02-20,Howard Payne,W 6-0 (8),6.0,0.0,615290,615455.0
baseball,unknown,Lyon,2026-02-20,Howard Payne,L 4-5,4.0,5.0,615290,615455.0
baseball,unknown,Lyon,2026-04-17,Greenville,L 7-13,7.0,13.0,615290,615422.0
baseball,unknown,MCLA,2026-04-04,Fitchburg St.,W 7-6,7.0,6.0,615301,615209.0
baseball,unknown,MCLA,2026-04-04,Fitchburg St.,W 9-7,9.0,7.0,615301,615209.0
baseball,unknown,MIT,2026-04-01,WPI,W 4-1,4.0,1.0,615258,615405.0
baseball,unknown,MIT,2026-04-04,Coast Guard,W 4-2,4.0,2.0,615258,615367.0
baseball,unknown,MIT,2026-04-04,Coast Guard,L 1-11,1.0,11.0,615258,615367.0
baseball,unknown,MSOE,2026-04-17,Benedictine (IL),W 11-1,11.0,1.0,615479,615228.0
baseball,unknown,MSOE,2026-04-17,Benedictine (IL),W 10-6,10.0,6.0,615479,615228.0
baseball,unknown,MUW,2026-04-04,Webster,L 8-21,8.0,21.0,615273,615380.0
baseball,unknown,MUW,2026-04-17,Eureka,W 15-11,15.0,11.0,615273,615206.0
baseball,unknown,MUW,2026-04-17,Eureka,L 6-16,6.0,16.0,615273,615206.0
baseball,unknown,Macalester,2026-02-20,"Loras @Topeka, KS",L 5-6,5.0,6.0,615250,615247.0
baseball,unknown,Macalester,2026-02-20,"Loras @Topeka, KS",W 10-6 (10),10.0,6.0,615250,615247.0
baseball,D1,Maine,2026-04-02,Bryant,L 3-4,3.0,4.0,614649,614869.0
baseball,unknown,Manchester,2026-04-06,Franklin,W 10-6,10.0,6.0,615433,615453.0
baseball,unknown,Manhattanville,2026-03-07,"Cairn @Myrtle Beach, SC",W 14-1,14.0,1.0,615252,615441.0
baseball,unknown,Manhattanville,2026-03-07,"Cairn @Myrtle Beach, SC",W 7-3,7.0,3.0,615252,615441.0
baseball,unknown,Maranatha Baptist,2026-03-21,Blackburn,L 5-7,5.0,7.0,615434,615158.0
baseball,unknown,Marian (WI),2026-02-21,"Hope @Westfield, IN",W 5-3,5.0,3.0,615435,615227.0
baseball,unknown,Marian (WI),2026-03-14,"Saint Mary's (MN) @Decatur, IL",L 2-12,2.0,12.0,615435,615342.0
baseball,unknown,Marian (WI),2026-04-17,Aurora,L 3-7,3.0,7.0,615435,615149.0
baseball,unknown,Marian (WI),2026-04-17,Aurora,L 5-15,5.0,15.0,615435,615149.0
baseball,unknown,Marietta,2026-04-17,Baldwin Wallace,L 4-5,4.0,5.0,615253,615152.0
baseball,unknown,Marietta,2026-04-17,Baldwin Wallace,L 2-11,2.0,11.0,615253,615152.0
baseball,D1,Marist,2026-04-02,Rider,L 2-9,2.0,9.0,614651,614720.0
baseball,unknown,Mars Hill,2026-03-10,Young Harris,W 5-3,5.0,3.0,614887,614979.0
baseball,D1,Marshall,2026-04-02,App State,W 12-6,12.0,6.0,614652,614852.0
baseball,unknown,Mary Baldwin,2026-03-01,Mount Aloysius,L 11-15,11.0,15.0,615275,615494.0
baseball,unknown,Mary Baldwin,2026-03-14,Brevard,L 9-11,9.0,11.0,615275,615281.0
baseball,unknown,Mary Baldwin,2026-03-14,Brevard,L 7-10,7.0,10.0,615275,615281.0
baseball,unknown,Mary Baldwin,2026-03-31,East. Mennonite,L 14-25,14.0,25.0,615275,615200.0
baseball,unknown,Mary Baldwin,2026-04-04,William Peace,L 8-10,8.0,10.0,615275,615477.0
baseball,unknown,Mary Baldwin,2026-04-04,William Peace,W 10-1,10.0,1.0,615275,615477.0
baseball,unknown,Mary Baldwin,2026-04-08,Bridgewater (VA),L 6-15,6.0,15.0,615275,615161.0
baseball,unknown,Mary Baldwin,2026-04-15,Mary Washington,L 4-14,4.0,14.0,615275,615254.0
baseball,unknown,Mary Hardin-Baylor,2026-02-08,Claremont-M-S,W 8-6,8.0,6.0,615436,615181.0
baseball,unknown,Mary Hardin-Baylor,2026-02-14,Webster,W 10-7,10.0,7.0,615436,615380.0
baseball,unknown,Mary Hardin-Baylor,2026-04-02,Concordia (TX),L 3-6,3.0,6.0,615436,615487.0
baseball,unknown,Mary Hardin-Baylor,2026-04-17,East Tex. Baptist,L 13-16,13.0,16.0,615436,615418.0
baseball,unknown,Mary Hardin-Baylor,2026-04-17,East Tex. Baptist,L 4-12,4.0,12.0,615436,615418.0
baseball,unknown,Mary Washington,2026-03-19,Randolph-Macon,L 2-9,2.0,9.0,615254,615323.0
baseball,unknown,Mary Washington,2026-04-03,Juniata,W 7-6,7.0,6.0,615254,615237.0
baseball,unknown,Mary Washington,2026-04-04,Juniata,W 14-10,14.0,10.0,615254,615237.0
baseball,unknown,Mary Washington,2026-04-12,Penn St. Harrisburg,L 9-14,9.0,14.0,615254,615505.0
baseball,unknown,Mary Washington,2026-04-15,Mary Baldwin,W 14-4,14.0,4.0,615254,615275.0
baseball,unknown,Marymount (VA),2026-04-07,Neumann,W 12-10,12.0,10.0,615255,615438.0
baseball,unknown,Marymount (VA),2026-04-17,Gwynedd Mercy,L 2-3,2.0,3.0,615255,615474.0
baseball,unknown,Maryville (TN),2026-04-04,Huntingdon,W 9-8,9.0,8.0,615256,615426.0
baseball,unknown,Maryville (TN),2026-04-04,Huntingdon,W 12-2,12.0,2.0,615256,615426.0
baseball,unknown,Maryville (TN),2026-04-17,Covenant,L 3-9,3.0,9.0,615256,615129.0
baseball,unknown,Marywood,2026-04-02,Saint Elizabeth,W 9-5,9.0,5.0,615257,615271.0
baseball,unknown,Marywood,2026-04-02,Saint Elizabeth,W 11-6,11.0,6.0,615257,615271.0
baseball,unknown,Marywood,2026-04-17,Centenary (NJ),L 2-6,2.0,6.0,615257,615475.0
baseball,unknown,Mass. Maritime,2026-04-04,Anna Maria,W 3-1,3.0,1.0,615259,615146.0
baseball,unknown,Mass. Maritime,2026-04-04,Anna Maria,L 2-4,2.0,4.0,615259,615146.0
baseball,unknown,McDaniel,2026-03-15,"WestConn @Myrtle beach , SC",W 5-1,5.0,1.0,615384,615383.0
baseball,unknown,McDaniel,2026-03-15,"WestConn @Myrtle Beach , SC",W 11-2,11.0,2.0,615384,615383.0
baseball,unknown,McDaniel,2026-04-04,Ursinus,W 23-4,23.0,4.0,615384,615370.0
baseball,unknown,McDaniel,2026-04-04,Ursinus,L 3-4,3.0,4.0,615384,615370.0
baseball,unknown,McDaniel,2026-04-07,Johns Hopkins,L 5-6,5.0,6.0,615384,615236.0
baseball,unknown,McDaniel,2026-04-17,Gettysburg,W 9-4,9.0,4.0,615384,615213.0
baseball,unknown,McMurry,2026-02-17,Hardin-Simmons,L 5-12,5.0,12.0,615463,615222.0
baseball,unknown,McMurry,2026-02-24,Howard Payne,L 11-19,11.0,19.0,615463,615455.0
baseball,unknown,McMurry,2026-02-28,St. Thomas (TX),L 2-3 (10),2.0,3.0,615463,615274.0
baseball,unknown,McMurry,2026-02-28,St. Thomas (TX),W 2-1,2.0,1.0,615463,615274.0
baseball,unknown,McMurry,2026-03-21,Hendrix,W 9-8,9.0,8.0,615463,615425.0
baseball,unknown,McMurry,2026-04-07,Howard Payne,W 5-2,5.0,2.0,615463,615455.0
baseball,unknown,McMurry,2026-04-17,Schreiner,W 10-2,10.0,2.0,615463,615445.0
baseball,D1,McNeese,2026-03-03,Southern U.,W 14-5,14.0,5.0,614657,614745.0
baseball,D1,McNeese,2026-04-02,New Orleans,W 4-3 (11),4.0,3.0,614657,614685.0
baseball,unknown,Me.-Farmington,2026-04-02,Southern Me.,L 1-27,1.0,27.0,615251,615355.0
baseball,unknown,Me.-Presque Isle,2026-04-04,SUNY Cobleskill,L 0-4,0.0,4.0,615498,615506.0
baseball,unknown,Me.-Presque Isle,2026-04-04,SUNY Cobleskill,L 2-4,2.0,4.0,615498,615506.0
baseball,unknown,Me.-Presque Isle,2026-04-05,SUNY Cobleskill,L 8-13,8.0,13.0,615498,615506.0
baseball,unknown,Me.-Presque Isle,2026-04-05,SUNY Cobleskill,L 0-6,0.0,6.0,615498,615506.0
baseball,D1,Memphis,2026-02-14,Toledo,W 5-4 (10),5.0,4.0,614658,614795.0
baseball,D1,Memphis,2026-04-02,South Fla.,L 1-10,1.0,10.0,614658,614740.0
baseball,D1,Mercer,2026-04-02,UNC Greensboro,L 4-5,4.0,5.0,614659,614677.0
baseball,unknown,Merchant Marine,2026-04-04,Purchase,W 7-4,7.0,4.0,615368,615491.0
baseball,unknown,Merchant Marine,2026-04-04,Purchase,W 10-0,10.0,0.0,615368,615491.0
baseball,unknown,Merchant Marine,2026-04-06,Saint Elizabeth,W 10-2,10.0,2.0,615368,615271.0
baseball,D1,Mercyhurst,2026-04-02,New Haven,W 12-3,12.0,3.0,614783,615065.0
baseball,D1,Merrimack,2026-02-22,"Ball St. @Charleston, SC",L 6-14,6.0,14.0,614826,614859.0
baseball,D1,Merrimack,2026-04-02,Fairfield,L 6-7,6.0,7.0,614826,614601.0
baseball,unknown,Messiah,2026-04-02,York (PA),W 7-1,7.0,1.0,615261,615408.0
baseball,unknown,Messiah,2026-04-04,York (PA),W 11-2,11.0,2.0,615261,615408.0
baseball,unknown,Messiah,2026-04-04,York (PA),W 14-5,14.0,5.0,615261,615408.0
baseball,unknown,Messiah,2026-04-17,Eastern,W 15-6,15.0,6.0,615261,615468.0
baseball,unknown,Methodist,2026-04-04,Greensboro,L 3-22,3.0,22.0,615262,615215.0
baseball,unknown,Methodist,2026-04-04,Greensboro,L 4-5,4.0,5.0,615262,615215.0
baseball,unknown,Methodist,2026-04-17,Pfeiffer,L 6-7 (10),6.0,7.0,615262,615280.0
baseball,D1,Miami (FL),2026-03-06,Boston College,L 7-8 (11),7.0,8.0,614661,614864.0
baseball,D1,Miami (OH),2026-04-02,Ball St.,W 14-4,14.0,4.0,614660,614859.0
baseball,D1,Michigan,2026-04-02,Oregon,W 10-0,10.0,0.0,614663,614705.0
baseball,unknown,Middle Georgia,2026-04-14,Shorter,L 4-7,4.0,7.0,617152,614976.0
baseball,D1,Middle Tenn.,2026-04-02,Jacksonville St.,L 5-6,5.0,6.0,614664,614632.0
baseball,unknown,Middlebury,2026-04-04,Amherst,L 3-6,3.0,6.0,615263,615145.0
