sport,division,team,date,opponent,result,runsFor,runsAgainst,teamYearId,opponentYearId
baseball,unknown,Chatham,2026-03-06,"Elms @Davenport, FL",W 7-3,7.0,3.0,615471,615315.0
baseball,unknown,Chatham,2026-03-06,"Elms @Davenport, FL",W 4-2,4.0,2.0,615471,615315.0
baseball,unknown,Chatham,2026-03-07,"Pitt.-Greensburg @Winter Haven, FL",W 8-2,8.0,2.0,615471,615473.0
baseball,unknown,Chatham,2026-03-07,"Pitt.-Greensburg @Winter Haven, FL",W 2-1,2.0,1.0,615471,615473.0
baseball,unknown,Chatham,2026-04-02,Juniata,W 6-5,6.0,5.0,615471,615237.0
baseball,unknown,Chestnut Hill,2026-03-28,Lincoln (PA),W 15-9,15.0,9.0,614945,615048.0
baseball,unknown,Chestnut Hill,2026-03-28,Lincoln (PA),W 18-4,18.0,4.0,614945,615048.0
baseball,unknown,Chestnut Hill,2026-03-29,Lincoln (PA),W 14-2,14.0,2.0,614945,615048.0
baseball,unknown,Chris. Newport,2026-04-02,Randolph-Macon,L 14-17,14.0,17.0,615180,615323.0
baseball,unknown,Chris. Newport,2026-04-04,Salisbury,W 2-0,2.0,0.0,615180,615347.0
baseball,unknown,Christian Brothers,2026-02-28,West Ala.,L 3-11,3.0,11.0,615109,615049.0
baseball,unknown,Christian Brothers,2026-02-28,West Ala.,L 3-11,3.0,11.0,615109,615049.0
baseball,unknown,Christian Brothers,2026-03-03,Lane,W 4-1,4.0,1.0,615109,615045.0
baseball,unknown,Christian Brothers,2026-03-03,Lane,W 9-2,9.0,2.0,615109,615045.0
baseball,D1,Cincinnati,2026-03-03,Western Ky.,W 5-2,5.0,2.0,614582,614815.0
baseball,D1,Cincinnati,2026-03-16,Utah Valley,W 11-1,11.0,1.0,614582,614842.0
baseball,unknown,Claremont-M-S,2026-02-08,Mary Hardin-Baylor,L 6-8,6.0,8.0,615181,615436.0
baseball,unknown,Claremont-M-S,2026-03-13,"Hamline @Tucson, AZ",W 14-1,14.0,1.0,615181,615220.0
baseball,unknown,Claremont-M-S,2026-04-04,Whittier,L 0-10,0.0,10.0,615181,615390.0
baseball,unknown,Claremont-M-S,2026-04-04,Whittier,L 8-10,8.0,10.0,615181,615390.0
baseball,unknown,Clarion,2026-03-22,Lock Haven,W 10-5,10.0,5.0,615023,615050.0
baseball,unknown,Clark (MA),2026-04-04,Salve Regina,L 4-5,4.0,5.0,615182,615348.0
baseball,unknown,Clark (MA),2026-04-04,Salve Regina,L 8-10 (10),8.0,10.0,615182,615348.0
baseball,unknown,Clark Atlanta,2026-02-17,Paine,W 20-4,20.0,4.0,615024,
baseball,unknown,Clark Atlanta,2026-03-08,LeMoyne-Owen,L 15-16,15.0,16.0,615024,615046.0
baseball,unknown,Clark Atlanta,2026-03-08,LeMoyne-Owen,L 2-5,2.0,5.0,615024,615046.0
baseball,unknown,Clark Atlanta,2026-03-14,Lane,L 2-5,2.0,5.0,615024,615045.0
baseball,unknown,Clark Atlanta,2026-03-14,Lane,W 11-10,11.0,10.0,615024,615045.0
baseball,unknown,Clark Atlanta,2026-03-27,Albany St. (GA),L 7-12,7.0,12.0,615024,615001.0
baseball,unknown,Clark Atlanta,2026-03-28,Albany St. (GA),L 5-14,5.0,14.0,615024,615001.0
baseball,unknown,Clark Atlanta,2026-03-28,Albany St. (GA),L 2-5,2.0,5.0,615024,615001.0
baseball,unknown,Clarkson,2026-04-04,Hobart,W 4-3,4.0,3.0,615183,615287.0
baseball,unknown,Clarkson,2026-04-04,Hobart,L 2-12,2.0,12.0,615183,615287.0
baseball,unknown,Coast Guard,2026-04-04,MIT,L 2-4,2.0,4.0,615367,615258.0
baseball,unknown,Coast Guard,2026-04-04,MIT,W 11-1,11.0,1.0,615367,615258.0
baseball,unknown,Coast Guard,2026-04-07,Springfield,L 0-4,0.0,4.0,615367,615356.0
baseball,unknown,Coast Guard,2026-04-08,JWU (Providence),L 1-3,1.0,3.0,615367,615483.0
baseball,D1,Coastal Carolina,2026-02-17,Col. of Charleston,L 3-4,3.0,4.0,614585,614827.0
baseball,D1,Coastal Carolina,2026-03-20,James Madison,W 12-2,12.0,2.0,614585,614634.0
baseball,D1,Coastal Carolina,2026-04-02,South Alabama,W 12-2,12.0,2.0,614585,614737.0
baseball,unknown,Coe,2026-04-04,Central (IA),W 9-2,9.0,2.0,615184,615176.0
baseball,unknown,Coe,2026-04-04,Central (IA),L 4-10,4.0,10.0,615184,615176.0
baseball,unknown,Coe,2026-04-10,Buena Vista,W 1-0,1.0,0.0,615184,615164.0
baseball,unknown,Coe,2026-04-10,Buena Vista,L 8-9,8.0,9.0,615184,615164.0
baseball,unknown,Coe,2026-04-11,Buena Vista,L 5-6,5.0,6.0,615184,615164.0
baseball,D1,Col. of Charleston,2026-02-17,Coastal Carolina,W 4-3,4.0,3.0,614827,614585.0
baseball,D1,Col. of Charleston,2026-04-02,High Point,L 0-2,0.0,2.0,614827,614766.0
baseball,unknown,Colby,2026-04-04,Tufts,L 5-7,5.0,7.0,615185,615366.0
baseball,unknown,Colby,2026-04-04,Tufts,L 7-15,7.0,15.0,615185,615366.0
baseball,unknown,Colby-Sawyer,2026-04-04,Saint Joseph (CT),L 2-5,2.0,5.0,615186,615291.0
baseball,unknown,Colby-Sawyer,2026-04-04,Saint Joseph (CT),L 2-12,2.0,12.0,615186,615291.0
baseball,unknown,Concord,2026-03-07,Millersville,L 1-16,1.0,16.0,615111,615057.0
baseball,unknown,Concord,2026-03-07,Millersville,L 0-2,0.0,2.0,615111,615057.0
baseball,unknown,Concord,2026-03-30,"Wheeling @Washington, PA",L 2-3,2.0,3.0,615111,614938.0
baseball,unknown,Concord,2026-03-30,"Wheeling @Washington, PA",L 1-2,1.0,2.0,615111,614938.0
baseball,unknown,Concord,2026-04-04,Davis & Elkins,W 12-3,12.0,3.0,615111,615028.0
