player_name,player_id,player_ncaa_season_id,team_id,games_played,home_runs,boxscore_hr,delta
Addy Peaden,146295,11225102.0,1540,22,6,4,2
Jillian Albayati,88170,9669427.0,1466,41,12,10,2
Kinzey Woody,146045,10801150.0,1172,36,9,7,2
Jacie Frencken,108041,9661001.0,1471,38,6,4,2
Aiden Melvin,116411,9704081.0,5,13,4,2,2
Abby Schreiner,78684,9665539.0,1491,42,4,2,2
Amira Johnson,141838,11212307.0,1476,39,4,2,2
Zack Chadwell,117800,9700632.0,94,34,10,8,2
Jasmin Stewart,87638,9654816.0,1476,37,3,1,2
Rylee Gray,105498,9660638.0,1426,34,2,0,2
Jacob Gillis,127694,11214109.0,56,36,8,6,2
Ava Blake,106680,9666922.0,1106,42,15,13,2
Tyler Skaggs,74416,9698329.0,19,17,4,2,2
Gabbie Saucedo,85602,11233570.0,1391,34,2,0,2
Sydni Burko,106592,11223199.0,1106,43,17,15,2
Bryce Fowler,46921,9688507.0,8,37,5,3,2
Madi Drummond,105870,9661098.0,1568,31,4,2,2
Mackenzie Gieseler,105285,9670706.0,1521,37,4,2,2
Sydney Dickinson,115569,9662488.0,1699,31,10,8,2
Lauryn Foster,91540,9658400.0,1406,25,5,3,2
Jenna Kosnoff,87907,9668612.0,1484,36,12,10,2
Jake Mahler,52587,9701437.0,177,29,12,10,2
Graham Kasten,120176,9677435.0,178,27,9,7,2
Brandon Mercado,39840,9689133.0,193,22,2,0,2
Grant Mealey,71660,9680051.0,199,33,4,2,2
Justin Batts,115221,9692738.0,205,27,3,1,2
Aaron Schneider,124157,9688522.0,210,19,4,2,2
Jordan Smith,108316,9699790.0,234,35,2,0,2
Mason Roell,122818,9692497.0,351,25,8,6,2
Pierre Cabral,117663,9703254.0,355,36,7,5,2
Tyree Reed,45036,11247542.0,355,36,6,4,2
Lukas Geer,55222,9691592.0,362,31,10,8,2
Alex Shane,55230,9685531.0,362,32,5,3,2
Vahn Lackey,68816,9704441.0,295,36,12,10,2
Marco Fernandez,131930,11228445.0,2257,29,8,6,2
Cannon Jackson,131935,11228477.0,2257,19,3,1,2
Jace Irvin,55239,9681712.0,363,29,5,3,2
Will Baker,116575,9702115.0,295,35,5,3,2
Nason Busca,53438,9679130.0,238,22,2,0,2
J. Padgett,132067,11243857.0,373,31,2,0,2
Dylan Witkowski,55663,9682597.0,389,26,5,3,2
Evan Sareyka,55662,9683459.0,389,26,5,3,2
Tanner Smith,132276,11231220.0,389,19,3,1,2
UNKNOWN Chapa,132678,11243853.0,391,29,2,0,2
Alex Hernandez,116574,9689598.0,295,35,7,5,2
S. Terrell,146502,11249037.0,399,36,4,2,2
Alex Kowalski,55915,9692690.0,408,32,7,5,2
Blythe Blakey,103726,9686483.0,1083,31,6,4,2
Colin Kissane,72995,9685131.0,418,27,11,9,2
Benton Jones,56221,9684800.0,426,31,5,3,2
Gabriel Pegues,133391,11247155.0,426,16,2,0,2
Guytano Kiesel,147001,11251028.0,766,17,2,0,2
Ryan Zuckerman,71060,11230384.0,295,36,14,12,2
Connor Hassan,66670,9678174.0,445,30,2,0,2
Nolan Williams,102514,9703662.0,444,33,12,10,2
Collin Bruning,106261,9702603.0,456,32,7,5,2
Connor Powell,131408,11247007.0,313,28,3,1,2
Evan Appelwick,41604,9699338.0,470,35,11,9,2
Easton Steck,133485,11214745.0,477,28,4,2,2
Jackson Fliflet,101377,9679240.0,481,35,10,8,2
Ryan Kessler,66761,9689146.0,504,10,2,0,2
Aubrey Kearns,99904,9705117.0,505,36,9,7,2
Caden Sheridan,100274,9695978.0,505,34,9,7,2
Davis Germann,57291,9690716.0,505,34,6,4,2
Kris Hokenson,57003,11228796.0,516,35,6,4,2
Payton Diaz,118697,9693507.0,544,29,3,1,2
Taylor Joseph,119275,9683495.0,550,26,7,5,2
Jeremiah Cabuyaban,53114,11210625.0,557,36,12,10,2
Jack Shaeffer,131217,11231896.0,314,22,4,2,2
Boe Rodriguez,131385,10802271.0,324,33,4,2,2
Adam Cooper,75668,9700146.0,605,17,4,2,2
Donato Incollingo,74058,9691831.0,603,30,11,9,2
Trey Fenderson,58966,11231497.0,614,35,4,2,2
Thomas Smith,75347,9678351.0,611,25,5,3,2
Quinn Hill,76346,9676998.0,769,16,2,0,2
Corie Lockette,69267,11248732.0,621,27,4,2,2
Kailis Mayo,58985,9687172.0,624,28,2,0,2
Jesse Bullard,135559,11227070.0,637,32,13,11,2
Dylan Oblepias,147273,10809182.0,2259,29,5,3,2
Maddox German,147257,10809228.0,2259,26,3,1,2
Ben Daniel,66823,9702110.0,642,29,3,1,2
Brandon Trichell,66837,9688592.0,642,30,3,1,2
Mason Krznarich,131374,10802311.0,324,28,7,5,2
Sam Reardon,135620,11218855.0,642,17,5,3,2
Danny Ferguson,117361,9703512.0,649,20,2,0,2
Mason Rasmussen,59400,9698961.0,656,24,3,1,2
Brayden Davis,76109,9698693.0,658,25,9,7,2
Brody Capps,100197,11211747.0,714,38,10,8,2
Connor Cuff,70400,11211750.0,714,38,9,7,2
Chase Bloomer,60092,9677126.0,705,37,7,5,2
Terrick Thompson-Allen,69341,11236829.0,705,28,9,7,2
Davis Gillespie,60326,9699523.0,722,37,9,7,2
Kyle Douin,60314,9688733.0,721,24,7,5,2
Xavier Bradley,118112,9692944.0,725,22,4,2,2
Jacoby Radcliffe,60365,9687915.0,725,32,2,0,2
Mason Eckman,146922,11249935.0,327,4,2,0,2
Adam Agresti,67592,9688321.0,740,36,14,12,2
Tyler Dean,55865,11329329.0,747,29,5,3,2
Tyler Rinehart,148656,11254274.0,575,27,7,5,2
Mike Tiseo,149721,11331055.0,583,22,6,4,2
Michael Girardi,61012,11332487.0,770,30,2,0,2
Landon Smelser,115405,9678059.0,777,36,6,4,2
Caden Sorrell,67771,9676762.0,782,34,17,15,2
Connor Harrison,70925,9694868.0,782,31,5,3,2
JP Kuczik,53638,9699035.0,251,28,3,1,2
Anthony Ruiz,137400,11247000.0,784,18,3,1,2
Manny Salas,137304,11243649.0,785,37,10,8,2
