gameId,sport,division,date,d
6540017,baseball,D1,2026-04-17,2026-04-17
6540831,baseball,D1,2026-04-02,2026-04-02
6541865,baseball,D1,2026-04-02,2026-04-02
6542330,baseball,D1,2026-03-20,2026-03-20
6542334,baseball,D1,2026-04-02,2026-04-02
6543470,baseball,D1,2026-04-02,2026-04-02
6545394,baseball,D1,2026-03-20,2026-03-20
6545865,baseball,D1,2026-02-13,2026-02-13
6546310,baseball,D1,2026-04-02,2026-04-02
6546466,baseball,D1,2026-04-02,2026-04-02
6546616,baseball,D1,2026-03-20,2026-03-20
6548660,baseball,D1,2026-04-02,2026-04-02
6548841,baseball,D1,2026-03-06,2026-03-06
6549419,baseball,D1,2026-04-02,2026-04-02
6553378,baseball,D1,2026-04-02,2026-04-02
6553575,baseball,D1,2026-04-02,2026-04-02
6568083,baseball,D1,2026-04-02,2026-04-02
6568099,baseball,D1,2026-04-02,2026-04-02
6568401,baseball,D1,2026-04-02,2026-04-02
6507133,baseball,D2,2026-04-03,2026-04-03
6519368,baseball,D2,2026-04-03,2026-04-03
6526134,baseball,D2,2026-04-03,2026-04-03
6527843,baseball,D2,2026-04-04,2026-04-04
6530419,baseball,D2,2026-04-03,2026-04-03
6537026,baseball,D2,2026-02-21,2026-02-21
6538101,baseball,D2,2026-04-03,2026-04-03
6565656,baseball,D2,2026-03-09,2026-03-09
6565657,baseball,D2,2026-03-09,2026-03-09
6565704,baseball,D2,2026-03-13,2026-03-13
6568454,baseball,D2,2026-04-04,2026-04-04
6568466,baseball,D2,2026-04-04,2026-04-04
6568492,baseball,D2,2026-04-04,2026-04-04
6568508,baseball,D2,2026-04-04,2026-04-04
6568523,baseball,D2,2026-04-04,2026-04-04
6568532,baseball,D2,2026-04-04,2026-04-04
6568535,baseball,D2,2026-04-04,2026-04-04
6568544,baseball,D2,2026-04-04,2026-04-04
6568548,baseball,D2,2026-04-04,2026-04-04
6568555,baseball,D2,2026-04-04,2026-04-04
6568568,baseball,D2,2026-04-04,2026-04-04
6568573,baseball,D2,2026-04-04,2026-04-04
6568641,baseball,D2,2026-04-05,2026-04-05
6568642,baseball,D2,2026-04-03,2026-04-03
6568698,baseball,D2,2026-04-04,2026-04-04
6568715,baseball,D2,2026-04-04,2026-04-04
6568716,baseball,D2,2026-04-04,2026-04-04
6568773,baseball,D2,2026-04-06,2026-04-06
6568781,baseball,D2,2026-04-03,2026-04-03
6568789,baseball,D2,2026-04-06,2026-04-06
6568796,baseball,D2,2026-04-06,2026-04-06
6573042,baseball,D2,2026-04-06,2026-04-06
6573050,baseball,D2,2026-04-11,2026-04-11
6459251,baseball,D3,2026-04-05,2026-04-05
6459297,baseball,D3,2026-04-12,2026-04-12
6459314,baseball,D3,2026-04-17,2026-04-17
6459322,baseball,D3,2026-04-17,2026-04-17
6467730,baseball,D3,2026-04-16,2026-04-16
6480299,baseball,D3,2026-04-06,2026-04-06
6480320,baseball,D3,2026-04-17,2026-04-17
6481671,baseball,D3,2026-04-04,2026-04-04
6481672,baseball,D3,2026-04-04,2026-04-04
6481794,baseball,D3,2026-04-05,2026-04-05
6481802,baseball,D3,2026-04-12,2026-04-12
6483031,baseball,D3,2026-04-04,2026-04-04
6483032,baseball,D3,2026-04-04,2026-04-04
6483874,baseball,D3,2026-04-04,2026-04-04
6483875,baseball,D3,2026-04-04,2026-04-04
6483882,baseball,D3,2026-04-17,2026-04-17
6485455,baseball,D3,2026-04-04,2026-04-04
6485456,baseball,D3,2026-04-04,2026-04-04
6486141,baseball,D3,2026-04-15,2026-04-15
6486724,baseball,D3,2026-04-04,2026-04-04
6486725,baseball,D3,2026-04-04,2026-04-04
6489784,baseball,D3,2026-04-02,2026-04-02
6489785,baseball,D3,2026-04-02,2026-04-02
6490596,baseball,D3,2026-04-02,2026-04-02
6490597,baseball,D3,2026-04-04,2026-04-04
6490599,baseball,D3,2026-04-04,2026-04-04
6490607,baseball,D3,2026-04-17,2026-04-17
6491238,baseball,D3,2026-04-04,2026-04-04
6491239,baseball,D3,2026-04-04,2026-04-04
6491240,baseball,D3,2026-04-08,2026-04-08
6491302,baseball,D3,2026-04-04,2026-04-04
6491303,baseball,D3,2026-04-04,2026-04-04
6491309,baseball,D3,2026-04-17,2026-04-17
6492058,baseball,D3,2026-04-04,2026-04-04
6492062,baseball,D3,2026-04-04,2026-04-04
6492286,baseball,D3,2026-04-02,2026-04-02
6492297,baseball,D3,2026-04-04,2026-04-04
6493296,baseball,D3,2026-04-04,2026-04-04
6493327,baseball,D3,2026-04-17,2026-04-17
6493492,baseball,D3,2026-04-04,2026-04-04
6493495,baseball,D3,2026-04-04,2026-04-04
6493498,baseball,D3,2026-04-07,2026-04-07
6493503,baseball,D3,2026-04-08,2026-04-08
6494181,baseball,D3,2026-04-04,2026-04-04
6494185,baseball,D3,2026-04-04,2026-04-04
6494211,baseball,D3,2026-04-17,2026-04-17
6495258,baseball,D3,2026-04-02,2026-04-02
6495260,baseball,D3,2026-04-17,2026-04-17
6495620,baseball,D3,2026-04-04,2026-04-04
6495622,baseball,D3,2026-04-04,2026-04-04
6495908,baseball,D3,2026-04-02,2026-04-02
6495911,baseball,D3,2026-04-02,2026-04-02
6495958,baseball,D3,2026-04-04,2026-04-04
6495963,baseball,D3,2026-04-04,2026-04-04
6496350,baseball,D3,2026-04-05,2026-04-05
6496351,baseball,D3,2026-04-05,2026-04-05
6496352,baseball,D3,2026-04-04,2026-04-04
6496704,baseball,D3,2026-04-04,2026-04-04
6496712,baseball,D3,2026-04-04,2026-04-04
6496759,baseball,D3,2026-04-12,2026-04-12
6496773,baseball,D3,2026-04-04,2026-04-04
6496936,baseball,D3,2026-04-04,2026-04-04
6496940,baseball,D3,2026-04-04,2026-04-04
