year,sport,snapshot_date,is_selection,rank,yearId,name,w,l,wp,owp,oowp,rpi
2024,baseball,2024-02-19,False,142.0,573989,A&M-Corpus Christi,2,2,0.58824,0.5,0.5,0.52206
2024,baseball,2024-02-19,False,84.0,573995,Abilene Christian,3,1,0.61765,0.5,0.75,0.59191
2024,baseball,2024-02-19,False,160.0,573924,Air Force,1,2,0.48148,0.5,0.33333,0.4537
2024,baseball,2024-02-19,False,143.0,573912,Akron,2,2,0.54054,0.5,0.5,0.51014
2024,baseball,2024-02-19,False,2.0,573998,Alabama,3,0,1.0,0.5,1.0,0.75
2024,baseball,2024-02-19,False,160.0,573996,Alabama A&M,1,2,0.48148,0.5,0.33333,0.4537
2024,baseball,2024-02-19,False,152.0,573997,Alabama St.,2,2,0.35,0.5,0.5,0.4625
2024,baseball,2024-02-19,False,238.0,574001,Alcorn,0,3,0.0,0.5,0.33333,0.33333
2024,baseball,2024-02-19,False,65.0,574002,App State,2,1,0.78788,0.5,0.66667,0.61364
2024,baseball,2024-02-19,False,100.0,574004,Arizona,2,1,0.51852,0.5,0.66667,0.5463
2024,baseball,2024-02-19,False,100.0,574003,Arizona St.,2,1,0.51852,0.5,0.66667,0.5463
2024,baseball,2024-02-19,False,100.0,573982,Ark.-Pine Bluff,2,1,0.51852,0.5,0.66667,0.5463
2024,baseball,2024-02-19,False,100.0,574006,Arkansas,2,1,0.51852,0.5,0.66667,0.5463
2024,baseball,2024-02-19,False,2.0,574005,Arkansas St.,3,0,1.0,0.5,1.0,0.75
2024,baseball,2024-02-19,False,145.0,573925,Army West Point,2,2,0.5,0.5,0.5,0.5
2024,baseball,2024-02-19,False,2.0,574008,Auburn,3,0,1.0,0.5,1.0,0.75
2024,baseball,2024-02-19,False,100.0,574009,Austin Peay,2,1,0.51852,0.5,0.66667,0.5463
2024,baseball,2024-02-19,False,212.0,574018,BYU,1,1,0.5,0.25,0.55556,0.38889
2024,baseball,2024-02-19,False,95.0,574010,Ball St.,3,1,0.75,0.45833,0.5816,0.56207
2024,baseball,2024-02-19,False,243.0,574012,Baylor,0,3,0.0,0.33333,0.44444,0.27778
