year,sport,snapshot_date,is_selection,rank,yearId,name,w,l,wp,owp,oowp,rpi
2025,baseball,2025-02-17,False,233.0,596471,A&M-Corpus Christi,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,193.0,596477,Abilene Christian,1,2,0.33333,0.5,0.33333,0.41667
2025,baseball,2025-02-17,False,233.0,596430,Air Force,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,76.0,596419,Akron,2,1,0.78788,0.5,0.66667,0.61364
2025,baseball,2025-02-17,False,1.0,596480,Alabama,3,0,1.0,0.5,1.0,0.75
2025,baseball,2025-02-17,False,162.0,596478,Alabama A&M,1,2,0.33333,0.5,0.48148,0.4537
2025,baseball,2025-02-17,False,225.0,596479,Alabama St.,1,3,0.15217,0.5,0.25,0.35054
2025,baseball,2025-02-17,False,,596483,Alcorn,0,0,0.5,0.5,0.5,0.5
2025,baseball,2025-02-17,False,203.0,596484,App State,1,2,0.21212,0.5,0.33333,0.38636
2025,baseball,2025-02-17,False,228.0,596706,Arizona,0,3,0.0,0.5,0.37037,0.34259
2025,baseball,2025-02-17,False,1.0,596485,Arizona St.,3,0,1.0,0.5,1.0,0.75
2025,baseball,2025-02-17,False,233.0,596466,Ark.-Pine Bluff,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,1.0,596487,Arkansas,3,0,1.0,0.5,1.0,0.75
2025,baseball,2025-02-17,False,153.0,596486,Arkansas St.,1,1,0.35,0.5,0.5,0.4625
2025,baseball,2025-02-17,False,193.0,596702,Army West Point,1,2,0.33333,0.5,0.33333,0.41667
2025,baseball,2025-02-17,False,103.0,596489,Auburn,2,1,0.51852,0.5,0.66667,0.5463
2025,baseball,2025-02-17,False,219.0,596490,Austin Peay,1,2,0.33333,0.33333,0.44444,0.36111
2025,baseball,2025-02-17,False,162.0,596499,BYU,1,2,0.48148,0.5,0.33333,0.4537
2025,baseball,2025-02-17,False,73.0,596491,Ball St.,2,1,0.66667,0.66667,0.48148,0.62037
2025,baseball,2025-02-17,False,1.0,596493,Baylor,3,0,1.0,0.5,1.0,0.75
2025,baseball,2025-02-17,False,233.0,596693,Bellarmine,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,233.0,596470,Belmont,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,233.0,596494,Bethune-Cookman,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,233.0,596495,Binghamton,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,134.0,596496,Boston College,1,1,0.65,0.5,0.5,0.5375
2025,baseball,2025-02-17,False,76.0,596497,Bowling Green,2,1,0.78788,0.5,0.66667,0.61364
2025,baseball,2025-02-17,False,233.0,596498,Bradley,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,,596500,Brown,0,0,0.5,0.5,0.5,0.5
2025,baseball,2025-02-17,False,134.0,596501,Bryant,1,1,0.65,0.5,0.5,0.5375
2025,baseball,2025-02-17,False,162.0,596502,Bucknell,1,2,0.48148,0.5,0.33333,0.4537
2025,baseball,2025-02-17,False,196.0,596503,Butler,1,3,0.38235,0.5,0.25,0.40809
2025,baseball,2025-02-17,False,203.0,596505,CSU Bakersfield,1,2,0.21212,0.5,0.33333,0.38636
2025,baseball,2025-02-17,False,162.0,596508,CSUN,1,2,0.48148,0.5,0.33333,0.4537
2025,baseball,2025-02-17,False,233.0,596504,Cal Poly,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,233.0,596506,Cal St. Fullerton,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,103.0,596511,California,2,1,0.51852,0.5,0.66667,0.5463
2025,baseball,2025-02-17,False,103.0,596476,California Baptist,2,1,0.51852,0.5,0.66667,0.5463
2025,baseball,2025-02-17,False,233.0,596516,Campbell,0,3,0.0,0.5,0.0,0.25
2025,baseball,2025-02-17,False,,596517,Canisius,0,0,0.5,0.5,0.5,0.5
2025,baseball,2025-02-17,False,162.0,596457,Central Ark.,1,2,0.48148,0.5,0.33333,0.4537
2025,baseball,2025-02-17,False,,596518,Central Conn. St.,0,0,0.5,0.5,0.5,0.5
2025,baseball,2025-02-17,False,196.0,596520,Central Mich.,1,3,0.38235,0.5,0.25,0.40809
2025,baseball,2025-02-17,False,192.0,596492,Charleston So.,2,1,0.51852,0.33333,0.51852,0.42593
2025,baseball,2025-02-17,False,153.0,596615,Charlotte,1,1,0.35,0.5,0.5,0.4625
2025,baseball,2025-02-17,False,76.0,596521,Cincinnati,2,1,0.78788,0.5,0.66667,0.61364
2025,baseball,2025-02-17,False,147.0,596523,Clemson,2,1,0.66667,0.33333,0.59259,0.48148
2025,baseball,2025-02-17,False,67.0,596524,Coastal Carolina,3,0,1.0,0.5,0.55556,0.63889
2025,baseball,2025-02-17,False,103.0,596459,Col. of Charleston,2,1,0.51852,0.5,0.66667,0.5463
2025,baseball,2025-02-17,False,,596525,Columbia,0,0,0.5,0.5,0.5,0.5
2025,baseball,2025-02-17,False,153.0,596527,Coppin St.,1,1,0.35,0.5,0.5,0.4625
2025,baseball,2025-02-17,False,,596528,Cornell,0,0,0.5,0.5,0.5,0.5
2025,baseball,2025-02-17,False,162.0,596529,Creighton,1,2,0.48148,0.5,0.33333,0.4537
2025,baseball,2025-02-17,False,1.0,596703,DBU,3,0,1.0,0.5,1.0,0.75
