year,sport,snapshot_date,is_selection,rank,yearId,name,w,l,wp,owp,oowp,rpi
2023,baseball,2023-02-20,False,101.0,548068,A&M-Corpus Christi,2,1,0.51852,0.5,0.66667,0.5463
2023,baseball,2023-02-20,False,101.0,548074,Abilene Christian,2,1,0.51852,0.5,0.66667,0.5463
2023,baseball,2023-02-20,False,191.0,547889,Air Force,1,2,0.33333,0.5,0.33333,0.41667
2023,baseball,2023-02-20,False,131.0,547860,Akron,2,2,0.65,0.5,0.5,0.5375
2023,baseball,2023-02-20,False,3.0,548077,Alabama,3,0,1.0,0.5,1.0,0.75
2023,baseball,2023-02-20,False,3.0,548075,Alabama A&M,3,0,1.0,0.5,1.0,0.75
2023,baseball,2023-02-20,False,86.0,548076,Alabama St.,3,1,0.61765,0.5,0.75,0.59191
2023,baseball,2023-02-20,False,237.0,548080,Alcorn,0,3,0.0,0.5,0.0,0.25
2023,baseball,2023-02-20,False,3.0,548081,App State,3,0,1.0,0.5,1.0,0.75
2023,baseball,2023-02-20,False,99.0,548083,Arizona,2,1,0.66667,0.5,0.55556,0.55556
2023,baseball,2023-02-20,False,3.0,548082,Arizona St.,3,0,1.0,0.5,1.0,0.75
2023,baseball,2023-02-20,False,237.0,548061,Ark.-Pine Bluff,0,3,0.0,0.5,0.0,0.25
2023,baseball,2023-02-20,False,141.0,548085,Arkansas,2,1,0.66667,0.33333,0.66667,0.5
2023,baseball,2023-02-20,False,3.0,548084,Arkansas St.,3,0,1.0,0.5,1.0,0.75
2023,baseball,2023-02-20,False,91.0,547902,Army West Point,2,1,0.66667,0.5,0.66667,0.58333
2023,baseball,2023-02-20,False,101.0,548087,Auburn,2,1,0.51852,0.5,0.66667,0.5463
2023,baseball,2023-02-20,False,208.0,548088,Austin Peay,1,2,0.21212,0.5,0.33333,0.38636
2023,baseball,2023-02-20,False,64.0,548097,BYU,2,1,0.78788,0.5,0.66667,0.61364
2023,baseball,2023-02-20,False,199.0,548089,Ball St.,1,3,0.38235,0.5,0.25,0.40809
2023,baseball,2023-02-20,False,208.0,548091,Baylor,1,2,0.21212,0.5,0.33333,0.38636
2023,baseball,2023-02-20,False,3.0,548307,Bellarmine,3,0,1.0,0.5,1.0,0.75
2023,baseball,2023-02-20,False,153.0,548066,Belmont,2,2,0.35,0.5,0.5,0.4625
2023,baseball,2023-02-20,False,101.0,548092,Bethune-Cookman,2,1,0.51852,0.5,0.66667,0.5463
2023,baseball,2023-02-20,False,237.0,548093,Binghamton,0,3,0.0,0.5,0.0,0.25
2023,baseball,2023-02-20,False,64.0,548094,Boston College,2,1,0.78788,0.5,0.66667,0.61364
2023,baseball,2023-02-20,False,157.0,548095,Bowling Green,1,2,0.48148,0.5,0.33333,0.4537
2023,baseball,2023-02-20,False,157.0,548096,Bradley,1,2,0.48148,0.5,0.33333,0.4537
2023,baseball,2023-02-20,False,,548098,Brown,0,0,0.5,0.5,0.5,0.5
