year,sport,school,conference,record,berth_type
2018,baseball,Big 12,5,"Texas Tech , Texas , Oklahoma State , Oklahoma , Baylor",
2018,baseball,American,4,"East Carolina , Houston , South Florida , Connecticut",
2018,baseball,Big Ten,4,"Minnesota , Indiana , Ohio State , Purdue",
2018,baseball,Pac-12,4,"Oregon State , UCLA , Stanford , Washington",
2018,baseball,Atlantic Sun,2,"Stetson , Jacksonville",
2018,baseball,Colonial,2,"Northeastern , UNC Wilmington",
2018,baseball,Conference USA,2,"Southern Miss , Florida Atlantic",
2018,baseball,Missouri Valley,2,"Missouri State , Dallas Baptist",
2018,baseball,Ohio Valley,2,"Tennessee Tech , Morehead State",
2018,baseball,Sun Belt,2,"Coastal Carolina , Troy",
2018,baseball,America East,1,Hartford,
2018,baseball,Atlantic 10,1,Saint Louis,
2018,baseball,Big East,1,St. John's,
2018,baseball,Big South,1,Campbell,
2018,baseball,Big West,1,Cal State Fullerton,
2018,baseball,Horizon,1,Wright State,
2018,baseball,Ivy,1,Columbia,
2018,baseball,MAAC,1,Canisius,
2018,baseball,Mid-American,1,Kent State,
2018,baseball,MEAC,1,North Carolina A&T,
2018,baseball,Mountain West,1,San Diego State,
2018,baseball,NEC,1,LIU Brooklyn,
2018,baseball,Patriot,1,Army,
2018,baseball,Southern,1,Samford,
2018,baseball,Southland,1,Northwestern State,
2018,baseball,Summit,1,Oral Roberts,
2018,baseball,SWAC,1,Texas Southern,
2018,baseball,West Coast,1,Gonzaga,
2018,baseball,WAC,1,New Mexico State,
2018,baseball,Arkansas,SEC,44–19 (18–12),Dave Van Horn
2018,baseball,Florida,SEC,47–19 (20–10),Kevin O'Sullivan
2018,baseball,Mississippi State,SEC,37–27 (15–15),Gary Henderson
2018,baseball,North Carolina,ACC,43–18 (22–8),Mike Fox
2018,baseball,Oregon State,Pac-12,49–10–1 (20–9–1),Pat Casey
2018,baseball,Texas,Big 12,42–21 (17–7),David Pierce
2018,baseball,Texas Tech,Big 12,44–16 (15–9),Tim Tadlock
2018,baseball,Washington,Pac-12,35–24 (20–10),Lindsay Meggs
2018,baseball,P,Kevin Abel,Oregon State,
2018,baseball,Blaine Knight,Arkansas,,
2018,baseball,C,Adley Rutschman ( MOP ),Oregon State,
2018,baseball,1B,Jared Gates,Arkansas,
2018,baseball,2B,Hunter Stovall,Mississippi State,
2018,baseball,3B,Casey Martin,Arkansas,
2018,baseball,SS,Cadyn Grenier,Oregon State,
2018,baseball,OF,Dominic Fletcher,Arkansas,
2018,baseball,Heston Kjerstad,Arkansas,,
2018,baseball,Trevor Larnach,Oregon State,,
2018,baseball,DH,Tyler Malone,Oregon State,
2018,baseball,1st,No. 3 Oregon State,11–2,
2018,baseball,2nd,No. 5 Arkansas,9–3,
2018,baseball,3rd,No. 1 Florida,7–4,
2018,baseball,5th,No. 6 North Carolina,6–2,
2018,baseball,No. 9 Texas Tech,6–3,,
2018,baseball,7th,No. 13 Texas,5–3,
2018,baseball,9th,Auburn,4–2,
2018,baseball,Duke,5–3,,
2018,baseball,No. 14 Minnesota,3–2,,
2018,baseball,South Carolina,4–2,,
2018,baseball,No. 11 Stetson,3–2,,
2018,baseball,Tennessee Tech,5–3,,
2018,baseball,Vanderbilt,4–2,,
2018,baseball,17th,No. 10 Clemson,2–2,
2018,baseball,Connecticut,2–2,,
2018,baseball,Dallas Baptist,2–2,,
2018,baseball,Florida Atlantic,3–2,,
2018,baseball,No. 8 Georgia,2–2,,
2018,baseball,Houston,2–2,,
2018,baseball,Indiana,2–2,,
2018,baseball,Louisville,2–2,,
2018,baseball,LSU,2–2,,
2018,baseball,No. 16 NC State,2–2,,
2018,baseball,Oklahoma,2–2,,
2018,baseball,Oklahoma State,2–2,,
2018,baseball,No. 4 Ole Miss,2–2,,
2018,baseball,No. 2 Stanford,2–2,,
2018,baseball,UCLA,2–2,,
2018,baseball,33rd,Army,1–2,
2018,baseball,No. 15 Coastal Carolina,1–2,,
2018,baseball,No. 12 East Carolina,1–2,,
2018,baseball,Jacksonville,1–2,,
2018,baseball,Purdue,1–2,,
2018,baseball,South Florida,1–2,,
2018,baseball,Texas A&M,1–2,,
2018,baseball,Troy,1–2,,
2018,baseball,49th,Campbell,0–2,
2018,baseball,No. 7 Florida State,0–2,,
2018,baseball,Northeastern,0–2,,
2018,baseball,Ohio State,0–2,,
2019,baseball,Stony Brook,America East,31–21 (15–9),Tournament
2019,baseball,Cincinnati,American,28–29 (13–11),Tournament
2019,baseball,North Carolina,Atlantic Coast,46–19 (17–13),Tournament
2019,baseball,Liberty,Atlantic Sun,42–19 (15–9),Tournament
2019,baseball,Fordham,Atlantic 10,38–22 (15–9),Tournament
2019,baseball,Creighton,Big East,38–11 (13–4),Tournament
2019,baseball,Campbell,Big South,35–19 (19–7),Tournament
2019,baseball,Ohio State,Big Ten,35–25 (12–12),Tournament
2019,baseball,Oklahoma State,Big 12,36–18 (14–9),Tournament
2019,baseball,UC Santa Barbara,Big West,45–9 (19–5),Regular season
2019,baseball,UNC Wilmington,Colonial,32–29 (12–12),Tournament
2019,baseball,Southern Miss,Conference USA,38–19 (21–10),Tournament
2019,baseball,UIC,Horizon,29–21 (18–11),Tournament
2019,baseball,Harvard,Ivy League,27–14 (14–7),Championship series
2019,baseball,Quinnipiac,MAAC,29–27 (17–7),Tournament
2019,baseball,Central Michigan,Mid-American,46–12 (22–5),Tournament
2019,baseball,Florida A&M,Mid-Eastern,27–32 (14–10),Tournament
2019,baseball,Indiana State,Missouri Valley,41–16 (13–8),Tournament
2019,baseball,Fresno State,Mountain West,38–14–1 (21–8–1),Tournament
2019,baseball,Central Connecticut,Northeast,30–21 (16–8),Tournament
2019,baseball,Jacksonville State,Ohio Valley,37–21 (22–8),Tournament
2019,baseball,UCLA,Pac-12,47–8 (24–5),Regular season
2019,baseball,Army,Patriot,35–24 (15–10),Tournament
2019,baseball,Vanderbilt,Southeastern,49–10 (23–7),Tournament
2019,baseball,Mercer,SoCon,35–27 (14–10),Tournament
2019,baseball,McNeese State,Southland,35–24 (16–14),Tournament
2019,baseball,Southern,Southwestern Athletic,32–22 (18–6),Tournament
2019,baseball,Omaha,Summit,30–22–1 (21–11),Tournament
2019,baseball,Coastal Carolina,Sun Belt,35–24–1 (16–13),Tournament
2019,baseball,Loyola Marymount,West Coast,32–23 (15–12),Tournament
2019,baseball,Sacramento State,Western Athletic,39–23 (18–9),Tournament
2019,baseball,SEC,10,"Arkansas , Auburn , Florida , Georgia , LSU , Mississippi State , Ole Miss , Tennessee , Texas A&M , Vanderbilt",
2019,baseball,ACC,8,"Clemson , Duke , Florida State , Georgia Tech , Louisville , Miami (FL) , NC State , North Carolina",
2019,baseball,Big Ten,5,"Illinois , Indiana , Michigan , Nebraska , Ohio State",
2019,baseball,Big 12,5,"Baylor , Oklahoma State , TCU , Texas Tech , West Virginia",
2019,baseball,Pac-12,5,"Arizona State , California , Oregon State , Stanford , UCLA",
2019,baseball,American,3,"Cincinnati , UConn , East Carolina",
2019,baseball,Missouri Valley,3,"Dallas Baptist , Illinois State , Indiana State",
2019,baseball,Conference USA,2,"Florida Atlantic , Southern Miss",
2019,baseball,America East,1,Stony Brook,
2019,baseball,Atlantic Sun,1,Liberty,
2019,baseball,Atlantic 10,1,Fordham,
2019,baseball,Big East,1,Creighton,
2019,baseball,Big South,1,Campbell,
2019,baseball,Big West,1,UC Santa Barbara,
2019,baseball,Colonial,1,UNC Wilmington,
2019,baseball,Horizon,1,UIC,
2019,baseball,Ivy,1,Harvard,
2019,baseball,MAAC,1,Quinnipiac,
2019,baseball,Mid-American,1,Central Michigan,
2019,baseball,Mid-Eastern,1,Florida A&M,
2019,baseball,Mountain West,1,Fresno State,
2019,baseball,Northeast,1,Central Connecticut,
2019,baseball,Ohio Valley,1,Jacksonville State,
2019,baseball,Patriot,1,Army,
2019,baseball,SoCon,1,Mercer,
2019,baseball,Southland,1,McNeese State,
2019,baseball,Southwestern,1,Southern,
2019,baseball,Sun Belt,1,Coastal Carolina,
2019,baseball,Summit,1,Omaha,
2019,baseball,WAC,1,Sacramento State,
2019,baseball,West Coast,1,Loyola Marymount,
2019,baseball,Arkansas,SEC,46–18 (20–10),Dave Van Horn
2019,baseball,Auburn,SEC,38–26 (14–16),Butch Thompson
2019,baseball,Florida State,ACC,41–21 (17–13),Mike Martin
2019,baseball,Louisville,ACC,49–16 (21–9),Dan McDonnell
2019,baseball,Michigan,Big Ten,46–20 (16–7),Erik Bakich
2019,baseball,Mississippi State,SEC,51–13 (20–10),Chris Lemonis
2019,baseball,Texas Tech,Big 12,44–18 (16–8),Tim Tadlock
2019,baseball,P,Kumar Rocker ( MOP ),Vanderbilt,
2019,baseball,Tommy Henry,Michigan,,
2019,baseball,C,Philip Clarke,Vanderbilt,
2019,baseball,1B,Jimmy Kerr,Michigan,
2019,baseball,2B,Ako Thomas,Michigan,
2019,baseball,3B,Austin Martin,Vanderbilt,
2019,baseball,SS,Jack Blomgren,Michigan,
2019,baseball,OF,J. J. Bleday,Vanderbilt,
2019,baseball,Drew Campbell,Louisville,,
2019,baseball,Jesse Franklin,Michigan,,
2019,baseball,DH,Cameron Warren,Texas Tech,
2019,baseball,1st,No. 2 Vanderbilt,10–2,
2019,baseball,2nd,Michigan,9–4,
2019,baseball,3rd,No. 7 Louisville,8–3,
2019,baseball,No. 8 Texas Tech,7–3,,
2019,baseball,5th,Florida State,6–2,
2019,baseball,No. 6 Mississippi State,6–2,,
2019,baseball,7th,No. 5 Arkansas,5–3,
2019,baseball,9th,Duke,4–2,
2019,baseball,No. 10 East Carolina,4–3,,
2019,baseball,No. 13 LSU,3–2,,
2019,baseball,No. 14 North Carolina,4–2,,
2019,baseball,No. 9 Oklahoma State,4–3,,
2019,baseball,No. 12 Ole Miss,4–2,,
2019,baseball,No. 11 Stanford,4–3,,
2019,baseball,No. 1 UCLA,5–3,,
2019,baseball,17th,Campbell,2–2,
2019,baseball,Dallas Baptist,2–2,,
2019,baseball,No. 4 Georgia,2–2,,
2019,baseball,No. 3 Georgia Tech,2–2,,
2019,baseball,Illinois State,2–2,,
2019,baseball,Miami,2–2,,
2019,baseball,TCU,2–2,,
2019,baseball,Tennessee,2–2,,
2019,baseball,Texas A&M,2–2,,
2019,baseball,UConn,3–2,,
2019,baseball,33rd,Arizona State,1–2,
2019,baseball,Baylor,1–2,,
2019,baseball,Central Connecticut State,1–2,,
2019,baseball,Clemson,1–2,,
2019,baseball,Florida,1–2,,
2019,baseball,Florida Atlantic,1–2,,
2019,baseball,Indiana,1–2,,
2019,baseball,Nebraska,1–2,,
2019,baseball,No. 15 West Virginia,1–2,,
2019,baseball,49th,Army,0–2,
2019,baseball,California,0–2,,
2019,baseball,Illinois,0–2,,
2019,baseball,NC State,0–2,,
2019,baseball,No. 16 Oregon State,0–2,,
