year,team,rpi_rank,in_tournament,is_host,w,l,q1_w,q1_l,q2_w,q2_l,q1q2_w,q1q2_g,q1q2_pct,note
2014,Maine,230,False,False,24,29,1,5,2,4,3,12,0.25,
2014,Hofstra,231,False,False,20,24,1,2,4,7,5,14,0.3571,
2014,Longwood,232,False,False,22,33,1,1,5,14,6,21,0.2857,
2014,Georgetown,233,False,False,19,29,0,3,1,7,1,11,0.0909,
2014,Temple,234,False,False,15,32,2,8,2,10,4,22,0.1818,
2014,Lehigh,235,False,False,25,24,0,0,1,4,1,5,0.2,
2014,SIUE,236,False,False,21,33,0,6,0,6,0,12,0.0,
2014,Butler,237,False,False,20,30,0,7,2,7,2,16,0.125,
2014,Austin Peay,238,False,False,23,33,0,2,4,11,4,17,0.2353,
2014,Penn St.,239,False,False,18,32,0,6,3,12,3,21,0.1429,
2014,Fordham,240,False,False,24,30,0,1,1,7,1,9,0.1111,
2014,CSU Bakersfield,241,False,False,26,33,0,4,1,7,1,12,0.0833,
2014,Presbyterian,242,False,False,19,34,1,9,1,8,2,19,0.1053,
2014,Lafayette,243,False,False,15,26,0,0,0,9,0,9,0.0,
2014,Louisiana Tech,244,False,False,15,35,1,8,5,11,6,25,0.24,
2014,Brown,245,False,False,13,24,1,6,1,4,2,12,0.1667,
2014,Massachusetts,246,False,False,15,31,0,3,2,4,2,9,0.2222,
2014,Quinnipiac,247,False,False,18,31,0,3,2,8,2,13,0.1538,
2014,Mount St. Mary's,248,False,False,17,24,1,2,6,8,7,17,0.4118,
2014,Texas Southern,249,False,False,23,29,0,7,0,1,0,8,0.0,
2014,UIC,250,False,False,24,27,0,3,0,4,0,7,0.0,
2014,Jackson St.,251,True,False,30,23,0,2,2,1,2,5,0.4,
2014,Delaware St.,252,False,False,30,17,0,0,0,0,0,0,0.0,
2014,La Salle,253,False,False,14,34,0,8,1,4,1,13,0.0769,
2014,Purdue Fort Wayne,254,False,False,19,36,0,3,1,6,1,10,0.1,
2014,Savannah St.,255,False,False,22,31,1,3,0,0,1,4,0.25,
2014,Norfolk St.,256,False,False,23,26,1,0,0,7,1,8,0.125,
2014,UMBC,257,False,False,17,29,0,7,0,3,0,10,0.0,
2014,Eastern Mich.,258,False,False,19,34,1,8,1,2,2,12,0.1667,
2014,New Mexico St.,259,False,False,23,31,0,6,1,3,1,10,0.1,
2014,FDU,260,False,False,15,32,0,0,0,8,0,8,0.0,
