kind,year,team,rpi_rank,w,l,q1q2_w,q1q2_g,q1q2_pct,is_host
historical,2019,LSU,18,37,24,22,43,0.5116,True
historical,2019,Ole Miss,20,37,25,24,46,0.5217,True
historical,2019,Oregon St.,21,36,18,26,41,0.6341,True
historical,2021,Arkansas,1,46,10,27,35,0.7714,True
historical,2021,Texas,2,42,15,19,31,0.6129,True
historical,2021,Vanderbilt,3,40,15,21,35,0.6,True
historical,2021,TCU,4,40,17,29,42,0.6905,True
historical,2021,Arizona,5,40,15,17,29,0.5862,True
historical,2021,Tennessee,6,45,16,26,41,0.6341,True
historical,2021,Mississippi St.,7,40,15,20,31,0.6452,True
historical,2021,Old Dominion,8,42,14,22,33,0.6667,True
historical,2021,Notre Dame,10,30,11,27,38,0.7105,True
historical,2021,Texas Tech,11,36,15,22,37,0.5946,True
historical,2021,Stanford,12,33,14,20,30,0.6667,True
historical,2021,East Carolina,13,41,15,21,32,0.6562,True
historical,2021,Oregon,14,37,14,21,32,0.6562,True
historical,2021,Ole Miss,16,41,19,20,35,0.5714,True
historical,2021,Florida,18,38,20,20,38,0.5263,True
historical,2021,Louisiana Tech,33,40,18,14,27,0.5185,True
historical,2022,Tennessee,1,53,7,36,42,0.8571,True
historical,2022,Oregon St.,2,44,15,30,43,0.6977,True
historical,2022,Stanford,3,41,14,21,32,0.6562,True
historical,2022,North Carolina,4,38,19,26,44,0.5909,True
historical,2022,Virginia Tech,5,41,12,20,31,0.6452,True
historical,2022,Maryland,6,45,12,16,23,0.6957,True
historical,2022,Ga. Southern,7,40,18,17,32,0.5312,True
historical,2022,East Carolina,9,42,18,16,28,0.5714,True
historical,2022,Auburn,11,37,19,22,39,0.5641,True
historical,2022,Louisville,12,38,18,25,40,0.625,True
historical,2022,Miami (FL),13,39,18,21,35,0.6,True
historical,2022,Oklahoma St.,17,39,20,26,44,0.5909,True
historical,2022,Southern Miss.,19,43,16,21,35,0.6,True
historical,2022,Florida,20,39,22,24,45,0.5333,True
historical,2022,Texas,22,42,19,20,38,0.5263,True
historical,2022,Texas A&M,23,37,18,23,38,0.6053,True
historical,2023,Wake Forest,1,47,10,31,41,0.7561,True
historical,2023,Kentucky,2,36,18,25,43,0.5814,True
historical,2023,Arkansas,3,41,16,27,41,0.6585,True
historical,2023,LSU,4,43,15,27,41,0.6585,True
historical,2023,Clemson,5,43,17,31,45,0.6889,True
historical,2023,Florida,6,44,14,28,40,0.7,True
historical,2023,Vanderbilt,7,41,18,26,41,0.6341,True
historical,2023,South Carolina,8,39,19,21,39,0.5385,True
historical,2023,Indiana St.,9,42,15,10,20,0.5,True
historical,2023,Virginia,10,45,12,21,31,0.6774,True
historical,2023,Alabama,11,40,19,20,36,0.5556,True
historical,2023,Stanford,12,38,16,27,40,0.675,True
historical,2023,Coastal Carolina,14,39,19,21,35,0.6,True
historical,2023,Miami (FL),16,40,19,23,40,0.575,True
historical,2023,Oklahoma St.,20,41,18,23,39,0.5897,True
historical,2023,Auburn,21,34,21,24,42,0.5714,True
historical,2024,Texas A&M,1,44,13,26,39,0.6667,True
historical,2024,Tennessee,2,50,11,30,40,0.75,True
historical,2024,North Carolina,3,42,13,23,36,0.6389,True
historical,2024,Arkansas,4,43,14,24,38,0.6316,True
historical,2024,Kentucky,5,40,14,28,39,0.7179,True
historical,2024,Georgia,6,39,15,22,35,0.6286,True
historical,2024,Clemson,7,41,14,23,34,0.6765,True
historical,2024,Florida St.,8,42,15,18,32,0.5625,True
historical,2024,UC Santa Barbara,9,42,12,17,25,0.68,True
historical,2024,Virginia,12,41,15,26,40,0.65,True
historical,2024,Oklahoma St.,13,40,17,26,41,0.6341,True
historical,2024,NC State,14,33,20,18,36,0.5,True
historical,2024,Oklahoma,15,37,19,26,43,0.6047,True
historical,2024,Oregon St.,16,42,14,13,23,0.5652,True
historical,2024,East Carolina,18,43,15,12,21,0.5714,True
historical,2024,Arizona,28,36,21,18,32,0.5625,True
historical,2025,Vanderbilt,1,42,16,29,44,0.6591,True
historical,2025,Georgia,2,42,15,23,38,0.6053,True
historical,2025,Auburn,3,38,18,22,36,0.6111,True
historical,2025,Texas,4,42,12,26,37,0.7027,True
historical,2025,Arkansas,5,43,13,19,31,0.6129,True
historical,2025,Oregon St.,6,41,12,20,31,0.6452,True
historical,2025,North Carolina,7,42,12,29,41,0.7073,True
historical,2025,Coastal Carolina,8,48,11,17,26,0.6538,True
historical,2025,LSU,9,43,14,22,34,0.6471,True
historical,2025,Clemson,11,44,16,27,43,0.6279,True
historical,2025,Oregon,12,42,14,26,31,0.8387,True
historical,2025,UCLA,13,42,16,28,40,0.7,True
historical,2025,Florida St.,14,38,14,21,35,0.6,True
historical,2025,Tennessee,15,43,16,21,37,0.5676,True
historical,2025,Ole Miss,17,40,19,23,40,0.575,True
historical,2025,Southern Miss.,20,44,14,14,22,0.6364,True
target_2026,2026,Southern California,8,42,14,9,20,0.45,
