year,team,conference,rpi_rank,record,w,l,q1_w,q1_l,q2_w,q2_l,q1q2_w,q1q2_g,q1q2_pct,note
2026,Southern California,Big Ten,8,43-14,42,14,1,9,8,2,9,20,0.45,Override: d1baseball.com published Q1/Q2 total (9-11) (2026-05-23)
2026,Mercer,Southern,28,44-15,44,14,0,7,9,6,9,22,0.4091,Override: d1baseball.com published RPI + Q1/Q2 total (9-13) (2026-05-23)
