kind,year,team,rpi_rank,w,l,q1q2_w,q1q2_g,q1q2_pct,conference
historical,2025,West Virginia,28,41,14,18,29,0.6207,Big 12
historical,2025,Arizona,29,39,18,21,37,0.5676,Big 12
historical,2025,Louisville,30,35,21,19,36,0.5278,Atlantic Coast Conference
historical,2025,Cal Poly,31,41,17,7,20,0.35,Big West
historical,2025,Cincinnati,32,32,24,23,43,0.5349,Big 12
historical,2025,Mississippi St.,33,34,21,11,30,0.3667,Southeastern Conference
historical,2025,Duke,34,37,19,18,33,0.5455,Atlantic Coast Conference
historical,2025,Kansas St.,35,31,24,14,35,0.4,Big 12
historical,2025,NC State,36,33,19,19,32,0.5938,Atlantic Coast Conference
historical,2025,Miami (FL),38,31,24,19,41,0.4634,Atlantic Coast Conference
historical,2025,Western Ky.,39,46,12,9,20,0.45,Conference USA
historical,2025,Kentucky,40,29,24,12,31,0.3871,Southeastern Conference
historical,2025,Southern California,45,35,21,19,35,0.5429,Big Ten
historical,2025,Oklahoma St.,47,28,23,18,34,0.5294,Big 12
historical,2025,Arizona St.,49,35,22,15,30,0.5,Big 12
historical,2025,Nebraska,53,32,27,16,39,0.4103,Big Ten
historical,2025,East Carolina,71,33,25,6,24,0.25,American Athletic Conference
target_2026,2026,Mercer,27,44,14,11,22,0.5,Southern
