rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
75,613767,North Florida,ASUN,75,0.54660,softball,D1,05/10/2026 (Selections)
76,613600,Southern Ill.,MVC,74,0.54441,softball,D1,05/10/2026 (Selections)
77,613739,East Carolina,American,76,0.54107,softball,D1,05/10/2026 (Selections)
78,613617,Miami (OH),MAC,84,0.54053,softball,D1,05/10/2026 (Selections)
79,613625,St. Thomas (MN),Summit League,79,0.54008,softball,D1,05/10/2026 (Selections)
80,613839,Jacksonville,ASUN,77,0.53978,softball,D1,05/10/2026 (Selections)
81,613657,Rutgers,Big Ten,81,0.53952,softball,D1,05/10/2026 (Selections)
82,613840,James Madison,Sun Belt,82,0.53941,softball,D1,05/10/2026 (Selections)
83,613649,Princeton(AQ),Ivy League,80,0.53821,softball,D1,05/10/2026 (Selections)
84,613700,Troy,Sun Belt,90,0.53806,softball,D1,05/10/2026 (Selections)
85,613665,Samford,SoCon,86,0.53639,softball,D1,05/10/2026 (Selections)
86,613809,California Baptist(AQ),WAC,83,0.53630,softball,D1,05/10/2026 (Selections)
87,613780,App State,Sun Belt,85,0.53598,softball,D1,05/10/2026 (Selections)
88,613774,Akron(AQ),MAC,87,0.53391,softball,D1,05/10/2026 (Selections)
89,613724,Coastal Carolina,Sun Belt,88,0.53378,softball,D1,05/10/2026 (Selections)
90,613640,Ohio,MAC,89,0.53241,softball,D1,05/10/2026 (Selections)
91,613826,Houston,Big 12,92,0.53020,softball,D1,05/10/2026 (Selections)
92,613816,Ga. Southern,Sun Belt,93,0.52886,softball,D1,05/10/2026 (Selections)
93,613572,UNLV,Mountain West,91,0.52825,softball,D1,05/10/2026 (Selections)
94,613621,UNCW,CAA,95,0.52445,softball,D1,05/10/2026 (Selections)
95,613845,Lamar University,Southland,96,0.52440,softball,D1,05/10/2026 (Selections)
96,613795,BYU,Big 12,94,0.52376,softball,D1,05/10/2026 (Selections)
97,613728,UConn(AQ),Big East,99,0.52324,softball,D1,05/10/2026 (Selections)
98,613637,Notre Dame,ACC,97,0.52218,softball,D1,05/10/2026 (Selections)
99,613803,Fresno St.,Mountain West,101,0.52189,softball,D1,05/10/2026 (Selections)
100,613580,Tarleton St.,WAC,100,0.52133,softball,D1,05/10/2026 (Selections)
101,613829,Illinois St.,MVC,102,0.52127,softball,D1,05/10/2026 (Selections)
102,613664,Sam Houston,CUSA,104,0.52105,softball,D1,05/10/2026 (Selections)
103,613574,New Mexico St.,CUSA,105,0.51999,softball,D1,05/10/2026 (Selections)
104,613768,UIW,Southland,106,0.51994,softball,D1,05/10/2026 (Selections)
105,613590,Wofford,SoCon,98,0.51978,softball,D1,05/10/2026 (Selections)
106,613722,Central Mich.,MAC,103,0.51932,softball,D1,05/10/2026 (Selections)
107,613806,Sacramento St.,Big Sky,110,0.51925,softball,D1,05/10/2026 (Selections)
108,613791,Boise St.,Mountain West,117,0.51917,softball,D1,05/10/2026 (Selections)
109,613718,Campbell,CAA,108,0.51825,softball,D1,05/10/2026 (Selections)
110,613630,North Texas,American,109,0.51758,softball,D1,05/10/2026 (Selections)
111,613596,San Diego St.,Mountain West,113,0.51588,softball,D1,05/10/2026 (Selections)
112,613647,Pittsburgh,ACC,118,0.51581,softball,D1,05/10/2026 (Selections)
113,613609,FGCU,ASUN,114,0.51523,softball,D1,05/10/2026 (Selections)
114,613828,Idaho St.(AQ),Big Sky,112,0.51484,softball,D1,05/10/2026 (Selections)
115,613853,LMU (CA),WCC,107,0.51449,softball,D1,05/10/2026 (Selections)
116,613650,Providence,Big East,116,0.51440,softball,D1,05/10/2026 (Selections)
117,613634,UNI,MVC,111,0.51380,softball,D1,05/10/2026 (Selections)
118,613804,Long Beach St.,Big West,126,0.51358,softball,D1,05/10/2026 (Selections)
119,613735,Delaware,CUSA,115,0.51351,softball,D1,05/10/2026 (Selections)
120,613577,Nicholls,Southland,120,0.51253,softball,D1,05/10/2026 (Selections)
121,613575,New Mexico,Mountain West,121,0.51196,softball,D1,05/10/2026 (Selections)
122,613660,St. John's (NY),Big East,127,0.51097,softball,D1,05/10/2026 (Selections)
123,613731,Creighton,Big East,124,0.51068,softball,D1,05/10/2026 (Selections)
124,613741,Eastern Ill.(AQ),OVC,125,0.51064,softball,D1,05/10/2026 (Selections)
125,613568,Murray St.,MVC,123,0.50986,softball,D1,05/10/2026 (Selections)
126,613686,Syracuse,ACC,128,0.50928,softball,D1,05/10/2026 (Selections)
127,613608,USC Upstate(AQ),Big South,119,0.50908,softball,D1,05/10/2026 (Selections)
128,613807,UC Santa Barbara,Big West,134,0.50777,softball,D1,05/10/2026 (Selections)
129,613678,Southern U.,SWAC,130,0.50770,softball,D1,05/10/2026 (Selections)
130,613701,Tulsa,American,133,0.50761,softball,D1,05/10/2026 (Selections)
131,613711,Western Caro.,SoCon,129,0.50674,softball,D1,05/10/2026 (Selections)
132,613628,North Dakota St.,Summit League,122,0.50657,softball,D1,05/10/2026 (Selections)
133,613683,SFA,Southland,132,0.50603,softball,D1,05/10/2026 (Selections)
134,613716,California,ACC,131,0.50556,softball,D1,05/10/2026 (Selections)
135,613714,Western Mich.,MAC,138,0.50552,softball,D1,05/10/2026 (Selections)
136,613551,Maryland,Big Ten,135,0.50495,softball,D1,05/10/2026 (Selections)
137,613854,Loyola Chicago,Atlantic 10,136,0.50486,softball,D1,05/10/2026 (Selections)
138,613778,UAB,American,142,0.50426,softball,D1,05/10/2026 (Selections)
139,613785,Austin Peay,ASUN,141,0.50273,softball,D1,05/10/2026 (Selections)
140,613653,Radford,Big South,143,0.50242,softball,D1,05/10/2026 (Selections)
141,613857,Marist(AQ),MAAC,137,0.50184,softball,D1,05/10/2026 (Selections)
142,613752,Winthrop,Big South,140,0.50169,softball,D1,05/10/2026 (Selections)
143,613702,Army West Point,Patriot,146,0.50060,softball,D1,05/10/2026 (Selections)
144,613559,Minnesota,Big Ten,145,0.49950,softball,D1,05/10/2026 (Selections)
145,613822,Hawaii,Big West,144,0.49841,softball,D1,05/10/2026 (Selections)
146,613680,Missouri St.,CUSA,150,0.49840,softball,D1,05/10/2026 (Selections)
147,613668,Santa Clara,WCC,139,0.49823,softball,D1,05/10/2026 (Selections)
148,613697,UTSA,American,153,0.49737,softball,D1,05/10/2026 (Selections)
149,613772,Utah Valley,WAC,148,0.49557,softball,D1,05/10/2026 (Selections)
150,613817,Georgia St.,Sun Belt,156,0.49471,softball,D1,05/10/2026 (Selections)
151,613557,Michigan St.,Big Ten,158,0.49469,softball,D1,05/10/2026 (Selections)
152,613823,Hofstra,CAA,147,0.49412,softball,D1,05/10/2026 (Selections)
153,613633,NIU,MAC,154,0.49371,softball,D1,05/10/2026 (Selections)
154,613758,Col. of Charleston(AQ),CAA,151,0.49274,softball,D1,05/10/2026 (Selections)
155,613642,Oregon St.,WCC,149,0.49247,softball,D1,05/10/2026 (Selections)
