team_id,team_name,sport,division,ncaa_school,primary_metric_name,primary_metric_value,fgr,primary_percentile,fgr_percentile,education_percentile
250,Evansville,Baseball,D1,University of Evansville,GSR,95.0,74.0,0.7571428571428571,0.7872340425531915,0.7721884498480243
160,Clemson,Baseball,D1,Clemson University,GSR,96.0,72.0,0.8204081632653061,0.7212765957446808,0.7708423795049935
670,Saint Louis,Baseball,D1,Saint Louis University,GSR,96.0,72.0,0.8204081632653061,0.7212765957446808,0.7708423795049935
937,Xavier,Baseball,D1,Xavier University,GSR,96.0,72.0,0.8204081632653061,0.7212765957446808,0.7708423795049935
717,Southern California,Baseball,D1,University of Southern California,GSR,94.0,76.0,0.7020408163265306,0.8319148936170213,0.766977854971776
204,Delaware,Baseball,D1,University of Delaware,GSR,93.0,79.0,0.6326530612244898,0.8851063829787233,0.7588797221016066
683,Samford,Baseball,D1,Samford University,GSR,97.0,69.0,0.9040816326530612,0.6106382978723405,0.7573599652627008
62,Baylor,Baseball,D1,Baylor University,GSR,94.0,75.0,0.7020408163265306,0.8106382978723404,0.7563395570994356
56,Ball St.,Baseball,D1,Ball State University,GSR,94.0,74.0,0.7020408163265306,0.7872340425531915,0.744637429439861
576,Ohio St.,Baseball,D1,The Ohio State University,GSR,93.0,77.0,0.6326530612244898,0.8553191489361702,0.74398610508033
599,Penn,Baseball,D1,Pennsylvania State University,GSR,93.0,77.0,0.6326530612244898,0.8553191489361702,0.74398610508033
643,Rice,Baseball,D1,Rice University,GSR,93.0,77.0,0.6326530612244898,0.8553191489361702,0.74398610508033
8,Alabama,Baseball,D1,University of Alabama,GSR,96.0,70.0,0.8204081632653061,0.6468085106382979,0.733608336951802
405,Liberty,Baseball,D1,Liberty University,GSR,94.0,73.0,0.7020408163265306,0.7574468085106383,0.7297438124185844
640,Rhode Island,Baseball,D1,University of Rhode Island,GSR,94.0,73.0,0.7020408163265306,0.7574468085106383,0.7297438124185844
684,San Diego,Baseball,D1,University of San Diego,GSR,94.0,73.0,0.7020408163265306,0.7574468085106383,0.7297438124185844
483,Minnesota,Baseball,D1,"University of Minnesota, Twin Cities",GSR,93.0,75.0,0.6326530612244898,0.8106382978723404,0.7216456795484152
864,Wake Forest,Baseball,D1,Wake Forest University,GSR,96.0,69.0,0.8204081632653061,0.6106382978723405,0.7155232305688233
668,Saint Joseph's,Baseball,D1,Saint Joseph's University,GSR,92.0,78.0,0.5551020408163265,0.8723404255319149,0.7137212331741207
807,UC Davis,Baseball,D1,"University of California, Davis",GSR,91.0,83.0,0.47959183673469385,0.9404255319148936,0.7100086843247937
432,Manhattan,Baseball,D1,Manhattan University,GSR,93.0,74.0,0.6326530612244898,0.7872340425531915,0.7099435518888406
522,Navy,Baseball,D1,U.S. Naval Academy,GSR,94.0,,0.7020408163265306,,0.7020408163265306
353,Iowa,Baseball,D1,Iowa State University,GSR,95.0,70.0,0.7571428571428571,0.6468085106382979,0.7019756838905775
186,Creighton,Baseball,D1,Creighton University,GSR,97.0,66.0,0.9040816326530612,0.49361702127659574,0.6988493269648285
736,St. Bonaventure,Baseball,D1,St. Bonaventure University,GSR,96.0,68.0,0.8204081632653061,0.574468085106383,0.6974381241858445
815,UCLA,Baseball,D1,"University of California, Los Angeles",GSR,92.0,76.0,0.5551020408163265,0.8319148936170213,0.6935084672166739
573,Ohio,Baseball,D1,Ohio University,GSR,92.0,76.0,0.5551020408163265,0.8319148936170213,0.6935084672166739
854,VCU,Baseball,D1,Virginia Commonwealth University,GSR,95.0,69.0,0.7571428571428571,0.6106382978723405,0.6838905775075987
811,UC Santa Barbara,Baseball,D1,"University of California, Santa Barbara",GSR,92.0,75.0,0.5551020408163265,0.8106382978723404,0.6828701693443335
413,LIU,Baseball,D1,Long Island University,GSR,97.0,65.0,0.9040816326530612,0.4531914893617021,0.6786365610073817
421,Louisville,Baseball,D1,University of Louisville,GSR,96.0,67.0,0.8204081632653061,0.5340425531914894,0.6772253582283978
540,NJIT,Baseball,D1,New Jersey Institute of Technology,GSR,93.0,72.0,0.6326530612244898,0.7212765957446808,0.6769648284845853
702,Siena,Baseball,D1,Siena University,GSR,94.0,70.0,0.7020408163265306,0.6468085106382979,0.6744246634824143
472,Michigan St.,Baseball,D1,Michigan State University,GSR,90.0,81.0,0.41020408163265304,0.9212765957446809,0.665740338688667
932,Wofford,Baseball,D1,Wofford College,GSR,93.0,71.0,0.6326530612244898,0.6829787234042554,0.6578158923143727
863,Wagner,Baseball,D1,Wagner College,GSR,96.0,66.0,0.8204081632653061,0.49361702127659574,0.6570125922709509
302,Grand Canyon,Baseball,D1,Grand Canyon University,GSR,94.0,69.0,0.7020408163265306,0.6106382978723405,0.6563395570994355
546,North Dakota St.,Baseball,D1,North Dakota State University,GSR,92.0,73.0,0.5551020408163265,0.7574468085106383,0.6562744246634824
200,Dayton,Baseball,D1,University of Dayton,GSR,95.0,67.0,0.7571428571428571,0.5340425531914894,0.6455927051671733
452,Massachusetts,Baseball,D1,University of Massachusetts Lowell,GSR,95.0,67.0,0.7571428571428571,0.5340425531914894,0.6455927051671733
114,California,Baseball,D1,California Polytechnic State University,GSR,90.0,78.0,0.41020408163265304,0.8723404255319149,0.641272253582284
693,Seattle U,Baseball,D1,Seattle University,GSR,94.0,68.0,0.7020408163265306,0.574468085106383,0.6382544507164568
349,Indiana,Baseball,D1,"Indiana University, Bloomington",GSR,92.0,72.0,0.5551020408163265,0.7212765957446808,0.6381893182805036
888,West Virginia,Baseball,D1,West Virginia University,GSR,96.0,65.0,0.8204081632653061,0.4531914893617021,0.6367998263135041
547,North Florida,Baseball,D1,University of North Florida,GSR,95.0,66.0,0.7571428571428571,0.49361702127659574,0.6253799392097265
664,Sacred Heart,Baseball,D1,Sacred Heart University,GSR,91.0,73.0,0.47959183673469385,0.7574468085106383,0.6185193226226661
326,High Point,Baseball,D1,High Point University,GSR,94.0,67.0,0.7020408163265306,0.5340425531914894,0.61804168475901
802,Tulane,Baseball,D1,Tulane University,GSR,96.0,63.0,0.8204081632653061,0.39787234042553193,0.609140251845419
645,Rider,Baseball,D1,Rider University,GSR,95.0,65.0,0.7571428571428571,0.4531914893617021,0.6051671732522796
347,Illinois St.,Baseball,D1,Illinois State University,GSR,92.0,70.0,0.5551020408163265,0.6468085106382979,0.6009552757273122
687,San Francisco,Baseball,D1,University of San Francisco,GSR,99.0,59.0,0.9877551020408163,0.21063829787234042,0.5991966999565783
689,Santa Clara,Baseball,D1,Santa Clara University,GSR,90.0,74.0,0.41020408163265304,0.7872340425531915,0.5987190620929222
479,Milwaukee,Baseball,D1,University of Wisconsin-Milwaukee,GSR,90.0,74.0,0.41020408163265304,0.7872340425531915,0.5987190620929222
352,Iona,Baseball,D1,Iona University,GSR,90.0,73.0,0.41020408163265304,0.7574468085106383,0.5838254450716457
949,La Salle,Baseball,D1,La Salle University,GSR,93.0,67.0,0.6326530612244898,0.5340425531914894,0.5833478072079896
792,Toledo,Baseball,D1,University of Toledo,GSR,93.0,67.0,0.6326530612244898,0.5340425531914894,0.5833478072079896
660,Rutgers,Baseball,D1,"Rutgers, The State University of New Jersey, New Brunswick",GSR,92.0,69.0,0.5551020408163265,0.6106382978723405,0.5828701693443334
817,UIC,Baseball,D1,University of Illinois Chicago,GSR,91.0,71.0,0.47959183673469385,0.6829787234042554,0.5812852800694746
569,Oakland,Baseball,D1,Oakland University,GSR,91.0,71.0,0.47959183673469385,0.6829787234042554,0.5812852800694746
411,Lipscomb,Baseball,D1,Lipscomb University,GSR,91.0,71.0,0.47959183673469385,0.6829787234042554,0.5812852800694746
2,Abilene Christian,Baseball,D1,Abilene Christian University,GSR,92.0,68.0,0.5551020408163265,0.574468085106383,0.5647850629613548
805,UAB,Baseball,D1,University of Alabama at Birmingham,GSR,92.0,68.0,0.5551020408163265,0.574468085106383,0.5647850629613548
525,Nebraska,Baseball,D1,University of Nebraska-Lincoln,GSR,92.0,68.0,0.5551020408163265,0.574468085106383,0.5647850629613548
761,Stony Brook,Baseball,D1,Stony Brook University,GSR,92.0,68.0,0.5551020408163265,0.574468085106383,0.5647850629613548
816,UConn,Baseball,D1,University of Connecticut,GSR,91.0,70.0,0.47959183673469385,0.6468085106382979,0.5632001736864959
509,Mount St. Mary's,Baseball,D1,Mount St. Mary's University,GSR,93.0,66.0,0.6326530612244898,0.49361702127659574,0.5631350412505428
356,Jacksonville,Baseball,D1,Jacksonville University,GSR,95.0,62.0,0.7571428571428571,0.34893617021276596,0.5530395136778116
371,Kent St.,Baseball,D1,Kent State University,GSR,90.0,71.0,0.41020408163265304,0.6829787234042554,0.5465914025184542
32,Arizona St.,Baseball,D1,Arizona State University,GSR,93.0,65.0,0.6326530612244898,0.4531914893617021,0.542922275293096
462,Mercer,Baseball,D1,Mercer University,GSR,93.0,65.0,0.6326530612244898,0.4531914893617021,0.542922275293096
466,Merrimack,Baseball,D1,Merrimack College,GSR,89.0,72.0,0.3510204081632653,0.7212765957446808,0.5361485019539731
499,Monmouth,Baseball,D1,Monmouth University,GSR,89.0,72.0,0.3510204081632653,0.7212765957446808,0.5361485019539731
675,Saint Peter's,Baseball,D1,Saint Peter's University,GSR,95.0,61.0,0.7571428571428571,0.3,0.5285714285714286
358,James Madison,Baseball,D1,James Madison University,GSR,90.0,70.0,0.41020408163265304,0.6468085106382979,0.5285062961354755
627,Purdue,Baseball,D1,Purdue University,GSR,90.0,70.0,0.41020408163265304,0.6468085106382979,0.5285062961354755
808,UC Irvine,Baseball,D1,"University of California, Irvine",GSR,88.0,73.0,0.29591836734693877,0.7574468085106383,0.5266825879287885
469,Miami (FL),Baseball,D1,University of Miami (Florida),GSR,94.0,62.0,0.7020408163265306,0.34893617021276596,0.5254884932696483
43,Auburn,Baseball,D1,Auburn University,GSR,92.0,66.0,0.5551020408163265,0.49361702127659574,0.5243595310464612
543,North Carolina,Baseball,D1,University of North Carolina Asheville,GSR,92.0,66.0,0.5551020408163265,0.49361702127659574,0.5243595310464612
488,Mississippi St.,Baseball,D1,Mississippi State University,GSR,96.0,59.0,0.8204081632653061,0.21063829787234042,0.5155232305688232
120,Campbell,Baseball,D1,Campbell University,GSR,93.0,63.0,0.6326530612244898,0.39787234042553193,0.5152627008250109
367,Kansas St.,Baseball,D1,Kansas State University,GSR,93.0,63.0,0.6326530612244898,0.39787234042553193,0.5152627008250109
64,Bellarmine,Baseball,D1,Bellarmine University,GSR,87.0,74.0,0.24285714285714285,0.7872340425531915,0.5150455927051671
366,Kansas,Baseball,D1,University of Kansas,GSR,90.0,69.0,0.41020408163265304,0.6106382978723405,0.5104211897524967
51,Austin Peay,Baseball,D1,Austin Peay State University,GSR,91.0,67.0,0.47959183673469385,0.5340425531914894,0.5068171949630916
89,Bowling Green,Baseball,D1,Bowling Green State University,GSR,91.0,67.0,0.47959183673469385,0.5340425531914894,0.5068171949630916
846,UTSA,Baseball,D1,University of Texas at San Antonio,GSR,92.0,65.0,0.5551020408163265,0.4531914893617021,0.5041467650890143
793,Towson,Baseball,D1,Towson University,GSR,90.0,68.0,0.41020408163265304,0.574468085106383,0.49233608336951806
740,St. John's (NY),Baseball,D1,St. John's University (New York),GSR,93.0,62.0,0.6326530612244898,0.34893617021276596,0.4907946157186279
806,UAlbany,Baseball,D1,University at Albany,GSR,88.0,71.0,0.29591836734693877,0.6829787234042554,0.48944854537559707
685,San Diego St.,Baseball,D1,San Diego State University,GSR,88.0,71.0,0.29591836734693877,0.6829787234042554,0.48944854537559707
29,App State,Baseball,D1,Appalachian State University,GSR,91.0,66.0,0.47959183673469385,0.49361702127659574,0.4866044290056448
471,Michigan,Baseball,D1,Central Michigan University,GSR,89.0,69.0,0.3510204081632653,0.6106382978723405,0.4808293530178029
813,UCF,Baseball,D1,University of Central Florida,GSR,94.0,60.0,0.7020408163265306,0.2574468085106383,0.47974381241858444
614,Pittsburgh,Baseball,D1,University of Pittsburgh,GSR,94.0,60.0,0.7020408163265306,0.2574468085106383,0.47974381241858444
6,Air Force,Baseball,D1,U.S. Air Force Academy,GSR,91.0,,0.47959183673469385,,0.47959183673469385
39,Army West Point,Baseball,D1,U.S. Military Academy,GSR,91.0,,0.47959183673469385,,0.47959183673469385
267,Florida St.,Baseball,D1,Florida State University,GSR,91.0,65.0,0.47959183673469385,0.4531914893617021,0.466391663048198
595,Pacific,Baseball,D1,University of the Pacific,GSR,93.0,61.0,0.6326530612244898,0.3,0.46632653061224494
581,Oklahoma St.,Baseball,D1,Oklahoma State University,GSR,92.0,62.0,0.5551020408163265,0.34893617021276596,0.45201910551454627
936,Wright St.,Baseball,D1,Wright State University,GSR,91.0,63.0,0.47959183673469385,0.39787234042553193,0.4387320885801129
756,Stetson,Baseball,D1,Stetson University,GSR,91.0,62.0,0.47959183673469385,0.34893617021276596,0.41426400347372994
856,Virginia,Baseball,D1,Virginia Military Institute,GSR,84.0,71.0,0.13877551020408163,0.6829787234042554,0.4108771168041685
