player_id,activity_date,activity_type,old_team_id,new_team_id
58647,10/01/2025,Active,599,
118782,10/01/2025,Active,736,
52457,08/28/2025,Active,168,
39964,10/01/2025,Active,239,
71647,11/17/2025,Active,767,
74863,11/14/2025,Matriculated,76,
54776,09/16/2025,Active,903,
118151,11/06/2025,Matriculated,885,
62406,10/22/2025,Active,867,
58905,08/12/2025,Active,618,
129703,11/13/2025,Matriculated,377,
131000,09/24/2025,Active,642,
63798,09/15/2025,Active,127,
74416,11/13/2025,Active,19,
61450,09/30/2025,Active,801,
74798,11/04/2025,Matriculated,661,
50305,10/17/2025,Matriculated,940,
74658,10/17/2025,Active,276,
62399,11/03/2025,Active,867,
61022,10/27/2025,Active,771,
72237,08/20/2025,Active,154,
133408,11/20/2025,Matriculated,941,
130269,11/12/2025,Matriculated,139,
53780,09/05/2025,Active,260,
63745,11/11/2025,Active,427,
73499,10/09/2025,Active,47,
73743,09/05/2025,Active,903,
73622,11/05/2025,Active,885,
72424,10/20/2025,Active,214,
72960,09/22/2025,Active,486,
72810,10/27/2025,Active,146,
71450,09/26/2025,Active,328,
67036,10/02/2025,Active,678,
51453,10/09/2025,Active,96,
52880,10/06/2025,Active,198,
103553,10/29/2025,Active,439,
107237,11/04/2025,Active,737,
119208,09/09/2025,Active,410,
118803,09/23/2025,Active,770,
74838,10/13/2025,Active,570,
53790,09/09/2025,Active,260,
52531,10/13/2025,Active,173,
103278,11/11/2025,Active,930,
73737,09/04/2025,Active,903,
72699,08/12/2025,Active,871,
104540,11/04/2025,Matriculated,247,
104208,10/14/2025,Matriculated,139,
121124,10/03/2025,Matriculated,882,
61576,11/14/2025,Active,810,
54465,09/01/2025,Active,311,
64162,10/29/2025,Active,476,
51472,10/09/2025,Active,98,
123818,11/19/2025,Matriculated,965,
125112,10/29/2025,Active,467,
67282,09/02/2025,Matriculated,353,
55951,11/13/2025,Active,410,
104282,11/10/2025,Active,548,
76291,10/29/2025,Active,95,
150663,11/14/2025,Active,776,
150671,11/17/2025,Active,776,
104932,11/20/2025,Active,45,
121015,11/06/2025,Active,657,
118741,10/15/2025,Active,603,
65547,11/20/2025,Active,699,
60687,08/15/2025,Active,746,
128474,08/21/2025,Matriculated,107,
150488,10/06/2025,Active,452,
124158,10/22/2025,Active,214,
149061,08/14/2025,Matriculated,136,
150551,08/28/2025,Active,509,
119464,11/18/2025,Active,882,
131532,11/04/2025,Matriculated,789,
118103,09/19/2025,Matriculated,621,
119129,11/18/2025,Active,259,
45272,08/19/2025,Active,608,
121667,09/15/2025,Active,726,
