team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
Long Beach St.,Big West,117,0.51533,29-21,12-11,17-10,9-5,1-3,0-0,2-6,26-12,3-9,21-7,171,58,0.55412,130
Nicholls,Southland,118,0.51354,31-23,12-11,19-12,9-11,0-2,4-4,1-9,26-8,5-15,19-5,164,211,0.47923,123
Delaware,CUSA,119,0.51343,30-22,13-12,17-10,6-12,0-0,0-4,7-11,23-7,7-15,19-3,176,192,0.48925,80
St. John's (NY),Big East,120,0.51066,32-23,23-8,9-15,6-15,0-0,0-0,2-4,30-19,2-4,24-11,167,128,0.51449,135
Western Caro.,SoCon,121,0.51040,33-22,21-13,12-9,12-8,0-1,0-1,3-8,30-12,3-10,25-9,179,208,0.48027,149
North Dakota St.,Summit League,122,0.51031,27-22,16-15,11-7,13-13,0-2,0-3,5-9,22-8,5-14,20-6,117,137,0.51186,131
Austin Peay,ASUN,123,0.51000,30-23,16-11,14-12,9-12,0-1,1-1,4-10,25-11,5-12,20-11,158,133,0.51252,113
Tulsa,American,124,0.50961,19-32,9-15,10-17,8-17,0-5,3-5,4-11,12-11,7-21,7-1,52,11,0.60355,132
Syracuse,ACC,125,0.50908,18-26,14-8,4-18,5-14,0-8,0-5,2-6,16-7,2-19,12-4,58,183,0.49190,107
Creighton,Big East,126,0.50880,29-25,12-18,17-7,15-10,0-2,0-2,2-6,27-15,2-10,21-10,143,135,0.51214,128
California,ACC,127,0.50814,15-37,10-17,5-20,5-19,0-17,2-5,1-11,12-4,3-33,8-3,26,61,0.55208,92
SFA,Southland,128,0.50798,30-26,16-10,14-16,13-12,0-0,1-8,3-4,26-14,4-12,20-7,131,106,0.52533,154
Idaho St.,Big Sky,129,0.50774,35-18,24-13,11-5,9-8,0-2,0-0,3-5,32-11,3-7,29-9,264,263,0.44275,95
UAB,American,130,0.50773,21-32,13-13,8-19,7-13,0-7,2-4,7-11,12-10,9-22,6-3,69,45,0.56207,139
Maryland,Big Ten,131,0.50694,19-29,14-10,5-19,3-17,0-5,0-11,2-9,17-4,2-25,14-2,57,70,0.54527,112
Radford,Big South,132,0.50664,23-25,13-17,10-8,5-13,0-3,0-3,2-10,21-9,2-16,17-3,95,52,0.55722,133
Loyola Chicago,Atlantic 10,133,0.50628,26-22,8-16,18-6,11-8,0-0,0-5,1-7,25-10,1-12,25-8,145,109,0.52291,159
Eastern Ill.,OVC,134,0.50612,33-20,10-17,23-3,13-10,0-2,0-3,4-6,29-9,4-11,29-7,213,49,0.55962,136
New Mexico,Mountain West,135,0.50577,26-25,13-13,13-12,10-8,0-3,0-5,6-9,20-8,6-17,14-5,154,227,0.46942,118
UC Santa Barbara,Big West,136,0.50231,28-24,10-15,18-9,9-10,0-1,0-3,4-7,24-13,4-11,22-6,166,71,0.54414,129
USC Upstate,Big South,137,0.50201,33-21,21-15,12-6,7-12,0-3,0-2,2-0,31-16,2-5,24-9,212,214,0.47851,98
Minnesota,Big Ten,138,0.50186,16-35,9-18,7-17,7-15,0-5,2-13,4-9,10-8,6-27,7-4,40,42,0.56386,120
Southern U.,SWAC,139,0.50136,23-13,5-7,18-6,7-7,0-0,0-0,0-3,23-10,0-3,23-9,227,250,0.45306,188
Missouri St.,CUSA,140,0.50072,22-28,12-11,10-17,7-15,1-5,0-6,6-10,15-7,7-21,14-4,116,103,0.52641,186
Army West Point,Patriot,141,0.50031,32-23,20-17,12-6,11-9,0-0,0-2,3-7,29-14,3-9,25-10,206,193,0.48847,158
Western Mich.,MAC,142,0.49967,26-24,11-12,15-12,11-13,0-0,1-1,4-8,21-15,5-9,20-6,161,191,0.48937,150
UTSA,American,143,0.49963,23-32,12-16,11-16,5-13,0-3,2-5,3-14,18-10,5-22,11-5,83,92,0.53384,172
Murray St.,MVC,144,0.49935,26-21,9-12,17-9,12-6,0-1,1-3,1-2,24-15,2-6,18-12,194,210,0.47958,115
Winthrop,Big South,145,0.49931,28-21,15-17,13-4,7-9,0-4,0-0,1-2,27-15,1-6,23-7,205,218,0.47540,141
NIU,MAC,146,0.49886,25-16,7-9,18-7,6-8,0-1,0-4,1-4,24-7,1-9,21-5,245,292,0.41029,143
Hawaii,Big West,147,0.49882,29-18,8-12,21-6,11-7,0-3,0-0,1-5,28-10,1-8,25-6,236,225,0.47005,117
UT Arlington,WAC,148,0.49571,24-21,12-15,12-6,8-8,0-0,1-3,2-6,21-12,3-9,15-9,201,239,0.46219,146
Marist,MAAC,149,0.49528,34-19,8-16,26-3,18-6,1-3,0-3,0-0,33-13,1-6,33-10,257,248,0.45383,111
Georgia St.,Sun Belt,150,0.49497,25-31,21-11,4-20,10-16,0-1,2-8,3-17,20-5,5-26,15-3,129,234,0.46633,173
