team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
Tennessee Tech,OVC,262,0.41746,16-33,5-17,11-16,8-18,0-1,0-0,0-7,16-25,0-8,16-19,232,99,0.52966,258
UC Riverside,Big West,263,0.41665,6-38,2-15,4-23,3-15,0-3,0-1,1-9,5-25,1-13,5-12,89,1,0.64664,266
Grambling,SWAC,264,0.41624,12-25-1,3-6,9-19-1,3-14-1,0-0,0-2,0-0,12-23-1,0-2,11-17-1,203,289,0.41257,275
Weber St.,Big Sky,265,0.41618,14-41,10-29,4-12,8-19,0-0,0-1,2-5,12-35,2-6,8-27,208,224,0.47090,235
Furman,SoCon,266,0.41590,13-39,8-23,5-16,3-18,0-1,0-1,1-9,12-28,1-11,9-17,169,237,0.46390,234
LIU,NEC,267,0.41288,23-30,2-27,21-3,10-9,0-0,0-0,0-7,23-23,0-7,23-14,290,253,0.45238,262
Oakland,Horizon,268,0.41160,12-22,3-13,9-9,4-16,0-1,0-1,0-2,12-18,0-4,12-16,268,245,0.45661,230
Southern Ind.,OVC,269,0.41150,14-30,3-14,11-16,5-16,0-0,0-3,0-3,14-24,0-6,14-17,251,97,0.53103,278
Detroit Mercy,Horizon,270,0.40702,13-30,7-18,6-12,6-15,0-1,0-4,0-3,13-22,0-8,13-19,239,216,0.47650,272
Charleston So.,Big South,271,0.40674,10-41,6-27,4-14,3-12,0-1,0-2,2-7,8-31,2-10,5-21,137,149,0.50614,264
CSU Bakersfield,Big West,272,0.40574,10-40,2-21,8-19,2-20,0-4,0-2,0-9,10-25,0-15,8-16,178,111,0.52154,270
Lafayette,Patriot,273,0.40274,16-34,9-23,7-11,8-16,0-0,0-1,0-6,16-27,0-7,13-22,257,278,0.42818,273
Bellarmine,ASUN,274,0.40054,12-38,7-17,5-21,2-17,0-0,0-2,0-9,12-27,0-11,12-24,228,274,0.43217,276
Ark.-Pine Bluff,SWAC,275,0.39937,13-27,2-12,11-15,6-14,0-1,0-2,0-1,13-23,0-4,12-14,265,188,0.49032,279
Cal Poly,Big West,276,0.39915,11-35,6-13,5-22,2-15,0-0,0-2,0-4,11-29,0-6,11-18,259,266,0.43928,277
Green Bay,Horizon,277,0.39854,12-29,4-19,8-10,3-13,0-0,0-2,0-2,12-25,0-4,12-23,269,262,0.44310,261
South Carolina St.,MEAC,278,0.39825,17-18,5-9,12-9,9-12,0-1,0-0,0-0,17-17,0-1,16-16,298,298,0.40379,274
East Texas A&M,Southland,279,0.39763,6-46,5-20,1-26,1-13,0-3,0-6,0-5,6-32,0-14,6-15,151,190,0.48974,297
Norfolk St.,MEAC,280,0.39426,20-19,8-10,12-9,6-7,0-0,0-0,0-0,20-19,0-0,20-19,305,304,0.35266,271
Wagner,NEC,281,0.39342,19-26,5-16,14-10,9-12,0-1,0-0,0-1,19-24,0-2,19-23,302,279,0.42760,292
Morgan St.,MEAC,282,0.39094,12-26,3-14,9-12,4-16,0-0,0-0,0-0,12-26,0-0,12-24,273,182,0.49322,281
Hampton,CAA,283,0.38990,10-33,6-13,4-20,3-13,0-0,0-1,0-3,10-29,0-4,10-23,217,265,0.43965,293
N.C. A&T,CAA,284,0.38835,19-33,14-14,5-19,5-16,0-0,0-1,0-3,19-29,0-4,19-22,297,302,0.35954,284
Merrimack,MAAC,285,0.38829,12-29,2-13,10-16,5-13,0-0,0-0,0-4,12-25,0-4,12-24,271,170,0.49767,289
IU Indy,Horizon,286,0.38654,7-40,3-26,4-14,4-17,0-0,0-3,0-7,7-30,0-10,6-29,185,139,0.51172,280
FDU,NEC,287,0.38617,20-32,9-19,11-13,10-15,0-0,0-2,0-2,20-28,0-4,20-25,301,277,0.42924,286
St. Bonaventure,Atlantic 10,288,0.38493,9-44,3-27,6-17,6-18,0-1,0-1,0-6,9-36,0-8,8-29,159,185,0.49125,283
Maine,America East,289,0.38351,11-34,8-20,3-14,5-21,0-0,0-0,0-3,11-31,0-3,11-26,260,270,0.43599,287
Stonehill,NEC,290,0.38289,13-37,4-22,9-15,7-18,0-0,0-3,0-5,13-29,0-8,13-22,276,114,0.52028,294
Bucknell,Patriot,291,0.37839,9-35-1,3-23-1,6-12,2-19,0-0,0-3,0-5,9-27-1,0-8,8-23-1,248,281,0.42383,283
Manhattan,MAAC,292,0.37790,15-37,5-17,10-20,11-15,0-0,0-0,0-0,15-37,0-0,15-31,283,294,0.40853,291
Holy Cross,Patriot,293,0.37647,10-34,6-20,4-14,7-19,0-0,0-0,0-3,10-31,0-3,10-25,256,280,0.42430,288
N.C. Central,MEAC,294,0.37573,7-40,1-25,6-15,2-13,0-1,0-2,0-9,7-28,0-12,7-25,207,95,0.53160,285
Alcorn,SWAC,295,0.37241,9-31-1,2-7,7-24-1,1-19,0-0,0-2,0-2,9-27-1,0-4,9-23-1,267,259,0.44657,295
Le Moyne,NEC,296,0.37018,16-33,4-21,12-12,6-15,0-0,0-0,0-0,16-33,0-0,16-29,296,256,0.45076,290
Morehead St.,OVC,297,0.35251,7-38,1-17,6-21,4-17,0-0,0-1,1-2,6-35,1-3,6-30,278,223,0.47180,303
Western Ill.,OVC,298,0.34806,14-31,5-14,9-17,6-18,0-0,0-0,0-0,14-31,0-0,14-28,303,308,0.32201,296
Coppin St.,MEAC,299,0.33977,8-25,1-11,7-14,3-12,0-0,0-0,0-0,8-25,0-0,8-25,293,293,0.40884,300
Niagara,MAAC,300,0.33947,8-34,3-12,5-22,1-24,0-0,0-0,0-0,8-34,0-0,8-31,292,299,0.39648,298
New Haven,NEC,301,0.33520,10-35,2-19,8-16,5-17,0-0,0-0,0-2,10-33,0-2,10-29,299,269,0.43649,301
Mercyhurst,NEC,302,0.32960,9-34,1-18,8-16,4-20,0-0,0-0,0-0,9-34,0-0,9-32,300,267,0.43891,299
Saint Francis,NEC,303,0.32664,5-42-1,0-23-1,5-19,3-20-1,0-0,0-1,0-6,5-35-1,0-7,5-28-1,287,204,0.48161,305
Tennessee St.,OVC,304,0.31796,2-38,0-13,2-25,1-16,0-0,0-0,0-0,2-38,0-0,2-35,289,284,0.42208,302
Saint Peter's,MAAC,305,0.31740,7-44,4-19,3-25,5-24,0-0,0-0,0-2,7-42,0-2,6-38,284,295,0.40768,306
Alabama A&M,SWAC,306,0.30878,10-29,3-9,7-20,3-13,0-0,0-0,0-0,10-29,0-0,10-29,308,306,0.34093,307
UMES,MEAC,307,0.30852,9-32,4-16,5-16,3-15,0-0,0-0,0-0,9-32,0-0,9-31,306,307,0.32742,304
Mississippi Val.,SWAC,308,0.27147,0-36,0-4,0-32,0-18,0-0,0-0,0-0,0-36,0-0,0-36,307,93,0.53340,308
