team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
Niagara,MAAC,169,0.49169,22-16-1,5-9-1,17-7,13-13,0-3,1-5,3-3,18-5-1,1-5,19-7-1,270,256,,
Bucknell,Patriot,170,0.49162,24-22,7-13,17-9,11-15,0-2,0-1,6-11,18-8,1-4,22-16,200,155,,
Lindenwood,OVC,171,0.49153,24-22,14-11,10-11,8-12,0-0,4-3,6-15,14-4,6-11,14-8,171,265,,
Stony Brook,CAA,172,0.49046,19-25,7-13,12-12,9-18,0-7,0-1,10-11,9-6,2-8,13-10,141,156,,
Toledo,MAC,173,0.48999,24-24,6-15,18-9,11-18,0-4,2-6,7-8,15-6,3-9,20-13,210,223,,
Western Mich.,MAC,174,0.48987,22-20,6-9,16-11,12-9,0-1,4-7,2-3,16-9,3-8,18-12,227,185,,
A&M-Corpus Christi,Southland,175,0.48926,23-24,12-8,11-16,8-10,1-3,4-5,3-3,15-13,3-7,17-8,125,96,,
CSUN,Big West,176,0.48793,24-22,13-9,11-13,10-11,1-2,7-4,1-5,15-11,3-7,15-9,223,135,,
Yale,Ivy League,177,0.48732,23-13-1,12-7,11-6-1,12-8-1,0-0,0-0,7-6-1,16-7,0-0,23-13-1,293,285,,
Marshall,Sun Belt,178,0.48710,21-26,10-13,11-13,8-15,1-7,3-9,4-5,13-5,5-14,11-6,179,245,,
Arizona,Big 12,179,0.48644,16-30,8-11,8-19,4-11,3-11,3-5,4-9,6-5,9-23,5-4,53,204,,
Sam Houston,CUSA,180,0.48602,20-28,11-13,9-15,10-15,0-8,2-8,9-5,9-7,1-19,15-5,145,205,,
Fordham,Atlantic 10,181,0.48496,23-26,10-15,13-11,12-14,0-0,2-2,7-14,14-10,2-4,18-18,154,257,,
George Mason,Atlantic 10,182,0.48469,22-23,9-12,13-11,9-13,0-5,1-2,2-7,19-9,1-8,19-12,193,163,,
New Mexico St.,CUSA,183,0.48377,17-27,9-11,8-16,5-15,2-5,3-12,3-5,9-5,6-16,10-9,86,151,,
North Ala.,ASUN,184,0.48364,24-22,9-13,15-9,10-10,0-5,0-3,7-4,17-10,0-8,20-12,219,89,,
VMI,SoCon,185,0.48335,27-20,24-8,3-12,6-14,0-4,2-7,2-5,23-4,2-11,21-2,254,300,,
Fairfield,MAAC,186,0.48316,22-19,6-11,16-8,11-13,0-3,1-0,6-8,15-8,1-3,19-13,246,142,,
Gardner-Webb,Big South,187,0.48186,21-27,13-14,8-13,6-18,1-3,1-9,5-8,14-7,4-14,11-8,142,207,,
Bowling Green,MAC,188,0.48159,15-28,5-11,10-17,9-21,3-11,3-4,1-1,8-12,6-15,9-13,100,8,,
San Diego,WCC,189,0.48153,17-27,8-15,9-12,7-15,0-4,5-12,4-4,8-7,8-15,7-6,123,63,,
Rhode Island,Atlantic 10,190,0.48103,20-26,7-15,13-11,8-20,0-6,0-0,4-9,16-11,0-7,16-13,176,82,,
William & Mary,CAA,191,0.48090,20-25,9-12,11-13,9-14,0-4,2-7,2-6,16-8,1-13,15-7,174,138,,
Columbia,Ivy League,192,0.48019,15-23-1,5-13,10-10-1,7-17,1-6,1-5,2-3,11-9-1,2-11,13-12-1,143,22,,
Bethune-Cookman,SWAC,193,0.47984,33-15,13-10,20-5,13-7,2-2,1-1,6-4,24-8,4-3,27-9,301,261,,
San Jose St.,Mountain West,194,0.47979,20-25,9-14,11-11,9-14,0-0,1-4,8-14,11-7,6-7,13-12,166,188,,
Davidson,Atlantic 10,195,0.47973,24-21,9-12,15-9,9-11,0-2,0-4,2-2,22-13,0-3,22-11,247,246,,
Dayton,Atlantic 10,196,0.47938,27-20,16-7,11-13,12-9,0-1,0-1,5-9,22-9,0-5,21-11,268,302,,
SFA,Southland,197,0.47762,24-24,11-10,13-14,10-12,0-2,1-3,6-8,17-11,1-8,17-9,234,292,,
UNLV,Mountain West,198,0.47759,26-21,19-10,7-11,7-9,1-0,0-2,8-10,17-9,2-4,22-14,241,266,,
Penn St.,Big Ten,199,0.47758,13-31,7-13,6-18,3-17,1-9,1-3,6-14,5-5,6-18,4-3,49,130,,
Southern U.,SWAC,200,0.47700,21-21,3-13,18-8,12-11,0-2,0-6,3-6,18-7,0-8,19-11,235,59,,
Brown,Ivy League,201,0.47676,21-18,8-10,13-8,8-10,0-0,0-1,6-8,15-9,0-1,20-15,251,190,,
Alabama St.,SWAC,202,0.47674,26-19,7-11,19-8,9-9,0-5,0-1,2-4,24-9,1-7,22-11,267,231,,
Navy,Patriot,203,0.47558,30-17,14-7,16-10,11-8,0-0,0-1,8-5,22-11,0-2,28-14,297,306,,
Lipscomb,ASUN,204,0.47407,21-23,7-13,14-10,8-12,0-4,0-1,6-7,15-11,0-5,20-15,216,144,,
Middle Tenn.,CUSA,205,0.47366,23-25,13-11,10-14,3-16,0-9,0-4,4-4,19-8,2-14,18-8,203,274,,
Elon,CAA,206,0.47355,19-27,9-10,10-17,9-15,1-3,4-6,2-8,12-10,3-10,14-10,170,129,,
Quinnipiac,MAAC,207,0.47329,22-23,9-12,13-11,14-16,0-0,2-5,4-8,16-10,1-3,17-15,252,162,,
New Mexico,Mountain West,208,0.47290,25-20-1,14-11,11-9-1,5-8,0-0,1-2,7-10,17-8-1,4-6,20-10-1,245,287,,
Stetson,ASUN,209,0.47273,18-29,9-15,9-14,7-12,3-8,1-3,2-8,12-10,4-13,10-5,129,40,,
Ga. Southern,Sun Belt,210,0.47219,14-34,8-16,6-18,3-19,2-11,1-10,7-10,4-3,8-24,5-7,60,43,,
Evansville,MVC,211,0.47202,17-28,7-20,10-8,7-17,0-5,3-9,3-5,11-9,3-14,10-9,140,65,,
Florida A&M,SWAC,212,0.47099,21-22,5-12,16-10,7-10,0-3,0-2,1-4,20-13,1-8,20-12,175,102,,
Bellarmine,ASUN,213,0.47055,19-27,8-14,11-13,10-17,0-1,1-3,6-12,12-11,1-3,17-15,199,189,,
New Orleans,Southland,214,0.46919,20-30,10-13,10-17,9-19,0-2,3-7,6-11,11-10,3-8,11-9,194,230,,
UIW,Southland,215,0.46918,18-27,10-8,8-19,7-16,0-5,2-6,7-7,9-9,2-8,12-10,169,174,,
Wagner,NEC,216,0.46910,24-20,5-12,19-8,16-18,0-3,0-5,2-1,22-11,0-7,24-12,299,282,,
Southern Ind.,OVC,217,0.46839,25-23,17-10,8-13,7-18,0-4,1-5,6-8,18-6,1-6,22-11,274,301,,
Santa Clara,WCC,218,0.46808,18-28,11-14,7-14,4-16,2-4,3-4,3-5,10-15,7-10,10-14,137,71,,
Grand Canyon,Mountain West,219,0.46799,17-28,10-17,7-11,5-13,0-2,2-12,4-8,11-6,3-18,8-8,132,117,,
Merrimack,MAAC,220,0.46624,20-25,6-15,14-10,11-15,0-1,1-3,4-8,15-13,0-2,19-20,232,183,,
FIU,CUSA,221,0.46530,15-32,9-14,6-18,1-18,0-11,0-5,6-9,9-7,5-16,9-8,62,79,,
UMBC,America East,222,0.46485,22-20,12-12,10-8,8-13,0-0,0-0,3-13,19-7,0-1,16-7,278,251,,
Pepperdine,WCC,223,0.46430,18-28,6-19,12-9,9-15,1-6,1-4,3-3,13-15,3-10,13-17,181,121,,
Harvard,Ivy League,224,0.46287,11-26,2-14,9-12,8-18,0-3,1-6,5-8,5-9,1-9,10-13,128,11,,
Butler,Big East,225,0.46253,19-28,11-21,8-7,9-17,0-1,1-6,4-15,14-6,2-10,16-15,211,219,,
Marist,MAAC,226,0.46194,19-26,3-15,16-11,7-17,0-0,1-11,3-10,15-5,0-12,17-12,212,54,,
Princeton,Ivy League,227,0.46149,15-27,7-14,8-13,9-17,1-2,4-9,2-4,8-12,2-5,9-15,192,73,,
Ball St.,MAC,228,0.46141,19-26,5-13,14-13,5-15,1-6,0-1,6-10,12-9,3-8,15-13,220,201,,
CSU Bakersfield,Big West,229,0.46125,18-28,8-13,10-15,9-13,0-1,0-8,6-6,12-13,0-9,15-11,201,211,,
Holy Cross,Patriot,230,0.46051,21-27,8-14,13-13,13-19,0-0,0-7,6-8,15-12,0-4,21-20,265,276,,
Delaware,CUSA,231,0.46048,17-31,12-12,5-19,4-20,1-8,1-5,3-15,12-3,4-18,10-11,148,180,,
South Dakota St.,Summit League,232,0.45913,14-26,5-15,9-11,10-20,2-7,0-4,3-6,9-9,2-11,10-7,233,26,,
Sacred Heart,MAAC,233,0.45799,15-27,4-15,11-12,8-19,0-4,0-3,5-9,10-11,0-7,13-16,168,70,,
FDU,NEC,234,0.45731,29-15-1,7-10-1,22-5,11-11-1,0-0,1-0,4-3,24-12-1,1-0,28-14-1,308,296,,
Towson,CAA,235,0.45356,18-27,12-9,6-18,11-16,0-3,0-4,6-11,12-9,0-7,18-11,242,288,,
UMass Lowell,America East,236,0.45254,16-26,10-14,6-12,9-13,0-2,1-3,6-10,9-11,0-3,12-14,224,171,,
Tennessee Tech,OVC,237,0.45167,17-32,12-16,5-16,5-17,0-4,1-4,7-19,9-5,3-15,14-13,150,216,,
Southern Ill.,MVC,238,0.45130,18-28,9-19,9-9,6-13,0-1,0-2,2-9,16-16,0-5,14-17,188,160,,
UT Martin,OVC,239,0.45120,22-24,13-12,9-12,6-13,0-3,0-3,6-10,16-8,2-7,19-11,269,304,,
Belmont,MVC,240,0.45089,19-29,10-20,9-9,8-13,1-2,1-4,5-9,12-14,3-7,13-13,225,143,,
Central Mich.,MAC,241,0.45066,17-27,8-9,9-18,10-19,0-7,0-4,5-7,12-9,0-11,17-12,263,305,,
San Francisco,WCC,242,0.45024,22-23,9-15,13-8,6-11,0-0,1-3,4-8,17-12,2-7,20-14,275,249,,
UIC,MVC,243,0.45018,20-24-1,8-18-1,12-6,8-16-1,0-2,0-2,8-14-1,12-6,0-5,19-8,286,294,,
Seattle U,WCC,244,0.44889,14-25,3-15,11-10,7-15,0-0,0-5,7-8,7-12,2-7,10-17,207,118,,
Long Beach St.,Big West,245,0.44862,17-29,6-12,11-17,5-11,1-4,0-2,7-9,9-14,3-10,7-14,205,154,,
Milwaukee,Horizon,246,0.44861,16-29,6-21,10-8,8-24,0-7,1-6,2-8,13-8,1-13,13-11,248,191,,
Queens (NC),ASUN,247,0.44840,13-33,4-18,9-15,5-20,0-5,1-5,3-9,9-14,0-7,7-14,126,44,,
LIU,NEC,248,0.44706,22-18,1-12,21-6,13-12,0-0,0-3,0-5,22-10,0-3,22-9,303,123,,
Eastern Mich.,MAC,249,0.44596,15-30,6-12,9-18,6-20,0-3,2-8,3-10,10-9,2-11,11-16,197,179,,
Massachusetts,MAC,250,0.44593,16-24,4-9,12-15,9-12,0-1,0-3,3-9,13-11,1-6,15-18,259,289,,
Western Ill.,OVC,251,0.44577,14-30,6-17,8-13,5-20,0-0,0-2,5-19,9-9,2-6,10-16,165,233,,
Stonehill,NEC,252,0.44525,19-23,4-14,15-9,11-19,0-0,0-3,4-13,15-7,0-0,19-20,287,164,,
Pacific,WCC,253,0.44475,20-25,8-16,12-9,7-13,0-0,0-0,6-14,14-11,1-2,16-17,271,279,,
Ark.-Pine Bluff,SWAC,254,0.44401,19-29,6-18,13-11,4-19,0-4,0-4,3-13,16-8,1-7,17-15,230,124,,
Villanova,Big East,255,0.44394,16-26,13-14,3-12,10-18,0-0,0-3,7-15,9-8,1-6,14-17,276,281,,
Dartmouth,Ivy League,256,0.44309,15-22,8-11,7-11,4-16,0-3,0-0,3-11,12-8,0-3,15-19,260,157,,
Siena,MAAC,257,0.44267,18-26,8-12,10-14,7-19,0-6,0-0,3-10,15-10,0-6,18-16,273,263,,
North Dakota St.,Summit League,258,0.44234,10-28,4-16,6-12,7-24,0-2,3-9,4-9,3-8,3-8,4-12,218,61,,
Canisius,MAAC,259,0.44213,16-23,4-11,12-12,10-19,0-0,0-3,5-10,11-10,0-3,15-15,282,295,,
Cornell,Ivy League,260,0.43900,11-26,3-13,8-13,6-14,0-2,0-0,6-16,5-8,0-2,10-18,198,84,,
Saint Louis,Atlantic 10,261,0.43877,17-30,9-14,8-16,4-16,0-1,0-6,0-9,17-14,0-7,16-16,213,238,,
Le Moyne,NEC,262,0.43784,16-23,0-12,16-11,6-16,0-6,0-0,0-7,16-10,0-6,16-15,257,28,,
Akron,MAC,263,0.43747,19-28,9-10,10-18,11-15,0-4,0-4,2-8,17-12,1-10,18-18,283,307,,
Omaha,Summit League,264,0.43706,16-22,5-13,11-9,8-13,0-4,1-3,2-5,13-10,1-8,14-11,296,72,,
Georgetown,Big East,265,0.43679,23-25,18-15,5-10,8-10,0-1,2-5,6-7,15-12,2-10,20-13,289,298,,
Valparaiso,MVC,266,0.43617,10-33,7-18,3-15,7-23,0-4,1-3,5-16,4-10,1-6,7-18,160,99,,
West Ga.,ASUN,267,0.43614,13-35,3-21,10-14,5-20,0-4,0-8,3-10,10-13,0-14,8-12,177,86,,
Iona,MAAC,268,0.43531,16-24,4-13,12-11,8-13,0-0,0-0,4-10,12-14,0-0,15-22,256,170,,
LMU (CA),WCC,269,0.43511,12-37,9-19,3-18,1-25,0-11,0-3,3-10,9-13,2-17,9-17,134,49,,
Northern Ky.,Horizon,270,0.43489,22-24,11-14,11-10,6-18,0-4,1-3,4-5,17-12,3-4,14-13,305,244,,
La Salle,Atlantic 10,271,0.43469,21-28,16-9,5-19,9-17,0-4,0-3,3-10,18-11,0-7,21-15,284,308,,
UC Riverside,Big West,272,0.43439,14-32,5-17,9-15,5-16,0-0,1-8,1-9,12-15,1-8,12-16,186,141,,
St. Bonaventure,Atlantic 10,273,0.43430,12-31-1,6-13-1,6-18,4-24-1,0-1,0-6,2-15-1,10-9,0-4,11-23-1,187,193,,
Presbyterian,Big South,274,0.43365,10-38,4-26,6-12,3-24,1-6,1-6,1-17,7-9,2-15,4-10,110,147,,
Seton Hall,Big East,275,0.43354,14-25,12-12,2-13,2-12,0-1,0-6,1-12,13-6,0-10,14-9,236,225,,
Grambling,SWAC,275,0.43354,19-25,0-14,19-11,5-14,0-3,0-3,2-7,17-12,0-6,19-14,277,64,,
George Washington,Atlantic 10,277,0.43313,17-29,8-14,9-15,5-16,0-4,3-3,0-7,14-15,0-7,14-22,237,248,,
UAlbany,America East,278,0.43269,13-27,5-17,8-10,8-17,0-0,0-3,5-14,8-10,0-4,13-18,244,226,,
Lehigh,Patriot,279,0.43237,14-31,6-13,8-18,8-20,0-3,0-1,2-12,12-15,0-4,14-27,229,260,,
Fresno St.,Mountain West,280,0.43167,13-31-1,11-14,2-17-1,5-15-1,0-0,3-4,2-17-1,8-10,2-9,7-18-1,217,241,,
N.C. A&T,CAA,281,0.43057,12-34,9-13,3-21,4-15,0-1,2-6,4-14,6-13,3-11,8-17,151,140,,
Eastern Ky.,ASUN,282,0.42959,11-36,6-17,5-19,4-20,0-2,0-3,3-17,8-14,0-4,6-21,130,57,,
Lafayette,Patriot,283,0.42955,12-33,5-14,7-19,6-23,1-6,0-0,3-15,8-12,1-6,11-26,196,196,,
UNC Asheville,Big South,284,0.42882,18-30,12-18,6-12,5-16,0-2,2-6,1-3,15-19,2-7,13-12,263,280,,
Manhattan,MAAC,285,0.42773,16-27,8-11,8-16,11-17,0-0,1-0,5-13,10-14,0-0,14-23,281,303,,
