team,conf,rpi_rank,rpi_value,wl,noncon_record,conf_record,road_wl,q1,q2,q3,q4,vs_top_100,vs_below_150,sos_rank,ncsos_rank,ncsos_value,dsr
Oklahoma,SEC,19,0.59103,30-16,18-4,12-12,7-8,8-12,5-3,5-1,12-0,16-16,8-0,9,104,,
Virginia,ACC,20,0.59072,32-16,20-4,12-12,7-10,7-9,9-5,2-1,14-1,16-13,9-2,11,106,,
Wake Forest,ACC,21,0.59009,32-17,17-4,15-13,6-10,5-14,5-1,6-2,16-0,14-16,9-0,10,112,,
Cincinnati,Big 12,22,0.58716,32-17,19-6,13-11,14-11,10-10,6-3,5-3,11-1,17-15,6-1,27,77,,
Missouri St.,CUSA,23,0.58367,27-17,12-8,15-9,9-14,4-8,4-7,7-1,12-1,11-15,9-0,14,14,,
Boston College,ACC,24,0.58215,35-16,18-6,17-10,13-10,7-8,7-4,10-3,11-1,19-10,12-0,66,262,,
West Virginia,Big 12,25,0.58122,31-12,14-4,17-8,16-7,5-4,5-5,14-1,7-2,17-9,10-1,104,228,,
Liberty,CUSA,26,0.58098,35-13,17-7,18-6,17-5,7-8,10-3,7-0,11-2,17-11,14-1,81,80,,
Oregon,Big Ten,27,0.57802,35-12,18-5,17-7,12-7,8-6,5-2,5-3,17-1,14-9,14-1,112,148,,
Jacksonville St.,CUSA,28,0.57533,38-10,18-6,20-4,15-5,5-8,7-0,4-1,22-1,9-9,22-1,153,243,,
UCF,Big 12,29,0.57452,27-17,12-8,15-9,8-7,5-8,8-4,2-4,12-1,14-14,12-1,7,68,,
Arkansas,SEC,30,0.57378,32-17,19-6,13-11,8-5,11-10,3-2,8-2,10-3,17-12,7-3,31,182,,
UC Santa Barbara,Big West,31,0.57301,30-15,14-7,16-8,13-7,3-4,7-3,10-3,10-5,14-6,9-2,47,1,,
Oklahoma St.,Big 12,32,0.57259,31-17,17-7,14-10,9-10,6-8,7-4,9-3,9-2,16-13,11-2,50,139,,
Miami (FL),ACC,33,0.57222,33-14,20-3,13-11,10-6,7-8,6-4,8-2,12-0,16-13,10-0,71,172,,
Tennessee,SEC,34,0.57089,31-17,20-4,11-13,5-7,10-8,1-5,3-2,17-2,14-15,10-0,19,122,,
Kentucky,SEC,35,0.57070,29-16,18-3,11-13,10-10,6-6,4-4,12-3,7-3,16-9,6-1,67,186,,
Virginia Tech,ACC,36,0.56823,25-21,12-7,13-14,9-10,4-11,7-5,5-1,9-4,13-17,5-1,6,52,,
NC State,ACC,37,0.56627,30-17,18-5,12-12,5-9,7-10,4-2,7-2,12-3,17-14,10-3,34,217,,
UTSA,American,38,0.56576,33-14,18-8,15-6,11-9,2-1,5-3,16-8,10-2,15-6,13-5,120,210,,
Arizona St.,Big 12,39,0.56322,33-15,16-6,17-9,11-5,4-7,6-3,14-2,9-3,20-11,13-4,83,137,,
East Carolina,American,40,0.56321,29-19-1,16-11-1,13-8,7-11-1,3-6-1,5-7,13-4,8-2,17-13-1,7-2,29,27,,
Clemson,ACC,41,0.56172,28-20,20-3,8-17,7-10,6-9,4-10,6-0,12-1,10-14,13-1,17,169,,
Michigan,Big Ten,42,0.56062,30-17,14-8,16-9,13-9,2-8,7-3,9-4,12-2,7-10,13-5,88,200,,
Mercer,SoCon,43,0.55922,35-13,26-7,9-6,9-11,0-7,2-2,11-4,22-0,7-11,21-1,172,254,,
Louisiana,Sun Belt,44,0.55899,30-18,18-6,12-12,8-11,5-7,5-4,10-4,10-3,18-12,3-3,68,90,,
Kent St.,MAC,45,0.55879,34-11,13-4,21-7,17-6,3-2,6-5,2-2,23-2,9-7,25-3,163,87,,
UAB,American,46,0.55726,28-19,16-10,12-9,9-10,5-9,3-5,4-0,16-5,8-14,10-3,44,25,,
Miami (OH),MAC,47,0.55717,32-15,13-7,19-8,14-10,4-6,1-3,11-4,16-2,5-10,25-4,115,30,,
Western Caro.,SoCon,48,0.55684,31-17,19-11,12-6,11-9,3-2,9-5,9-6,10-4,13-8,10-4,72,192,,
Pittsburgh,ACC,49,0.55657,28-18,18-4,10-14,10-9,8-9,4-3,3-5,13-1,8-13,13-3,61,239,,
TCU,Big 12,50,0.55647,29-18,15-7,14-11,7-11,3-9,7-4,2-2,17-3,12-13,8-4,76,110,,
Arkansas St.,Sun Belt,51,0.55631,27-19,16-6,11-13,11-12,4-5,6-7,7-6,10-1,11-10,9-1,54,62,,
Purdue,Big Ten,52,0.55558,31-15,16-6,15-9,7-7,1-4,4-5,12-4,14-2,12-11,14-1,105,116,,
Gonzaga,WCC,53,0.55417,29-17,13-12,16-5,17-14,2-5,2-4,16-4,9-4,9-9,13-5,133,38,,
High Point,Big South,54,0.55306,30-17,18-11,12-6,11-9,3-4,2-4,10-3,15-6,8-9,14-3,82,34,,
LSU,SEC,55,0.55075,28-21,19-6,9-15,3-10,4-13,5-3,4-0,15-5,12-16,8-2,20,127,,
Eastern Ill.,OVC,56,0.55008,28-15,13-9,15-6,17-12,1-2,3-4,13-4,11-5,5-6,19-7,147,232,,
Texas St.,Sun Belt,57,0.54990,27-21,17-7,10-14,4-11,2-8,5-1,9-10,11-2,13-16,10-2,23,12,,
Tarleton St.,WAC,58,0.54951,31-16,20-12,11-4,13-6,1-3,1-3,15-5,14-5,6-7,22-7,89,94,,
The Citadel,SoCon,59,0.54885,25-22,19-13,6-9,11-15,1-10,6-9,4-1,14-2,5-16,13-1,38,85,,
Southeast Mo. St.,OVC,60,0.54831,31-16,19-7,12-9,12-11,1-4,4-4,9-3,17-5,4-5,18-4,116,80,,
Kansas St.,Big 12,61,0.54772,26-22,15-7,11-15,9-10,1-11,11-8,6-1,8-2,11-18,9-3,35,74,,
Saint Joseph's,Atlantic 10,61,0.54772,32-14,10-12,22-2,16-11,1-2,1-2,12-6,18-4,1-2,24-6,164,128,,
Campbell,CAA,63,0.54727,33-14,10-10,23-4,15-5,2-2,3-2,15-4,13-6,10-8,21-3,155,55,,
South Alabama,Sun Belt,64,0.54723,30-18,16-8,14-10,12-7,7-7,2-0,10-6,11-5,13-10,10-5,93,161,,
California Baptist,WAC,65,0.54693,37-11,27-6,10-5,19-6,1-2,7-2,2-1,27-6,7-3,27-7,243,271,,
Baylor,Big 12,66,0.54644,25-22,14-8,11-14,6-9,4-14,5-3,4-4,12-1,9-20,8-1,22,50,,
Troy,Sun Belt,67,0.54588,23-25,10-14,13-11,10-14,5-9,2-4,12-11,4-1,13-20,7-4,13,5,,
DBU,CUSA,68,0.54329,28-20,12-12,16-8,11-9,2-8,4-7,11-3,11-2,8-16,13-3,65,21,,
South Fla.,American,69,0.54291,29-18,21-5,8-13,8-10,4-7,3-4,6-3,16-4,10-13,13-2,95,149,,
Notre Dame,ACC,70,0.54158,24-20,13-4,11-16,8-10,2-14,6-4,5-1,11-1,7-16,9-0,64,293,,
Vanderbilt,SEC,71,0.54146,27-22,17-8,10-14,4-9,5-15,3-1,6-2,13-4,12-17,13-2,43,273,,
BYU,Big 12,72,0.53937,23-23,10-10,13-13,14-12,2-4,12-8,6-8,3-3,10-16,6-5,52,98,,
California,ACC,73,0.53873,24-23,16-7,8-16,11-10,5-13,3-3,3-3,13-4,6-16,10-5,39,259,,
Xavier,Big East,74,0.53834,22-27,12-22,10-5,14-19,5-13,4-5,3-3,10-6,8-19,10-3,33,9,,
Southeastern La.,Southland,75,0.53798,29-19,11-10,18-9,11-11,2-3,4-7,7-6,16-3,3-8,17-5,94,32,,
Louisiana Tech,CUSA,76,0.53750,28-21,13-12,15-9,10-10,3-4,6-7,7-7,12-3,11-13,13-5,79,46,,
Maryland,Big Ten,77,0.53730,22-26,16-8,6-18,11-17,1-10,5-10,5-5,11-1,7-22,11-0,25,69,,
ETSU,SoCon,78,0.53725,29-16,20-10,9-6,10-13,1-5,5-3,7-7,16-1,8-10,19-4,185,255,,
Iowa,Big Ten,79,0.53610,25-18,13-6,12-12,10-7,0-8,3-1,15-7,7-2,6-12,9-2,103,178,,
Rice,American,80,0.53561,29-20,18-10,11-10,11-9,0-3,9-6,8-4,12-7,9-8,11-4,106,168,,
Utah,Big 12,81,0.53385,23-19,12-5,11-14,9-13,2-10,3-4,4-3,14-2,9-16,11-3,111,270,,
Cal Poly,Big West,82,0.53373,27-19,10-12,17-7,12-9,0-7,6-6,5-3,16-3,4-13,16-4,101,41,,
UConn,Big East,83,0.53318,27-22,17-17,10-5,18-10,0-4,7-6,15-11,5-1,10-16,13-4,107,108,,
Duke,ACC,84,0.53265,23-24,14-8,9-16,4-14,4-15,4-3,2-2,13-4,10-20,8-2,26,198,,
NIU,MAC,85,0.53252,29-13,10-5,19-8,19-9,1-1,6-2,4-4,18-6,6-4,22-9,240,247,,
Minnesota,Big Ten,86,0.53160,29-18,19-4,10-14,7-11,2-5,3-7,8-4,16-2,7-12,16-3,139,166,,
Ohio St.,Big Ten,87,0.52993,24-21,11-10,13-11,8-8,3-9,7-5,4-4,10-3,10-13,11-5,78,184,,
Washington St.,Mountain West,88,0.52906,25-23,12-15,13-8,12-15,3-8,3-7,5-4,14-4,7-16,18-7,91,42,,
Illinois,Big Ten,89,0.52868,22-23,11-9,11-14,6-12,3-7,3-6,6-6,10-4,8-14,8-3,45,132,,
Creighton,Big East,90,0.52867,26-19,15-15,11-4,11-12,0-6,3-6,7-4,16-3,5-13,14-3,131,103,,
San Diego St.,Mountain West,90,0.52867,30-18,17-11,13-7,10-12,1-2,0-2,9-11,20-3,5-5,18-9,162,146,,
Charlotte,American,92,0.52637,23-24,15-11,8-13,7-12,2-9,6-1,5-12,10-2,8-18,3-4,46,60,,
Kennesaw St.,CUSA,93,0.52387,22-22,11-9,11-13,8-12,2-9,3-4,9-9,8-0,8-15,13-5,70,18,,
USC Upstate,Big South,94,0.52357,22-26,11-16,11-10,9-22,1-6,3-9,10-8,8-3,7-12,11-6,73,76,,
Little Rock,OVC,95,0.52340,28-20,14-13,14-7,11-14,0-5,3-2,9-6,16-7,5-8,14-6,152,181,,
UNCW,CAA,96,0.52328,26-20,12-10,14-10,11-8,1-3,1-4,13-7,11-6,5-11,18-9,108,45,,
App State,Sun Belt,97,0.52301,28-18,13-9,15-9,11-9,1-8,5-4,4-4,18-2,5-12,19-4,183,258,,
Samford,SoCon,98,0.52269,24-21,15-15,9-6,7-9,2-10,2-4,8-4,12-3,9-18,12-3,77,165,,
St. John's (NY),Big East,99,0.52231,26-21,15-17,11-4,16-11,0-6,7-3,7-7,12-5,8-14,17-7,138,150,,
Portland,WCC,100,0.52203,25-19,14-9,11-10,7-11,2-6,2-3,4-3,17-7,6-10,16-8,121,19,,
UTRGV,Southland,101,0.52193,24-25,7-12,17-13,13-15,2-6,2-8,12-4,8-7,4-11,15-6,80,15,,
South Carolina,SEC,102,0.52128,22-27,15-10,7-17,4-11,1-17,5-4,4-2,12-4,6-23,10-4,16,145,,
UC San Diego,Big West,103,0.51986,19-24,5-14,14-10,9-15,3-10,0-3,8-4,8-7,5-16,10-6,55,4,,
Louisville,ACC,104,0.51965,26-22,16-8,10-14,3-11,2-7,7-8,3-1,14-6,12-15,11-0,96,237,,
Cal St. Fullerton,Big West,105,0.51741,21-25,8-14,13-11,11-14,3-6,2-5,7-7,9-7,6-12,9-9,63,2,,
FGCU,ASUN,106,0.51697,29-17,16-7,13-10,10-10,2-3,0-0,9-5,18-9,3-4,20-5,202,75,,
Morehead St.,OVC,107,0.51687,24-23,15-11,9-12,13-16,4-7,2-5,5-3,13-8,5-9,18-8,109,209,,
Wofford,SoCon,108,0.51626,31-17,22-11,9-6,9-8,0-3,3-4,10-5,18-5,8-9,19-6,208,283,,
Western Ky.,CUSA,109,0.51508,26-22,15-9,11-13,5-10,1-7,0-4,10-7,15-4,8-14,13-4,97,119,,
Houston,Big 12,110,0.51418,19-28,15-8,4-20,6-11,5-13,1-2,6-10,7-3,8-23,8-2,30,67,,
Winthrop,Big South,111,0.51384,30-18,17-13,13-5,8-10,0-4,1-2,8-4,21-8,4-7,14-10,214,175,,
Indiana,Big Ten,112,0.51359,21-27,14-10,7-17,9-16,1-9,6-6,5-7,9-5,6-17,7-4,75,97,,
Memphis,American,113,0.51339,18-28,8-17,10-11,7-13,2-8,7-6,3-9,6-5,11-20,5-4,18,16,,
Lamar University,Southland,114,0.51265,25-23,8-13,17-10,9-12,1-6,1-2,10-11,13-4,4-12,13-9,113,83,,
Northeastern,CAA,115,0.51256,28-18,11-11,17-7,14-7,1-4,0-1,9-8,18-5,1-8,21-7,221,173,,
Stanford,ACC,116,0.51253,22-22,12-8,10-14,5-8,6-5,5-11,1-0,10-6,9-15,9-4,87,277,,
Rutgers,Big Ten,117,0.51196,22-26,13-11,9-15,10-12,1-9,5-7,7-5,9-5,7-17,11-6,85,131,,
VCU,Atlantic 10,118,0.51195,26-21,11-12,15-9,7-13,1-7,0-2,8-7,17-5,2-9,21-8,135,33,,
UC Irvine,Big West,119,0.51139,20-25,10-11,10-14,7-11,2-6,3-8,7-6,8-5,7-13,8-5,58,13,,
Old Dominion,Sun Belt,120,0.51115,24-23,13-10,11-13,8-10,1-4,3-5,8-11,12-3,7-16,12-5,90,101,,
