id,name,class_ranking,current_rpi,academics,conference_id,team_id_ncaa,sport,logo_url,state_id
46,Augustana (IL),0.0,,,41.0,40.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/46.png,13.0
47,Augustana (SD),0.0,,,42.0,41.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/47.png,41.0
48,AUM,0.0,,,13.0,30093.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/48.png,1.0
49,Aurora,0.0,,,44.0,42.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/49.png,13.0
50,Austin,0.0,,,46.0,953.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/50.png,43.0
51,Austin Peay,0.0,160.0,,48.0,43.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/51.png,42.0
52,Averett,0.0,,,50.0,44.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/52.png,46.0
53,Azusa Pacific,0.0,,,4.0,30146.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/53.png,5.0
54,Babson,0.0,,,52.0,45.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/54.png,21.0
55,Baldwin Wallace,0.0,,,53.0,46.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/55.png,35.0
56,Ball St.,0.0,215.0,,10.0,47.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/56.png,14.0
57,Bard,0.0,,,54.0,962.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/57.png,32.0
58,Barry,0.0,,,55.0,49.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/58.png,9.0
59,Barton,0.0,,,29.0,15646.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/59.png,33.0
60,Baruch,0.0,,,56.0,58.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/60.png,32.0
61,Bates,0.0,,,26.0,50.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/61.png,19.0
62,Baylor,0.0,34.0,,59.0,51.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/62.png,43.0
63,Belhaven,0.0,,,60.0,30197.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/63.png,24.0
64,Bellarmine,0.0,199.0,,48.0,52.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/64.png,17.0
65,Belmont,0.0,218.0,,62.0,14927.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/65.png,42.0
66,Belmont Abbey,0.0,,,29.0,2683.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/66.png,33.0
67,Beloit,0.0,,,63.0,53.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/67.png,49.0
68,Bemidji St.,0.0,,,42.0,54.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/68.png,23.0
69,Benedict,0.0,,,14.0,55.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/69.png,40.0
70,Benedictine (IL),0.0,,,44.0,296.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/70.png,13.0
71,Bentley,0.0,,,6.0,56.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/71.png,21.0
72,Berea,0.0,,,27.0,30171.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/72.png,17.0
