id,name,position,bio,tenure_at_school,team_id,wins,loss,ties,win_perc
316,Tim Gurnow,Head Coach,,3,454,40,73,0,0.354
317,Steve Gust,Head Coach,,18,481,424,407,0,0.51
318,Mike Guy,Head Coach,,3,908,53,31,0,0.631
319,Justin Haire,Head Coach,,12,576,332,257,0,0.564
320,Chip Hale,Head Coach,,5,31,155,104,0,0.598
321,Bryan Haley,Head Coach,,19,246,524,251,0,0.676
322,Ben Hall,Head Coach,,12,519,217,334,0,0.394
323,Cory Hall,Head Coach,,2,886,43,27,0,0.614
324,Chadwick Hall,Head Coach,,4,804,49,112,0,0.304
325,Patrick Hallmark,Head Coach,,9,846,264,160,0,0.623
326,Kyle Hallock,Head Coach,,6,89,126,144,0,0.467
327,Jeff Halstead,Head Coach,,12,625,188,226,0,0.454
328,Fritz Hamburg,Head Coach,,18,668,395,434,2,0.477
329,Brian Hamm,Head Coach,,17,938,398,206,0,0.659
330,Joey Hammond,Head Coach,,5,326,124,119,0,0.51
331,Mike Hampton,Head Coach,,7,740,142,139,2,0.505
332,Chris Hanks,Head Coach,,28,172,1125,430,0,0.723
333,Mitch Hannahs,Head Coach,,13,712,396,242,1,0.621
334,Craig Hanson,Head Coach,,20,211,323,342,3,0.486
335,Steve Hardman,Head Coach,,15,212,234,298,0,0.44
336,Carlton Hardy,Head Coach,,29,16,523,680,1,0.435
337,Brent Haring,Head Coach,,2,537,24,40,0,0.375
338,Brett Harker,Head Coach,,8,406,164,217,0,0.43
339,Nick Harlan,Head Coach,,16,135,498,340,0,0.594
340,Jordan Harlow,Head Coach,,1,410,8,3,0,0.727
341,Donny Harrel,Head Coach,,17,693,341,489,2,0.411
342,Chad Harris,Head Coach,,9,925,112,161,0,0.41
343,Brian Harrison,Head Coach,,19,55,490,302,1,0.619
344,Dan Hartleb,Head Coach,,21,345,604,447,1,0.575
345,John Harvell,Head Coach,,26,150,683,334,3,0.671
346,John Harvey,Head Coach,,22,34,575,458,0,0.557
347,Joey Hawkins,Head Coach,,2,492,37,30,0,0.552
348,Jeremy Haworth,Head Coach,,15,487,326,340,1,0.49
349,Chris Hayes,Head Coach,,10,356,260,228,0,0.533
350,Justin Haywood,Head Coach,,6,408,137,109,0,0.557
351,J.R. Head,Head Coach,,2,731,35,32,0,0.522
352,Scott Hearn,Head Coach,,6,443,29,156,0,0.157
353,Scott Heath,Head Coach,,1,721,20,19,0,0.513
354,Scott Heather,Head Coach,,14,98,244,338,4,0.42
355,Ray Hedrick,Head Coach,,22,636,527,311,6,0.628
356,Dan Heefner,Head Coach,,19,201,701,349,1,0.667
357,Jeremy Hefele,Head Coach,,3,296,18,33,0,0.353
358,Rick Heller,Head Coach,,39,353,1082,804,6,0.573
359,Joe Heller,Head Coach,,3,236,22,61,0,0.265
360,Clint Helton,Head Coach,,7,449,141,91,0,0.608
361,Brandon Hemmings,Head Coach,,10,12,247,152,0,0.619
362,Gary Henderson,Head Coach,,15,841,426,372,2,0.534
363,Jake Hendrick,Head Coach,,10,630,189,248,0,0.432
364,Rodney Hennon,Head Coach,,29,282,966,669,1,0.591
365,Robert Henry,Head Coach,,14,373,203,335,2,0.378
366,Neil Herman,Head Coach,,3,850,27,54,0,0.333
367,Jonathan Hernandez,Head Coach,,7,77,161,163,0,0.497
368,Paul Hesse,Head Coach,,30,510,617,475,4,0.565
369,Charlie Hickey,Head Coach,,30,136,801,644,6,0.554
370,Grant Hieb,Head Coach,,10,704,171,249,0,0.407
371,Rich Hill,Head Coach,,39,320,1216,823,4,0.596
372,Adam Hill,Head Coach,,2,545,8,31,0,0.205
373,Brad Hill,Head Coach,,2,377,20,48,0,0.294
374,Mike Hill,Head Coach,,4,71,88,60,0,0.595
375,Justin Hill,Head Coach,,13,457,371,291,0,0.56
376,Oscar Hirschkorn,Head Coach,,21,279,515,456,0,0.53
377,Chad Holbrook,Head Coach,,14,167,467,258,0,0.644
378,Frank Holbrook,Head Coach,,6,96,118,56,1,0.677
379,Alec Holcomb,Head Coach,,4,123,32,73,0,0.305
380,Todd Holland,Head Coach,,23,33,551,528,0,0.511
381,Aaron Holley,Head Coach,,13,637,251,206,2,0.549
382,Tim Hollibaugh,Head Coach,,32,306,477,558,0,0.461
383,Josh Holliday,Head Coach,,14,581,484,266,2,0.645
384,Steve Holm,Head Coach,,8,347,171,190,0,0.474
385,Zach Honeycutt,Head Coach,,4,439,50,117,0,0.299
386,Jared Hood,Head Coach,,12,223,317,176,0,0.643
387,Randy Hood,Head Coach,,7,829,189,125,0,0.602
388,Cody Hooten,Head Coach,,16,324,418,344,1,0.548
389,Ryan Horning,Head Coach,,13,276,233,188,4,0.553
390,Pat Horvath,Head Coach,,16,359,294,356,1,0.452
391,Christopher Howard,Head Coach,,12,600,184,187,0,0.496
392,Luke Howard,Head Coach,,8,592,180,160,0,0.529
393,Chris Howell,Head Coach,,10,45,154,266,0,0.367
394,Tim Huber,Head Coach,,18,47,641,286,1,0.691
395,Pete Hughes,Head Coach,,29,367,860,664,3,0.564
396,J.D. Hulse,Head Coach,,1,849,6,12,0,0.333
397,Matt Husted,Head Coach,,14,900,228,267,0,0.461
398,Marlin Ikenberry,Head Coach,,22,358,524,560,1,0.483
399,Michael Impellittiere,Head Coach,,9,876,143,144,1,0.498
400,Todd Interdonato,Head Coach,,19,87,512,486,1,0.513
401,Neil Ioviero,Head Coach,,29,368,847,372,4,0.694
402,Jeremy Ische,Head Coach,,8,729,114,178,0,0.39
403,Kerrick Jackson,Head Coach,,7,490,125,168,0,0.427
404,Justin James,Head Coach,,8,617,240,110,1,0.685
405,Tony Jandron,Head Coach,,2,557,40,31,0,0.563
406,Mick Janosko,Head Coach,,29,677,500,595,0,0.457
407,Link Jarrett,Head Coach,,14,267,425,264,0,0.617
408,Dave Jarvis,Head Coach,,29,65,794,752,2,0.514
409,Mike Jeffcoat,Head Coach,,21,883,687,374,0,0.648
410,Jeff Jefferson,Head Coach,,2,273,56,16,0,0.778
411,Ryan Jenkins,Head Coach,,9,839,138,255,0,0.351
412,Luke Johnson,Head Coach,,21,550,385,416,0,0.481
413,Jay Johnson,Head Coach,,14,422,518,252,0,0.673
414,Omar Johnson,Head Coach,,20,355,611,399,1,0.605
415,Skip Johnson,Head Coach,,9,580,279,177,0,0.612
416,Reginald Johnson II,Head Coach,,15,234,382,325,0,0.54
417,Patrick Jolley,Head Coach,,3,638,76,49,1,0.607
418,Matt Jones,Head Coach,,27,700,633,585,3,0.52
419,Steve Jones,Head Coach,,18,521,555,404,0,0.579
420,Jake Jourdain,Head Coach,,4,898,65,74,0,0.468
421,Alex Jurczynski,Head Coach,,3,702,37,79,0,0.319
422,Ed Kahovec,Head Coach,,11,332,141,261,1,0.351
423,Brett Kaminski,Head Coach,,2,649,27,23,1,0.539
424,Jim Kane,Head Coach,,26,159,440,421,1,0.511
425,Seth Kaplan,Head Coach,,7,897,82,103,1,0.444
426,Cody Kauffman,Head Coach,,3,641,33,43,0,0.434
427,Mike Kazlausky,Head Coach,,16,6,341,450,0,0.431
428,Brian Kehew,Head Coach,,7,959,36,169,1,0.177
429,Josh Keim,Head Coach,,2,669,29,37,0,0.439
430,Michael Kellar,Head Coach,,2,344,29,22,0,0.569
431,Ryan Kelley,Head Coach,,18,874,521,334,1,0.609
432,Kevin Kelley,Head Coach,,7,653,125,108,3,0.536
433,Justin Kelley,Head Coach,,4,879,44,71,0,0.383
434,Mike Kelley,Head Coach,,11,451,160,160,0,0.5
435,Frank Kellner,Head Coach,,3,746,61,60,0,0.504
436,David Kelton,Head Coach,,13,385,320,179,0,0.641
437,Mike Kennedy,Head Coach,,30,239,888,723,3,0.551
438,Michael Kerran,Head Coach,,1,493,7,9,0,0.438
439,Jordan Keur,Head Coach,,3,303,83,40,0,0.675
440,Jeff Kilgore,Head Coach,,13,242,233,346,0,0.402
441,Doug Kimbler,Head Coach,,14,568,236,219,1,0.519
442,Ben Kincaid,Head Coach,,10,927,132,177,0,0.427
443,Jayson King,Head Coach,,28,200,849,516,4,0.622
