id,team_id,total_attendance,average_attendance,capacity,capacity_percent,games,park_factor
868,482,793,88,0,0,9,0
869,195,791,42,0,0,19,0
870,287,787,61,400,0.151,13,0
871,126,768,70,534,0.131,11,0
872,161,761,59,0,0,13,0
873,762,761,63,150,0.423,12,0
874,330,760,95,1000,0.095,8,0
875,274,760,69,0,0,11,0
876,401,755,40,0,0,19,0
877,278,755,126,0,0,6,0
878,774,751,68,750,0.091,11,0
879,387,734,67,200,0.334,11,0
880,726,732,39,200,0.193,19,0
881,934,732,56,500,0.113,13,0
882,436,720,60,2500,0.024,12,0
883,304,712,36,500,0.071,20,0
884,871,710,51,300,0.169,14,0
885,648,703,70,4375,0.016,10,0
886,749,700,64,4200,0.015,11,0
887,646,695,70,1000,0.07,10,0
888,905,695,58,250,0.232,12,0
889,241,690,41,0,0,17,0
890,651,655,55,4000,0.014,12,0
891,460,646,40,0,0,16,0
892,382,643,40,0,0,16,0
893,177,641,43,600,0.071,15,0
894,556,639,107,0,0,6,0
895,458,635,79,500,0.159,8,0
896,60,634,49,7000,0.007,13,0
897,611,619,36,500,0.073,17,0
898,284,617,29,500,0.059,21,0
899,923,615,51,1000,0.051,12,0
900,879,587,98,300,0.326,6,0
901,583,577,58,800,0.072,10,0
902,616,572,64,500,0.127,9,0
903,928,562,70,300,0.234,8,0
904,169,561,62,700,0.089,9,0
905,647,560,47,2000,0.023,12,0
906,590,557,40,0,0,14,0
907,354,557,62,500,0.124,9,0
908,40,540,22,0,0,25,0
909,428,535,67,400,0.167,8,0
910,624,520,37,80,0.464,14,0
911,510,520,52,1000,0.052,10,0
912,310,500,50,250,0.2,10,0
913,769,493,49,800,0.062,10,0
914,564,493,55,300,0.183,9,0
915,861,488,44,300,0.148,11,0
916,398,485,44,0,0,11,0
917,348,477,27,688,0.039,18,0
918,898,450,30,200,0.15,15,0
919,920,450,45,500,0.09,10,0
920,741,433,33,0,0,13,0
921,850,425,28,0,0,15,0
922,745,407,37,1000,0.037,11,0
923,342,400,27,100,0.267,15,0
924,890,393,56,500,0.112,7,0
925,129,382,38,0,0,10,0
926,518,379,126,0,0,3,0
927,939,378,24,0,0,16,0
928,925,366,73,500,0.146,5,0
929,790,348,44,1000,0.044,8,0
930,327,330,37,0,0,9,0
931,666,315,29,0,0,11,0
932,209,310,39,1000,0.039,8,0
933,459,295,49,0,0,6,0
934,545,275,23,0,0,12,0
935,441,271,30,0,0,9,0
936,765,262,33,0,0,8,0
937,162,260,19,0,0,14,0
938,435,215,36,1000,0.036,6,0
939,610,195,24,0,0,8,0
940,187,138,13,0,0,11,0
941,158,50,4,0,0,12,0
942,657,1,0,0,0,12,0
943,596,0,0,500,0,19,0
944,943,1100,55,100,0.55,20,0
945,944,0,0,0,0,0,0
946,945,0,0,0,0,0,0
947,946,0,0,0,0,0,0
948,947,0,0,0,0,0,0
949,948,0,0,0,0,0,0
950,949,0,0,0,0,0,0
951,950,0,0,0,0,0,0
952,951,0,0,0,0,0,0
953,943,0,0,400,0,0,0
954,944,0,0,0,0,0,0
