id,games_played,games_started,games_appeared,putouts,assists,total_chances,errors,fielding_percentage,catchers_interference,passed_balls,stolen_bases_allowed,caught_stealing_by,double_plays_turned,range_factor,player_id,year,team_id
1,59,59,59,217,93,320,10,0.969,0,0,0,0,29,5.25,50094,2023,2.0
2,59,59,59,144,5,150,1,0.993,0,0,0,0,2,2.53,30173,2023,2.0
3,59,59,59,17,0,17,0,1.0,0,0,0,0,0,0.29,65,2023,2.0
4,59,59,59,90,160,258,8,0.969,0,0,0,0,25,4.24,50090,2023,2.0
5,58,58,58,91,2,94,1,0.989,0,0,0,0,1,1.6,75,2023,2.0
6,57,56,57,459,27,490,4,0.992,1,16,66,10,3,8.53,36474,2023,2.0
7,56,56,56,56,70,132,6,0.955,0,0,1,1,5,2.25,50088,2023,2.0
8,45,27,45,67,1,68,0,1.0,0,0,0,0,0,1.51,50091,2023,2.0
9,33,22,33,132,16,149,1,0.993,0,0,0,0,10,4.48,50093,2023,2.0
10,32,32,32,41,61,104,2,0.981,0,0,0,0,14,3.19,68,2023,2.0
11,27,19,27,40,1,41,0,1.0,0,0,0,0,1,1.52,50084,2023,2.0
12,26,17,26,129,7,140,4,0.971,0,0,0,0,7,5.23,36470,2023,2.0
13,26,0,26,2,2,4,0,1.0,0,0,2,2,0,0.15,72,2023,2.0
14,24,7,24,2,5,7,0,1.0,0,0,6,2,0,0.29,50076,2023,2.0
15,22,1,22,3,1,4,0,1.0,0,0,1,0,0,0.18,36464,2023,2.0
16,21,3,21,0,6,6,0,1.0,0,0,5,4,1,0.29,61,2023,2.0
17,20,0,20,2,4,7,1,0.857,0,0,10,2,0,0.3,50083,2023,2.0
18,19,0,19,1,3,4,0,1.0,0,0,6,1,0,0.21,73,2023,2.0
19,18,0,18,1,1,2,0,1.0,0,0,4,0,1,0.11,36463,2023,2.0
20,16,14,16,3,5,8,0,1.0,0,0,9,2,0,0.5,66,2023,2.0
21,16,0,16,1,0,1,0,1.0,0,0,2,0,0,0.06,36465,2023,2.0
22,15,15,15,8,5,14,1,0.929,0,0,10,2,0,0.87,36466,2023,2.0
23,15,15,15,5,4,9,0,1.0,0,0,11,2,0,0.6,58,2023,2.0
24,13,5,13,4,6,10,0,1.0,0,0,0,0,1,0.77,36462,2023,2.0
25,12,2,12,4,11,15,0,1.0,0,0,0,0,1,1.25,36472,2023,2.0
26,8,4,8,1,1,2,0,1.0,0,0,0,1,0,0.25,50077,2023,2.0
27,7,0,7,0,0,0,0,0.0,0,0,1,1,0,0.0,50079,2023,2.0
28,5,0,5,0,0,0,0,0.0,0,0,0,0,0,0.0,50087,2023,2.0
29,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,50089,2023,2.0
30,2,0,2,6,0,6,0,1.0,0,0,0,0,0,3.0,50078,2023,2.0
31,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,50092,2023,2.0
32,1,1,1,0,1,2,1,0.5,0,0,0,0,0,1.0,50085,2023,2.0
33,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,50080,2023,2.0
34,1,0,1,1,0,1,0,1.0,0,0,0,0,0,1.0,50086,2023,2.0
35,59,59,59,495,37,535,3,0.994,0,0,0,0,36,9.02,268,2023,6.0
36,59,59,59,77,164,243,2,0.992,0,0,0,0,26,4.08,282,2023,6.0
37,59,53,59,105,8,115,2,0.983,0,0,0,0,0,1.92,36555,2023,6.0
38,59,59,59,8,0,9,1,0.889,0,0,0,0,0,0.14,36547,2023,6.0
39,58,53,58,145,2,150,3,0.98,0,0,0,0,1,2.53,258,2023,6.0
40,58,57,58,38,74,123,11,0.911,0,0,0,0,7,1.93,283,2023,6.0
41,58,58,58,84,165,266,17,0.936,0,0,0,0,29,4.29,267,2023,6.0
42,51,45,51,78,5,84,1,0.988,0,0,0,0,0,1.63,284,2023,6.0
43,41,32,41,214,28,248,6,0.976,1,11,34,5,0,5.9,50156,2023,6.0
44,40,20,40,43,0,45,2,0.956,0,0,0,0,0,1.08,280,2023,6.0
45,32,19,32,100,9,110,1,0.991,0,7,15,4,1,3.41,36553,2023,6.0
46,29,1,29,1,4,5,0,1.0,0,0,6,0,2,0.17,252,2023,6.0
47,28,3,28,7,10,18,1,0.944,0,0,0,0,1,0.61,50162,2023,6.0
48,25,2,25,2,7,9,0,1.0,0,0,2,0,1,0.36,36552,2023,6.0
49,22,1,22,0,0,0,0,0.0,0,0,5,1,0,0.0,36549,2023,6.0
50,21,4,21,40,1,42,1,0.976,0,0,0,0,2,1.95,50159,2023,6.0
51,21,5,21,3,7,10,0,1.0,0,0,2,1,0,0.48,50166,2023,6.0
52,21,9,21,75,5,81,1,0.988,0,2,4,2,0,3.81,50167,2023,6.0
53,18,11,18,2,9,11,0,1.0,0,0,5,0,0,0.61,276,2023,6.0
54,18,7,18,2,6,8,0,1.0,0,0,2,3,0,0.44,277,2023,6.0
55,16,15,16,2,11,14,1,0.929,0,0,10,3,0,0.81,263,2023,6.0
56,15,15,15,2,11,13,0,1.0,0,0,10,4,0,0.87,36554,2023,6.0
57,12,0,12,2,2,4,0,1.0,0,0,3,0,0,0.33,281,2023,6.0
58,9,0,9,0,1,1,0,1.0,0,0,1,2,0,0.11,50157,2023,6.0
59,8,0,8,1,0,1,0,1.0,0,0,1,0,0,0.13,50160,2023,6.0
60,6,1,6,2,1,3,0,1.0,0,0,3,0,0,0.5,278,2023,6.0
61,6,0,6,1,0,1,0,1.0,0,0,0,0,0,0.17,50161,2023,6.0
62,5,2,5,0,0,0,0,0.0,0,0,2,1,0,0.0,271,2023,6.0
63,4,0,4,0,0,0,0,0.0,0,0,0,0,0,0.0,50158,2023,6.0
64,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0.0,50155,2023,6.0
65,3,0,3,0,0,0,0,0.0,0,0,1,0,0,0.0,266,2023,6.0
66,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,36546,2023,6.0
67,55,55,55,144,6,154,4,0.974,0,0,0,0,1,2.73,24143,2023,7.0
68,55,55,55,57,124,201,20,0.9,0,0,0,0,8,3.29,8828,2023,7.0
69,55,55,55,113,6,127,8,0.937,0,0,0,0,1,2.16,50179,2023,7.0
70,54,52,54,23,3,26,0,1.0,0,0,0,0,0,0.48,2857,2023,7.0
71,53,53,53,160,2,166,4,0.976,0,0,0,0,0,3.06,36564,2023,7.0
72,49,49,49,65,110,184,9,0.951,0,0,0,0,11,3.57,303,2023,7.0
73,44,42,44,261,24,288,3,0.99,0,6,85,11,0,6.48,36560,2023,7.0
74,35,30,35,137,21,167,9,0.946,0,0,0,0,6,4.51,36558,2023,7.0
75,31,24,31,62,40,109,7,0.936,0,0,0,0,7,3.29,291,2023,7.0
76,25,15,25,29,29,58,0,1.0,0,0,0,0,4,2.32,45482,2023,7.0
77,24,19,24,128,2,135,5,0.963,0,3,5,0,3,5.42,50178,2023,7.0
78,23,3,23,2,4,6,0,1.0,0,0,11,5,0,0.26,50174,2023,7.0
79,21,15,21,102,13,118,3,0.975,0,0,0,0,6,5.48,36567,2023,7.0
80,21,17,21,2,11,13,0,1.0,0,0,28,0,0,0.62,323,2023,7.0
81,21,15,21,12,22,39,5,0.872,0,0,0,0,1,1.62,36561,2023,7.0
82,20,13,20,4,8,12,0,1.0,0,0,14,4,0,0.6,50177,2023,7.0
83,19,3,19,0,11,11,0,1.0,0,0,7,2,1,0.58,298,2023,7.0
84,18,0,18,0,2,2,0,1.0,0,0,10,0,0,0.11,307,2023,7.0
85,18,9,18,3,12,17,2,0.882,0,0,13,2,0,0.83,295,2023,7.0
86,16,0,16,8,2,12,2,0.833,0,0,12,0,0,0.63,21784,2023,7.0
87,13,5,13,38,2,40,0,1.0,0,0,0,0,4,3.08,297,2023,7.0
88,13,1,13,1,2,3,0,1.0,0,0,1,2,0,0.23,50175,2023,7.0
89,11,10,11,53,6,60,1,0.983,0,2,17,3,1,5.36,36566,2023,7.0
90,10,8,10,0,4,5,1,0.8,0,0,3,1,0,0.4,288,2023,7.0
91,10,1,10,1,1,3,1,0.667,0,0,2,0,0,0.2,36556,2023,7.0
92,9,0,9,1,2,4,1,0.75,0,0,3,1,0,0.33,36565,2023,7.0
93,5,0,5,0,0,0,0,0.0,0,0,2,0,0,0.0,36563,2023,7.0
94,2,0,2,0,0,0,0,0.0,0,0,1,0,0,0.0,50172,2023,7.0
95,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,36559,2023,7.0
96,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,306,2023,7.0
97,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,311,2023,7.0
98,64,64,64,124,6,133,3,0.977,0,0,0,0,2,2.03,346,2023,8.0
99,64,64,64,102,156,265,7,0.974,0,0,0,0,39,4.03,339,2023,8.0
100,64,64,64,457,21,482,4,0.992,0,0,0,0,48,7.47,359,2023,8.0
101,60,55,60,110,3,113,0,1.0,0,0,0,0,0,1.88,12132,2023,8.0
102,60,56,60,68,108,183,7,0.962,0,0,0,0,22,2.93,29996,2023,8.0
103,59,59,59,24,54,88,10,0.886,0,0,0,0,5,1.32,50191,2023,8.0
104,49,48,49,183,15,199,1,0.995,0,2,15,3,0,4.04,36584,2023,8.0
105,48,43,48,365,35,402,2,0.995,0,5,41,10,4,8.33,10090,2023,8.0
106,48,46,48,105,0,105,0,1.0,0,0,0,0,0,2.19,353,2023,8.0
107,40,22,40,18,50,69,1,0.986,0,0,0,0,7,1.7,329,2023,8.0
108,39,24,39,9,0,9,0,1.0,0,0,0,0,3,0.23,36575,2023,8.0
109,35,21,35,31,2,33,0,1.0,0,0,0,0,0,0.94,335,2023,8.0
110,28,1,28,7,7,14,0,1.0,0,0,0,0,3,0.5,347,2023,8.0
111,25,0,25,0,3,3,0,1.0,0,0,3,1,1,0.12,50183,2023,8.0
112,20,4,20,28,1,29,0,1.0,0,0,0,0,0,1.45,50193,2023,8.0
113,19,0,19,0,3,3,0,1.0,0,0,5,2,0,0.16,26761,2023,8.0
114,18,3,18,10,0,10,0,1.0,0,0,0,0,0,0.56,50195,2023,8.0
115,17,2,17,2,3,6,1,0.833,0,0,5,1,0,0.29,33421,2023,8.0
116,17,17,17,4,7,11,0,1.0,0,0,13,3,3,0.65,343,2023,8.0
117,17,1,17,1,5,8,2,0.75,0,0,0,0,0,0.35,36586,2023,8.0
118,17,0,17,0,0,0,0,0.0,0,0,1,0,0,0.0,36581,2023,8.0
119,16,15,16,5,6,16,5,0.688,0,0,2,2,1,0.69,36576,2023,8.0
120,16,2,16,2,1,3,0,1.0,0,0,2,1,0,0.19,36569,2023,8.0
121,16,0,16,1,4,5,0,1.0,0,0,7,0,0,0.31,50190,2023,8.0
122,16,1,16,3,1,4,0,1.0,0,0,0,0,0,0.25,36573,2023,8.0
123,14,0,14,2,2,5,1,0.8,0,0,3,2,1,0.29,48138,2023,8.0
124,12,0,12,2,8,11,1,0.909,0,0,0,0,1,0.83,50192,2023,8.0
125,11,0,11,0,3,3,0,1.0,0,0,1,0,0,0.27,36568,2023,8.0
126,11,1,11,2,0,2,0,1.0,0,0,0,0,0,0.18,35987,2023,8.0
127,10,9,10,0,2,2,0,1.0,0,0,1,0,0,0.2,36579,2023,8.0
128,9,0,9,1,0,1,0,1.0,0,0,0,0,1,0.11,36577,2023,8.0
129,8,8,8,1,4,5,0,1.0,0,0,4,1,0,0.63,338,2023,8.0
130,7,7,7,0,3,5,2,0.6,0,0,1,0,0,0.43,36574,2023,8.0
131,6,0,6,0,0,0,0,0.0,0,0,2,0,0,0.0,50181,2023,8.0
132,6,1,6,0,1,1,0,1.0,0,0,0,0,0,0.17,36572,2023,8.0
133,3,2,3,0,0,0,0,0.0,0,0,6,0,0,0.0,48144,2023,8.0
134,3,0,3,0,0,1,1,0.0,0,0,0,0,0,0.0,36578,2023,8.0
135,47,44,47,37,45,92,10,0.891,0,0,0,0,4,1.74,36590,2023,9.0
136,47,42,47,91,20,116,5,0.957,0,0,0,0,4,2.36,13588,2023,9.0
137,46,42,46,303,10,318,5,0.984,0,0,0,0,20,6.8,50202,2023,9.0
138,45,39,45,58,115,188,15,0.92,0,0,0,0,15,3.84,11482,2023,9.0
139,43,38,43,69,86,164,9,0.945,0,0,0,0,16,3.6,36599,2023,9.0
140,41,36,41,87,4,94,3,0.968,0,0,0,0,1,2.22,50205,2023,9.0
141,40,32,40,66,6,73,1,0.986,0,0,0,0,1,1.8,50201,2023,9.0
142,38,35,38,157,16,185,12,0.935,0,22,47,6,2,4.55,36602,2023,9.0
143,31,24,31,44,0,44,0,1.0,0,0,0,0,0,1.42,36594,2023,9.0
144,29,22,29,41,27,75,7,0.907,0,0,0,0,2,2.34,371,2023,9.0
145,27,18,27,25,3,28,0,1.0,0,3,14,0,0,1.04,50200,2023,9.0
146,21,9,21,52,4,61,5,0.918,0,9,12,0,1,2.67,50208,2023,9.0
147,16,5,16,18,0,18,0,1.0,0,0,0,0,0,1.13,36591,2023,9.0
148,15,6,15,6,9,17,2,0.882,0,0,18,2,0,1.0,36587,2023,9.0
149,14,7,14,1,8,10,1,0.9,0,0,10,0,0,0.64,50203,2023,9.0
150,14,5,14,31,5,36,0,1.0,0,7,16,0,0,2.57,50196,2023,9.0
151,14,4,14,6,3,9,0,1.0,0,0,8,2,0,0.64,378,2023,9.0
152,13,7,13,5,8,16,3,0.812,0,0,7,1,0,1.0,36588,2023,9.0
153,13,10,13,4,3,7,0,1.0,0,0,15,0,0,0.54,36603,2023,9.0
154,12,5,12,13,0,14,1,0.929,0,0,0,0,0,1.08,36601,2023,9.0
155,12,2,12,2,3,5,0,1.0,0,0,11,0,0,0.42,374,2023,9.0
156,11,8,11,0,5,5,0,1.0,0,0,9,1,0,0.45,50198,2023,9.0
157,11,0,11,0,2,2,0,1.0,0,0,6,0,0,0.18,50209,2023,9.0
158,11,0,11,0,0,1,1,0.0,0,0,6,0,0,0.0,50206,2023,9.0
159,11,1,11,3,0,4,1,0.75,0,0,4,1,0,0.27,36595,2023,9.0
160,10,2,10,0,1,1,0,1.0,0,0,4,1,0,0.1,50204,2023,9.0
161,9,6,9,16,7,26,3,0.885,0,0,0,0,4,2.56,36589,2023,9.0
162,8,1,8,0,0,0,0,0.0,0,0,4,0,0,0.0,50207,2023,9.0
163,5,0,5,0,0,0,0,0.0,0,0,1,0,0,0.0,36597,2023,9.0
164,5,3,5,4,0,5,1,0.8,0,0,0,0,0,0.8,50199,2023,9.0
165,4,0,4,0,0,0,0,0.0,0,0,0,0,0,0.0,367,2023,9.0
166,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0.0,50212,2023,9.0
167,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,50211,2023,9.0
168,1,0,1,0,0,0,0,0.0,0,0,1,0,0,0.0,50197,2023,9.0
169,59,59,59,80,120,214,14,0.935,0,0,0,0,22,3.39,50233,2023,11.0
170,59,59,59,169,5,179,5,0.972,0,0,0,0,2,2.95,451,2023,11.0
171,59,59,59,49,101,157,7,0.955,0,0,0,0,12,2.54,36624,2023,11.0
172,57,57,57,500,40,545,5,0.991,0,12,63,14,5,9.47,50234,2023,11.0
173,56,56,56,161,8,177,8,0.955,0,1,9,0,6,3.02,50235,2023,11.0
174,56,56,56,56,94,160,10,0.938,0,0,3,0,14,2.68,36626,2023,11.0
175,53,52,53,342,18,361,1,0.997,0,0,0,0,24,6.79,36622,2023,11.0
176,50,38,50,14,12,29,3,0.897,0,0,0,0,3,0.52,465,2023,11.0
177,43,42,43,56,3,63,4,0.937,0,0,0,0,0,1.37,446,2023,11.0
178,42,35,42,61,6,69,2,0.971,0,0,2,0,1,1.6,32402,2023,11.0
179,33,0,33,4,12,18,2,0.889,0,0,7,2,0,0.48,433,2023,11.0
180,27,2,27,1,2,3,0,1.0,0,0,8,0,0,0.11,464,2023,11.0
181,25,3,25,3,14,17,0,1.0,0,0,8,2,1,0.68,50238,2023,11.0
182,25,4,25,17,0,18,1,0.944,0,0,0,0,0,0.68,436,2023,11.0
183,20,11,20,2,10,13,1,0.923,0,0,10,3,0,0.6,462,2023,11.0
184,19,10,19,15,1,19,3,0.842,0,0,0,0,0,0.84,50237,2023,11.0
185,19,11,19,0,4,7,3,0.571,0,0,8,3,0,0.21,36621,2023,11.0
186,16,15,16,3,10,14,1,0.929,0,0,9,3,0,0.81,36627,2023,11.0
187,15,5,15,4,3,7,0,1.0,0,0,0,0,1,0.47,50231,2023,11.0
188,15,0,15,1,0,1,0,1.0,0,0,0,0,0,0.07,50236,2023,11.0
189,13,3,13,5,0,5,0,1.0,0,0,0,0,0,0.38,50241,2023,11.0
190,11,0,11,0,0,0,0,0.0,0,0,0,0,0,0.0,50229,2023,11.0
191,9,1,9,1,1,2,0,1.0,0,0,1,1,0,0.22,453,2023,11.0
192,8,3,8,0,5,7,2,0.714,0,0,7,2,0,0.63,455,2023,11.0
193,7,1,7,0,2,2,0,1.0,0,0,2,0,0,0.29,50242,2023,11.0
194,7,2,7,0,1,1,0,1.0,0,0,2,0,0,0.14,50239,2023,11.0
195,5,0,5,0,0,0,0,0.0,0,0,0,0,0,0.0,50240,2023,11.0
196,3,0,3,0,0,0,0,0.0,0,0,2,0,0,0.0,50230,2023,11.0
197,3,0,3,0,1,1,0,1.0,0,0,0,0,0,0.33,50228,2023,11.0
198,2,2,2,0,0,0,0,0.0,0,0,2,0,0,0.0,50227,2023,11.0
199,1,0,1,0,0,0,0,0.0,0,0,1,0,0,0.0,36619,2023,11.0
200,44,44,44,118,2,120,0,1.0,0,0,0,0,0,2.73,31191,2023,806.0
201,44,44,44,34,72,115,9,0.922,0,0,0,0,9,2.41,36378,2023,806.0
202,44,44,44,241,39,282,2,0.993,0,0,0,0,28,6.36,31195,2023,806.0
203,40,32,40,114,17,136,5,0.963,0,1,9,2,6,3.28,27085,2023,806.0
204,40,38,40,229,24,260,7,0.973,1,11,62,14,0,6.33,31196,2023,806.0
205,38,33,38,46,82,139,11,0.921,0,0,0,0,20,3.37,27094,2023,806.0
206,35,29,35,52,1,55,2,0.964,0,0,0,0,0,1.51,61520,2023,806.0
207,35,33,35,74,3,80,3,0.962,0,0,0,0,0,2.2,61521,2023,806.0
208,31,18,31,42,47,92,3,0.967,0,0,0,0,10,2.87,61515,2023,806.0
209,30,20,30,13,0,14,1,0.929,0,0,0,0,0,0.43,7899,2023,806.0
210,22,21,22,33,50,85,2,0.976,0,0,0,0,11,3.77,61517,2023,806.0
211,21,15,21,32,1,34,1,0.971,0,0,0,0,1,1.57,31213,2023,806.0
212,20,4,20,21,1,22,0,1.0,0,3,2,0,0,1.1,48155,2023,806.0
213,19,0,19,1,0,1,0,1.0,0,0,1,1,0,0.05,9641,2023,806.0
214,19,13,19,3,7,10,0,1.0,0,0,9,0,1,0.53,61511,2023,806.0
215,18,5,18,9,0,9,0,1.0,0,0,0,0,0,0.5,48151,2023,806.0
216,15,3,15,1,2,3,0,1.0,0,0,7,2,0,0.2,27276,2023,806.0
217,15,9,15,20,10,31,1,0.968,0,0,0,0,0,2.0,61513,2023,806.0
218,13,9,13,2,4,7,1,0.857,0,0,11,2,0,0.46,48153,2023,806.0
219,13,2,13,5,2,8,1,0.875,0,0,2,2,0,0.54,48154,2023,806.0
220,13,5,13,0,1,1,0,1.0,0,0,4,1,1,0.08,31190,2023,806.0
221,13,1,13,1,2,3,0,1.0,0,0,1,1,0,0.23,61518,2023,806.0
222,12,0,12,1,5,6,0,1.0,0,0,5,2,0,0.5,48152,2023,806.0
223,11,0,11,0,0,0,0,0.0,0,0,1,0,0,0.0,31218,2023,806.0
224,11,8,11,2,4,7,1,0.857,0,0,19,2,0,0.55,31214,2023,806.0
225,10,1,10,1,0,1,0,1.0,0,0,1,0,0,0.1,31206,2023,806.0
226,9,1,9,0,0,1,1,0.0,0,0,3,3,0,0.0,61514,2023,806.0
227,8,7,8,4,0,4,0,1.0,0,0,6,1,0,0.5,31194,2023,806.0
228,6,1,6,1,0,1,0,1.0,0,0,3,0,0,0.17,48156,2023,806.0
229,4,0,4,0,0,1,1,0.0,0,0,0,0,0,0.0,61519,2023,806.0
230,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,31210,2023,806.0
231,46,43,46,55,104,184,25,0.864,0,0,2,0,12,3.46,633,2023,16.0
232,44,40,44,33,50,90,7,0.922,0,0,0,0,7,1.89,617,2023,16.0
233,44,38,44,114,2,118,2,0.983,0,0,0,0,1,2.64,638,2023,16.0
234,40,37,40,62,1,67,4,0.94,0,0,0,0,0,1.58,50318,2023,16.0
235,39,28,39,165,11,177,1,0.994,0,0,0,0,10,4.51,50298,2023,16.0
236,38,30,38,51,50,106,5,0.953,0,0,0,0,10,2.66,629,2023,16.0
237,35,21,35,164,22,194,8,0.959,3,25,61,13,0,5.31,50303,2023,16.0
238,33,25,33,12,13,30,5,0.833,0,0,15,0,0,0.76,36691,2023,16.0
239,33,14,33,25,20,50,5,0.9,0,0,0,0,3,1.36,50310,2023,16.0
240,30,15,30,49,2,52,1,0.981,0,0,0,0,0,1.7,50297,2023,16.0
241,23,0,23,0,2,2,0,1.0,0,0,15,1,0,0.09,50313,2023,16.0
242,22,19,22,28,1,29,0,1.0,0,0,0,0,1,1.32,623,2023,16.0
243,22,16,22,84,7,93,2,0.978,0,0,0,0,7,4.14,50304,2023,16.0
244,22,16,22,44,2,46,0,1.0,0,0,0,0,1,2.09,50323,2023,16.0
245,22,18,22,38,22,67,7,0.896,0,0,0,0,6,2.73,50319,2023,16.0
246,21,2,21,1,6,8,1,0.875,0,0,11,3,0,0.33,50315,2023,16.0
247,21,12,21,31,4,38,3,0.921,0,0,4,1,0,1.67,614,2023,16.0
248,21,3,21,7,3,10,0,1.0,0,0,11,5,0,0.48,50306,2023,16.0
249,21,4,21,3,9,15,3,0.8,0,0,12,2,1,0.57,50316,2023,16.0
250,20,15,20,22,1,25,2,0.92,0,0,0,0,0,1.15,50300,2023,16.0
251,19,0,19,0,1,2,1,0.5,0,0,7,2,0,0.05,36687,2023,16.0
252,19,1,19,0,6,9,3,0.667,0,0,14,1,0,0.32,50312,2023,16.0
253,18,0,18,2,1,4,1,0.75,0,0,5,2,0,0.17,50309,2023,16.0
254,17,14,17,3,15,19,1,0.947,0,0,29,7,0,1.06,50299,2023,16.0
255,17,12,17,53,6,62,3,0.952,1,12,35,2,1,3.47,50317,2023,16.0
256,16,15,16,77,8,89,4,0.955,0,2,57,6,0,5.31,50308,2023,16.0
257,15,4,15,0,2,2,0,1.0,0,0,7,2,0,0.13,36692,2023,16.0
258,13,4,13,1,6,12,5,0.583,0,0,0,0,0,0.54,36693,2023,16.0
259,13,6,13,1,4,6,1,0.833,0,0,13,2,0,0.38,50305,2023,16.0
260,12,3,12,7,2,11,2,0.818,0,0,0,0,1,0.75,50302,2023,16.0
261,10,1,10,3,5,15,7,0.533,0,0,4,0,0,0.8,50314,2023,16.0
262,9,3,9,6,0,6,0,1.0,0,0,0,0,0,0.67,36697,2023,16.0
263,9,5,9,9,1,11,1,0.909,0,0,0,0,1,1.11,36688,2023,16.0
264,9,0,9,0,1,2,1,0.5,0,0,1,0,0,0.11,50320,2023,16.0
265,8,3,8,4,0,4,0,1.0,0,0,0,0,0,0.5,50301,2023,16.0
266,6,6,6,8,0,8,0,1.0,0,0,0,0,0,1.33,50307,2023,16.0
267,5,2,5,0,0,0,0,0.0,0,0,0,0,0,0.0,50311,2023,16.0
268,4,0,4,0,0,0,0,0.0,0,0,3,0,0,0.0,50321,2023,16.0
269,35,29,35,38,56,101,7,0.931,0,0,0,0,11,2.69,36866,2023,29.0
270,6,0,6,3,0,3,0,1.0,0,0,0,0,0,0.5,1104,2023,29.0
271,12,0,12,1,0,1,0,1.0,0,0,3,0,0,0.08,50498,2023,29.0
272,45,43,45,87,2,91,2,0.978,0,0,0,0,0,1.98,8357,2023,29.0
273,19,0,19,0,2,2,0,1.0,0,0,3,0,0,0.11,8360,2023,29.0
274,21,3,21,1,3,4,0,1.0,0,0,18,1,0,0.19,50499,2023,29.0
275,20,10,20,52,9,61,0,1.0,0,4,17,1,0,3.05,36868,2023,29.0
276,22,7,22,5,4,11,2,0.818,0,0,3,4,1,0.41,36869,2023,29.0
277,54,54,54,378,69,458,11,0.976,1,7,70,19,1,8.28,1108,2023,29.0
278,55,55,55,85,140,229,4,0.983,0,0,0,0,25,4.09,1110,2023,29.0
279,13,1,13,0,1,1,0,1.0,0,0,7,1,0,0.08,1111,2023,29.0
280,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0.0,50500,2023,29.0
281,6,0,6,0,0,0,0,0.0,0,0,0,0,0,0.0,36870,2023,29.0
282,55,55,55,425,20,451,6,0.987,0,0,0,0,31,8.09,29987,2023,29.0
283,16,16,16,4,6,12,2,0.833,0,0,8,6,0,0.63,33203,2023,29.0
284,9,0,9,0,1,1,0,1.0,0,0,1,0,0,0.11,1114,2023,29.0
285,17,2,17,7,0,7,0,1.0,0,0,0,0,2,0.41,1117,2023,29.0
286,24,0,24,4,4,8,0,1.0,0,0,6,2,0,0.33,36872,2023,29.0
287,13,0,13,0,0,0,0,0.0,0,0,3,0,0,0.0,49002,2023,29.0
288,55,55,55,63,1,65,1,0.985,0,0,0,0,0,1.16,50501,2023,29.0
289,27,17,27,0,0,0,0,0.0,0,0,0,0,0,0.0,36873,2023,29.0
290,39,35,39,66,0,68,2,0.971,0,0,0,0,1,1.69,36874,2023,29.0
291,14,4,14,0,6,6,0,1.0,0,0,4,0,0,0.43,50502,2023,29.0
292,40,39,40,74,14,94,6,0.936,0,0,0,0,2,2.2,36875,2023,29.0
293,22,0,22,0,3,3,0,1.0,0,0,8,1,1,0.14,50503,2023,29.0
294,54,52,54,45,85,136,6,0.956,0,0,0,0,7,2.41,1136,2023,29.0
295,8,6,8,0,1,1,0,1.0,0,0,6,2,0,0.13,1137,2023,29.0
296,5,1,5,2,0,2,0,1.0,0,0,0,0,0,0.4,50504,2023,29.0
297,19,2,19,0,10,10,0,1.0,0,0,2,3,0,0.53,50505,2023,29.0
298,10,2,10,0,0,0,0,0.0,0,0,5,0,0,0.0,36876,2023,29.0
299,43,26,43,69,1,73,3,0.959,0,0,0,0,0,1.63,50506,2023,29.0
300,16,14,16,5,9,15,1,0.933,0,0,10,0,1,0.88,8392,2023,29.0
301,35,22,35,23,45,73,5,0.932,0,0,0,0,10,1.94,50507,2023,29.0
302,59,59,59,524,30,557,3,0.995,0,0,0,0,40,9.39,50545,2023,31.0
303,58,58,58,70,180,255,5,0.98,0,0,0,0,27,4.31,1210,2023,31.0
304,58,58,58,122,1,126,3,0.976,0,0,0,0,0,2.12,1184,2023,31.0
305,57,57,57,101,5,110,4,0.964,0,0,0,0,1,1.86,1196,2023,31.0
306,53,48,53,72,112,193,9,0.953,0,0,0,0,23,3.47,50548,2023,31.0
307,51,51,51,27,74,110,9,0.918,0,0,0,0,5,1.98,1188,2023,31.0
308,47,42,47,48,65,116,3,0.974,0,0,0,0,13,2.4,36886,2023,31.0
309,46,35,46,48,2,50,0,1.0,0,0,0,0,0,1.09,1189,2023,31.0
310,38,36,38,43,2,46,1,0.978,0,0,0,0,1,1.18,33648,2023,31.0
311,35,33,35,216,35,255,4,0.984,0,6,24,10,1,7.17,1207,2023,31.0
312,32,31,32,247,14,265,4,0.985,1,4,40,0,0,8.16,36893,2023,31.0
313,32,0,32,3,0,3,0,1.0,0,0,5,0,0,0.09,1213,2023,31.0
314,30,0,30,1,0,1,0,1.0,0,0,5,1,0,0.03,1208,2023,31.0
315,29,1,29,7,6,14,1,0.929,0,0,2,0,0,0.45,50537,2023,31.0
316,25,0,25,0,3,3,0,1.0,0,0,4,1,0,0.12,36889,2023,31.0
317,25,0,25,0,2,2,0,1.0,0,0,4,0,0,0.08,20422,2023,31.0
