rank,team,dsr,record,conference,sport,date
103,"Incarnate Word",".500","33-21-0",".611",softball,2026-05-09
104,"Murray State",".500","28-21-0",".571",softball,2026-05-09
105,"New Mexico State",".498","27-27-0",".500",softball,2026-05-09
106,"UNC Wilmington",".497","32-18-0",".640",softball,2026-05-09
107,"Syracuse",".497","18-26-0",".409",softball,2026-05-09
108,"Marist",".496","35-19-0",".648",softball,2026-05-09
109,"Fresno State",".495","23-24-0",".489",softball,2026-05-09
110,"Pittsburgh",".493","25-27-0",".481",softball,2026-05-09
111,"Maryland",".493","19-29-0",".396",softball,2026-05-09
112,"New Mexico",".493","27-26-0",".509",softball,2026-05-09
113,"Hawaii",".493","30-18-0",".625",softball,2026-05-09
114,"Campbell",".492","34-21-0",".618",softball,2026-05-09
115,"Georgia Southern",".492","24-29-0",".453",softball,2026-05-09
116,"San Diego State",".491","24-26-0",".480",softball,2026-05-09
117,"Northern Iowa",".491","29-24-0",".547",softball,2026-05-09
118,"Houston",".491","20-31-0",".392",softball,2026-05-09
119,"Central Michigan",".490","25-24-0",".510",softball,2026-05-09
120,"Austin Peay",".489","30-24-0",".556",softball,2026-05-09
121,"Minnesota",".486","16-36-0",".308",softball,2026-05-09
122,"Nicholls",".484","31-23-0",".574",softball,2026-05-09
123,"Eastern Kentucky",".482","27-25-1",".519",softball,2026-05-09
124,"Wofford",".482","34-17-0",".667",softball,2026-05-09
125,"Sam Houston State",".479","29-27-0",".518",softball,2026-05-09
126,"Sacramento State",".479","33-20-0",".623",softball,2026-05-09
127,"Creighton",".478","30-26-0",".536",softball,2026-05-09
128,"Long Beach State",".477","31-22-0",".585",softball,2026-05-09
129,"UC Santa Barbara",".476","29-25-0",".537",softball,2026-05-09
130,"Santa Clara",".475","26-23-0",".531",softball,2026-05-09
131,"Radford",".474","24-26-0",".480",softball,2026-05-09
132,"Tulsa",".474","20-33-0",".377",softball,2026-05-09
133,"Tarleton State",".474","36-20-0",".643",softball,2026-05-09
134,"Providence",".474","29-20-0",".592",softball,2026-05-09
135,"Eastern Illinois",".472","34-20-0",".630",softball,2026-05-09
136,"St. John's",".471","32-23-0",".582",softball,2026-05-09
137,"Illinois State",".469","29-21-0",".580",softball,2026-05-09
138,"Western Michigan",".469","28-24-0",".538",softball,2026-05-09
139,"FGCU",".469","21-33-0",".389",softball,2026-05-09
140,"North Dakota State",".468","27-23-0",".540",softball,2026-05-09
