rank,team,record,elo,delta,sport,date
97,"Oral Roberts","23-15",1396.45,"-1",baseball,2026-04-24
98,"Saint Mary's College","23-17",1394.47,"+9",baseball,2026-04-24
99,"Maryland","20-21",1394.15,"+9",baseball,2026-04-24
100,"San Diego State","23-18",1393.51,"+37",baseball,2026-04-24
101,"Indiana State","22-19",1391.87,"+32",baseball,2026-04-24
102,"Binghamton","21-14",1391.51,"",baseball,2026-04-24
103,"Hawaii","18-16",1390.43,"-13",baseball,2026-04-24
104,"Texas Tech","22-20",1388.52,"+8",baseball,2026-04-24
105,"The Citadel","19-21",1385.79,"+8",baseball,2026-04-24
106,"Rice","24-18",1385.24,"-22",baseball,2026-04-24
107,"Tulane","21-21",1385.00,"-6",baseball,2026-04-24
108,"North Florida","23-17",1384.15,"+13",baseball,2026-04-24
109,"Cal State Fullerton","19-20",1383.61,"-16",baseball,2026-04-24
110,"Xavier","19-23",1383.11,"-6",baseball,2026-04-24
111,"Georgia State","20-21",1382.16,"+12",baseball,2026-04-24
112,"Louisiana","23-17",1381.03,"-24",baseball,2026-04-24
113,"UC Irvine","17-21",1380.01,"-16",baseball,2026-04-24
114,"Ohio State","21-19",1379.69,"+34",baseball,2026-04-24
115,"Utah Tech","25-13",1379.35,"+19",baseball,2026-04-24
116,"Houston","18-21",1377.88,"-5",baseball,2026-04-24
117,"Winthrop","27-14",1377.54,"-28",baseball,2026-04-24
118,"Wichita State","23-18",1376.92,"-1",baseball,2026-04-24
119,"Memphis","15-24",1376.15,"+16",baseball,2026-04-24
120,"Old Dominion","20-20",1376.07,"-10",baseball,2026-04-24
121,"Northern Illinois","23-12",1372.95,"+20",baseball,2026-04-24
122,"Lindenwood","21-18",1372.55,"+22",baseball,2026-04-24
123,"Richmond","24-18",1370.88,"+27",baseball,2026-04-24
124,"Eastern Illinois","22-14",1368.36,"+18",baseball,2026-04-24
125,"Kennesaw State","18-19",1367.26,"-16",baseball,2026-04-24
126,"Minnesota","23-17",1366.13,"-10",baseball,2026-04-24
127,"Illinois","20-19",1362.91,"-33",baseball,2026-04-24
128,"Yale","23-11",1362.56,"+10",baseball,2026-04-24
129,"ULM","22-19",1360.99,"+28",baseball,2026-04-24
130,"UNCW","22-18",1360.09,"-5",baseball,2026-04-24
131,"Portland","22-16",1359.45,"-16",baseball,2026-04-24
132,"Sacramento State","19-23",1359.19,"+19",baseball,2026-04-24
133,"Cal Poly","21-18",1357.68,"-50",baseball,2026-04-24
134,"New Mexico","23-15-1",1351.28,"-4",baseball,2026-04-24
135,"Fairfield","19-15",1347.00,"+8",baseball,2026-04-24
136,"UC San Diego","16-20",1346.25,"-30",baseball,2026-04-24
137,"UNLV","23-17",1344.33,"-1",baseball,2026-04-24
138,"Radford","19-18",1344.13,"+21",baseball,2026-04-24
139,"Monmouth","23-16",1340.62,"+35",baseball,2026-04-24
140,"McNeese","20-19",1338.93,"+16",baseball,2026-04-24
141,"SIUE","22-19",1338.71,"+31",baseball,2026-04-24
142,"Abilene Christian","19-21",1336.76,"-16",baseball,2026-04-24
143,"Sam Houston State","18-23",1332.63,"+36",baseball,2026-04-24
144,"San Jose State","17-21",1328.92,"+16",baseball,2026-04-24
145,"Florida A&M","20-17",1328.02,"+22",baseball,2026-04-24
146,"Charlotte","19-21",1327.80,"-41",baseball,2026-04-24
147,"Wright State","18-19",1325.81,"+18",baseball,2026-04-24
148,"UTA","15-23",1325.27,"+10",baseball,2026-04-24
149,"Washington","17-23",1323.19,"+13",baseball,2026-04-24
150,"Brown","18-14",1323.16,"+34",baseball,2026-04-24
151,"FGCU","24-15",1320.62,"-12",baseball,2026-04-24
152,"Northwestern","16-21-1",1319.28,"+12",baseball,2026-04-24
153,"Nevada","19-16",1317.92,"-25",baseball,2026-04-24
154,"Central Arkansas","24-19",1317.34,"+28",baseball,2026-04-24
155,"Air Force","18-20",1316.09,"+14",baseball,2026-04-24
156,"Michigan State","14-24",1315.00,"-11",baseball,2026-04-24
157,"Navy","27-14",1314.94,"+13",baseball,2026-04-24
158,"Houston Christian","18-21",1314.14,"-12",baseball,2026-04-24
159,"FAU","19-21",1312.45,"-28",baseball,2026-04-24
160,"Missouri","20-22",1312.24,"-33",baseball,2026-04-24
161,"Marshall","18-21",1307.96,"-32",baseball,2026-04-24
162,"UTRGV","18-23",1307.12,"-38",baseball,2026-04-24
163,"Cal State Northridge","22-17",1306.05,"-14",baseball,2026-04-24
164,"George Mason","19-19",1304.69,"+4",baseball,2026-04-24
165,"Murray State","23-17",1303.43,"-25",baseball,2026-04-24
166,"VMI","26-14",1302.24,"-3",baseball,2026-04-24
167,"Northwestern State","23-18",1300.64,"-35",baseball,2026-04-24
168,"Rutgers","20-22",1300.02,"-50",baseball,2026-04-24
169,"North Alabama","20-20",1299.89,"+16",baseball,2026-04-24
170,"Incarnate Word","18-20",1298.91,"+3",baseball,2026-04-24
171,"Rider","22-13",1297.98,"-10",baseball,2026-04-24
172,"UC Davis","18-21",1297.62,"-20",baseball,2026-04-24
173,"Davidson","20-18",1296.03,"-20",baseball,2026-04-24
174,"Niagara","17-15-1",1295.98,"+24",baseball,2026-04-24
175,"Middle Tennessee","21-20",1294.57,"-21",baseball,2026-04-24
176,"Maine","12-24",1293.65,"+48",baseball,2026-04-24
177,"New Mexico State","15-22",1288.51,"+18",baseball,2026-04-24
178,"Texas A&M-Corpus Christi","18-22",1288.47,"-7",baseball,2026-04-24
179,"Morehead State","19-21",1285.94,"+42",baseball,2026-04-24
180,"Southern Indiana","23-18",1285.42,"+24",baseball,2026-04-24
181,"Stony Brook","14-23",1284.88,"-6",baseball,2026-04-24
182,"Charleston Southern","22-17",1283.71,"-35",baseball,2026-04-24
183,"Elon","17-23",1283.13,"+23",baseball,2026-04-24
184,"South Carolina Upstate","19-23",1281.12,"-29",baseball,2026-04-24
185,"New Orleans","17-26",1277.37,"-4",baseball,2026-04-24
186,"Austin Peay","20-21",1275.20,"-20",baseball,2026-04-24
187,"UIC","16-23-1",1274.65,"-4",baseball,2026-04-24
188,"Penn State","12-26",1273.90,"+1",baseball,2026-04-24
189,"Army","22-17",1271.03,"-12",baseball,2026-04-24
190,"FIU","13-27",1269.23,"-10",baseball,2026-04-24
191,"Stephen F. Austin","21-20",1267.51,"-5",baseball,2026-04-24
192,"San Diego","15-23",1265.41,"+1",baseball,2026-04-24
193,"George Washington","17-22",1265.27,"+27",baseball,2026-04-24
194,"Evansville","15-23",1264.40,"",baseball,2026-04-24
195,"Hofstra","14-21",1263.46,"+7",baseball,2026-04-24
196,"Seattle University","12-21",1261.73,"+17",baseball,2026-04-24
197,"VCU","22-19",1261.52,"-19",baseball,2026-04-24
198,"William & Mary","16-23",1261.45,"+1",baseball,2026-04-24
199,"Western Michigan","20-17",1261.18,"-9",baseball,2026-04-24
200,"Illinois State","23-17",1260.97,"+3",baseball,2026-04-24
201,"Wagner","18-19",1260.11,"+26",baseball,2026-04-24
202,"Longwood","24-17",1259.94,"+8",baseball,2026-04-24
203,"Dayton","22-19",1259.85,"-12",baseball,2026-04-24
204,"San Francisco","19-19",1258.06,"-12",baseball,2026-04-24
205,"Stetson","15-25",1257.23,"-29",baseball,2026-04-24
206,"Grand Canyon","14-26",1254.84,"-10",baseball,2026-04-24
207,"Georgia Southern","12-28",1253.11,"-19",baseball,2026-04-24
208,"Columbia","11-21",1246.15,"-8",baseball,2026-04-24
209,"Alabama State","20-19",1245.07,"",baseball,2026-04-24
210,"Bucknell","21-19",1244.61,"-5",baseball,2026-04-24
211,"Bryant","19-18",1244.26,"-24",baseball,2026-04-24
212,"Pepperdine","14-26",1244.17,"+39",baseball,2026-04-24
213,"Southern","15-20",1242.37,"+12",baseball,2026-04-24
214,"Fordham","19-23",1242.08,"+2",baseball,2026-04-24
215,"Lipscomb","17-20",1241.08,"-7",baseball,2026-04-24
216,"UMBC","19-16",1239.67,"+26",baseball,2026-04-24
217,"Tennessee-Martin","19-20",1238.04,"+29",baseball,2026-04-24
218,"Pacific","15-23",1235.15,"+8",baseball,2026-04-24
219,"Rhode Island","15-24",1232.70,"-18",baseball,2026-04-24
220,"Georgetown","22-19",1231.80,"-9",baseball,2026-04-24
221,"Butler","15-25",1227.74,"+13",baseball,2026-04-24
222,"Penn","15-19",1227.51,"-10",baseball,2026-04-24
223,"James Madison","16-23",1226.94,"-26",baseball,2026-04-24
224,"UC Riverside","13-26",1226.33,"-2",baseball,2026-04-24
225,"Omaha","13-19",1226.28,"-6",baseball,2026-04-24
226,"Quinnipiac","18-21",1226.16,"+5",baseball,2026-04-24
227,"UNCG","15-26",1223.34,"-10",baseball,2026-04-24
228,"Milwaukee","13-24",1221.91,"+19",baseball,2026-04-24
229,"Marist","15-23",1220.96,"+11",baseball,2026-04-24
230,"Cal State Bakersfield","15-24",1217.66,"-12",baseball,2026-04-24
231,"Bellarmine","17-24",1217.43,"-1",baseball,2026-04-24
232,"Southern Illinois","16-23",1217.37,"-17",baseball,2026-04-24
233,"Ball State","18-21",1213.26,"-26",baseball,2026-04-24
234,"Western Illinois","11-27",1210.08,"+28",baseball,2026-04-24
235,"Queens","12-28",1208.36,"+13",baseball,2026-04-24
236,"Saint Bonaventure","12-25-1",1201.89,"-1",baseball,2026-04-24
237,"Central Michigan","17-21",1199.69,"-8",baseball,2026-04-24
238,"Tennessee Tech","14-28",1199.23,"-10",baseball,2026-04-24
239,"Belmont","14-27",1193.66,"-16",baseball,2026-04-24
240,"Princeton","12-23",1191.35,"+1",baseball,2026-04-24
241,"Gardner-Webb","18-23",1186.24,"-9",baseball,2026-04-24
242,"Northern Kentucky","18-22",1184.65,"+10",baseball,2026-04-24
243,"UMass-Lowell","16-20",1182.13,"+33",baseball,2026-04-24
244,"Bowling Green","14-23",1181.68,"-6",baseball,2026-04-24
245,"Long Island","17-17",1177.92,"-2",baseball,2026-04-24
246,"West Georgia","11-30",1175.07,"+9",baseball,2026-04-24
247,"Saint Louis","16-25",1173.84,"-14",baseball,2026-04-24
248,"Dartmouth","11-19",1173.23,"+23",baseball,2026-04-24
249,"Toledo","18-24",1172.36,"-35",baseball,2026-04-24
250,"Fairleigh Dickinson","23-15",1171.46,"+6",baseball,2026-04-24
251,"Holy Cross","16-24",1170.63,"-14",baseball,2026-04-24
252,"Arkansas-Pine Bluff","18-24",1170.57,"-2",baseball,2026-04-24
253,"Iona","14-19",1169.84,"+5",baseball,2026-04-24
254,"Santa Clara","14-24",1168.82,"-18",baseball,2026-04-24
255,"Texas Southern","17-14",1167.98,"+2",baseball,2026-04-24
256,"North Carolina A&T","11-28",1166.66,"+23",baseball,2026-04-24
257,"Sacred Heart","12-23",1166.58,"-13",baseball,2026-04-24
258,"Fresno State","12-25-1",1164.43,"-9",baseball,2026-04-24
259,"Stonehill","15-20",1161.62,"+21",baseball,2026-04-24
260,"Harvard","8-22",1161.32,"+1",baseball,2026-04-24
261,"Towson","15-23",1159.32,"-8",baseball,2026-04-24
262,"Loyola-Marymount","12-30",1156.52,"-2",baseball,2026-04-24
263,"Long Beach State","12-28",1149.32,"-24",baseball,2026-04-24
264,"South Dakota State","11-24",1147.29,"+4",baseball,2026-04-24
265,"Jackson State","14-22",1145.49,"+5",baseball,2026-04-24
266,"Seton Hall","11-21",1142.88,"-21",baseball,2026-04-24
267,"Mount Saint Mary's","17-20",1142.58,"-8",baseball,2026-04-24
268,"NJIT","13-22",1142.55,"-3",baseball,2026-04-24
269,"Presbyterian College","9-33",1139.26,"+15",baseball,2026-04-24
270,"Delaware","12-29",1138.52,"-1",baseball,2026-04-24
271,"UMass","12-21",1135.24,"-17",baseball,2026-04-24
272,"Merrimack","15-22",1132.25,"-5",baseball,2026-04-24
273,"Canisius","12-21",1131.32,"+18",baseball,2026-04-24
274,"Akron","16-24",1130.30,"-10",baseball,2026-04-24
275,"Siena","13-23",1130.28,"+6",baseball,2026-04-24
276,"La Salle","18-24",1128.49,"+6",baseball,2026-04-24
277,"Le Moyne","12-20",1126.55,"-2",baseball,2026-04-24
278,"Grambling State","14-24",1126.53,"-4",baseball,2026-04-24
279,"Cornell","8-23",1126.01,"+14",baseball,2026-04-24
280,"Albany","10-23",1123.28,"-7",baseball,2026-04-24
281,"Northern Colorado","10-30",1122.24,"+2",baseball,2026-04-24
282,"Lehigh","12-26",1118.32,"+3",baseball,2026-04-24
283,"Villanova","12-23",1115.93,"-11",baseball,2026-04-24
284,"Utah Valley","12-24",1113.01,"-21",baseball,2026-04-24
285,"UNC Asheville","16-25",1111.09,"-19",baseball,2026-04-24
286,"North Dakota State","6-24",1109.25,"-8",baseball,2026-04-24
287,"Mercyhurst","13-21",1105.44,"+1",baseball,2026-04-24
288,"Manhattan","14-23",1103.42,"-11",baseball,2026-04-24
289,"Eastern Michigan","11-26",1093.57,"-2",baseball,2026-04-24
290,"Central Connecticut","13-18",1080.47,"-1",baseball,2026-04-24
291,"Ohio","8-32",1076.57,"+1",baseball,2026-04-24
292,"Oakland","9-26",1073.40,"-2",baseball,2026-04-24
293,"Mississippi Valley State","11-24",1070.56,"+2",baseball,2026-04-24
294,"Norfolk State","14-22",1070.47,"",baseball,2026-04-24
295,"Youngstown State","9-32",1070.27,"+4",baseball,2026-04-24
296,"Lafayette","9-29",1050.83,"+2",baseball,2026-04-24
297,"Saint Thomas","7-28",1050.20,"-11",baseball,2026-04-24
298,"Eastern Kentucky","9-31",1039.71,"-2",baseball,2026-04-24
299,"Valparaiso","9-27",1034.56,"-2",baseball,2026-04-24
300,"Bradley","8-33",1016.30,"",baseball,2026-04-24
301,"New Haven","5-26",959.32,"",baseball,2026-04-24
302,"Coppin State","7-27",953.06,"",baseball,2026-04-24
303,"Prairie View A&M","5-30",937.89,"",baseball,2026-04-24
304,"Maryland Eastern Shore","7-28",917.68,"",baseball,2026-04-24
305,"Saint Peter's","4-34",884.05,"",baseball,2026-04-24
306,"Alcorn State","3-33",876.76,"",baseball,2026-04-24
307,"Alabama A&M","5-34",868.56,"",baseball,2026-04-24
308,"Delaware State","3-34",814.73,"",baseball,2026-04-24
