rank,team,record,elo,delta,sport,date
103,Creighton,32-27,1567.33,9.34,softball,2026-05-12
104,Providence,29-20,1566.12,-7.5,softball,2026-05-12
105,Tarleton St.,38-23,1563.14,11.67,softball,2026-05-12
106,Southern U.,28-15,1563.03,19.39,softball,2026-05-12
107,USC Upstate,36-21,1562.73,29.5,softball,2026-05-12
108,UNI,29-24,1562.6,-1.9,softball,2026-05-12
109,Hawaii,30-20,1562.28,14.73,softball,2026-05-12
110,Texas Southern,27-12,1560.59,10.43,softball,2026-05-12
111,Marist,37-19,1558.61,18.87,softball,2026-05-12
112,Army West Point,33-25,1555.61,-16.7,softball,2026-05-12
113,New Mexico St.,27-27,1551.28,-18.43,softball,2026-05-12
114,Wofford,35-19,1550.18,14.35,softball,2026-05-12
115,Fresno St.,23-24,1550.15,-11.74,softball,2026-05-12
116,Samford,28-31,1548.86,-10.43,softball,2026-05-12
117,UC Santa Barbara,31-26,1547.75,-8.93,softball,2026-05-12
118,Austin Peay,30-24,1545.75,-8.32,softball,2026-05-12
119,Ga. Southern,24-29,1544.46,-0.49,softball,2026-05-12
120,San Diego St.,24-26,1541.9,-21.29,softball,2026-05-12
121,North Texas,28-28,1541.23,-11.54,softball,2026-05-12
122,Florida A&M,31-20,1538.93,-16.44,softball,2026-05-12
123,Sacramento St.,33-20,1538.66,-10.2,softball,2026-05-12
124,SFA,30-26,1537.38,8.06,softball,2026-05-12
125,North Dakota St.,27-23,1534.51,20.83,softball,2026-05-12
126,Long Beach St.,31-23,1534.16,-0.37,softball,2026-05-12
127,Central Mich.,25-24,1533.21,-7.84,softball,2026-05-12
128,Sam Houston,29-27,1532.84,-5.6,softball,2026-05-12
129,Coastal Carolina,26-31,1532.8,-13.45,softball,2026-05-12
130,Western Mich.,29-26,1532.51,-4.62,softball,2026-05-12
131,Fordham,27-26,1529.38,11.79,softball,2026-05-12
132,Hofstra,31-23,1528.3,-2.32,softball,2026-05-12
133,Prairie View,27-19,1521.74,0.24,softball,2026-05-12
134,Illinois St.,29-22,1520.89,-3.21,softball,2026-05-12
135,Radford,24-27,1519.55,-12.37,softball,2026-05-12
136,Boise St.,25-30,1519.13,-8.88,softball,2026-05-12
137,Maryland,19-29,1515.77,12.51,softball,2026-05-12
138,St. John's (NY),32-23,1515.36,-26.98,softball,2026-05-12
139,Howard,28-17,1514.55,-5.64,softball,2026-05-12
140,Utah Valley,31-23,1513.14,-1.84,softball,2026-05-12
141,NIU,25-18,1513.05,1.98,softball,2026-05-12
142,Western Caro.,34-24,1511.48,-15.23,softball,2026-05-12
143,Colorado St.,23-28,1510.88,-8.01,softball,2026-05-12
144,Santa Clara,26-25,1507.08,1.22,softball,2026-05-12
145,BYU,18-33,1506.72,-16.08,softball,2026-05-12
146,Georgia St.,25-31,1504.21,-21.2,softball,2026-05-12
147,UT Martin,33-21,1503.83,-5.94,softball,2026-05-12
148,Eastern Ky.,27-25,1501.54,7.41,softball,2026-05-12
149,Pittsburgh,25-27,1500.4,-8.07,softball,2026-05-12
150,Loyola Chicago,28-24,1499.32,10.39,softball,2026-05-12
151,Winthrop,30-23,1498.79,3.35,softball,2026-05-12
152,Colgate,29-26,1498.03,-14.35,softball,2026-05-12
153,Butler,25-21,1495.91,22.62,softball,2026-05-12
154,Middle Tenn.,21-30,1492.24,-12.32,softball,2026-05-12
155,Tulsa,20-33,1490.47,-25.82,softball,2026-05-12
156,Columbia,22-23,1488.99,-11.66,softball,2026-05-12
157,Oregon St.,21-32,1488.59,-8.15,softball,2026-05-12
158,Houston,20-31,1485.21,-21.96,softball,2026-05-12
159,Lindenwood,32-24,1484.46,-7.08,softball,2026-05-12
160,Brown,21-24,1484.18,-8.65,softball,2026-05-12
161,Col. of Charleston,30-28,1484.0,1.59,softball,2026-05-12
162,UAB,21-33,1480.29,-9.94,softball,2026-05-12
163,Harvard,21-23,1480.26,-17.79,softball,2026-05-12
164,Chattanooga,25-29,1479.14,-22.82,softball,2026-05-12
165,UT Arlington,24-23,1478.37,1.17,softball,2026-05-12
166,Syracuse,18-26,1476.87,-22.47,softball,2026-05-12
167,Gardner-Webb,32-25,1476.61,2.02,softball,2026-05-12
168,Ball St.,23-25,1476.01,10.54,softball,2026-05-12
169,Missouri St.,22-28,1473.41,2.72,softball,2026-05-12
170,Northwestern St.,24-29,1472.82,-14.8,softball,2026-05-12
171,Robert Morris,29-18,1472.45,-3.45,softball,2026-05-12
172,FGCU,21-33,1471.17,-15.15,softball,2026-05-12
173,Saint Joseph's,26-25,1467.12,-17.9,softball,2026-05-12
174,Youngstown St.,31-20,1464.4,-15.4,softball,2026-05-12
175,Dayton,26-24,1463.49,3.23,softball,2026-05-12
176,UTSA,24-33,1463.48,-20.23,softball,2026-05-12
177,UMBC,10-8,1462.23,-4.55,softball,2026-05-12
178,Lehigh,25-28,1460.06,-8.01,softball,2026-05-12
179,UC Davis,29-25,1458.05,-13.94,softball,2026-05-12
180,George Washington,23-22,1453.49,-27.62,softball,2026-05-12
181,Iona,27-26,1453.23,-5.73,softball,2026-05-12
182,California,15-37,1453.12,-9.75,softball,2026-05-12
183,South Dakota St.,25-34,1452.78,-4.88,softball,2026-05-12
184,Fairfield,27-24,1452.02,-12.15,softball,2026-05-12
185,Minnesota,16-36,1449.85,-28.65,softball,2026-05-12
186,UAlbany,25-20,1449.48,-12.09,softball,2026-05-12
187,Binghamton,20-25,1448.31,1.07,softball,2026-05-12
188,Northern Colo.,24-27,1445.64,-6.8,softball,2026-05-12
189,Saint Louis,23-28,1444.99,-11.36,softball,2026-05-12
190,North Dakota,25-24,1443.42,-11.62,softball,2026-05-12
191,SIUE,29-29,1438.4,-10.14,softball,2026-05-12
192,Bryant,21-23,1438.23,6.63,softball,2026-05-12
193,Southern Utah,21-30,1435.06,-14.78,softball,2026-05-12
194,Seattle U,19-32,1432.93,-36.45,softball,2026-05-12
195,Rider,25-24,1432.11,-7.3,softball,2026-05-12
196,UC San Diego,23-28,1432.09,-2.11,softball,2026-05-12
197,Central Conn. St.,28-19,1432.03,-12.6,softball,2026-05-12
198,Quinnipiac,24-21,1431.91,8.13,softball,2026-05-12
199,San Diego,21-30,1431.07,-12.25,softball,2026-05-12
200,George Mason,26-25,1431.04,-7.07,softball,2026-05-12
201,UMass Lowell,27-27,1430.71,-15.22,softball,2026-05-12
202,South Dakota,19-34,1430.49,-11.52,softball,2026-05-12
203,Boston College,13-38,1427.94,-25.81,softball,2026-05-12
