rank,team,dsr,record,conference,sport,date
100,"Maryland",".515","27-29-0",".482",baseball,2026-05-24
101,"College of Charleston",".515","28-28-0",".500",baseball,2026-05-24
102,"St. John's",".514","32-24-0",".571",baseball,2026-05-24
103,"UC San Diego",".514","27-27-0",".500",baseball,2026-05-24
104,"UC Irvine",".514","25-27-0",".481",baseball,2026-05-24
105,"South Carolina",".513","22-35-0",".386",baseball,2026-05-24
106,"Kennesaw State",".513","25-28-0",".472",baseball,2026-05-24
107,"VCU",".512","36-23-0",".610",baseball,2026-05-24
108,"Hawaii",".511","24-23-0",".540",baseball,2026-05-24
109,"Appalachian State",".511","30-24-0",".556",baseball,2026-05-24
110,"Creighton",".511","31-25-0",".554",baseball,2026-05-24
111,"Old Dominion",".510","29-26-0",".527",baseball,2026-05-24
112,"Arizona",".510","19-34-0",".358",baseball,2026-05-24
113,"Little Rock",".508","35-26-0",".574",baseball,2026-05-24
114,"Texas Tech",".508","27-28-0",".491",baseball,2026-05-24
115,"Memphis",".507","24-34-0",".414",baseball,2026-05-24
116,"Indiana",".506","23-31-0",".426",baseball,2026-05-24
117,"Arkansas State",".506","29-24-0",".547",baseball,2026-05-24
118,"Sacramento State",".505","29-32-0",".475",baseball,2026-05-24
119,"Saint Joseph's",".505","36-19-0",".643",baseball,2026-05-24
120,"Georgia State",".504","27-30-0",".474",baseball,2026-05-24
121,"Missouri",".501","24-31-0",".436",baseball,2026-05-24
122,"Wichita State",".500","30-29-0",".517",baseball,2026-05-24
123,"Saint Mary's (CA)",".497","34-25-0",".576",baseball,2026-05-24
124,"Eastern Illinois",".497","33-20-0",".623",baseball,2026-05-24
125,"SIUE",".494","33-24-0",".579",baseball,2026-05-24
126,"UC Davis",".494","26-28-0",".481",baseball,2026-05-24
127,"Cal State Fullerton",".494","24-32-0",".429",baseball,2026-05-24
128,"McNeese",".494","29-26-0",".544",baseball,2026-05-24
129,"Oral Roberts",".494","35-24-0",".593",baseball,2026-05-24
130,"UNC Wilmington",".494","30-28-0",".517",baseball,2026-05-24
131,"San Diego State",".494","35-23-0",".603",baseball,2026-05-24
132,"George Mason",".493","30-26-0",".536",baseball,2026-05-24
133,"FGCU",".493","36-22-0",".621",baseball,2026-05-24
134,"Winthrop",".493","33-24-0",".579",baseball,2026-05-24
135,"Richmond",".492","33-24-0",".579",baseball,2026-05-24
136,"Murray State",".491","32-27-0",".550",baseball,2026-05-24
137,"Utah Tech",".491","33-23-0",".593",baseball,2026-05-24
138,"Grand Canyon",".491","21-30-0",".412",baseball,2026-05-24
139,"Charleston Southern",".490","30-23-0",".566",baseball,2026-05-24
140,"Morehead State",".489","31-24-0",".564",baseball,2026-05-24
141,"Binghamton",".488","31-20-0",".608",baseball,2026-05-24
142,"UL Monroe",".487","27-28-0",".491",baseball,2026-05-24
143,"San Jose State",".487","24-27-0",".471",baseball,2026-05-24
144,"Penn State",".487","16-35-0",".314",baseball,2026-05-24
145,"Santa Clara",".487","25-29-0",".463",baseball,2026-05-24
146,"Air Force",".485","27-28-0",".491",baseball,2026-05-24
147,"UT Arlington",".485","19-32-0",".373",baseball,2026-05-24
148,"Sam Houston State",".484","25-33-0",".431",baseball,2026-05-24
149,"Lipscomb",".483","29-24-0",".547",baseball,2026-05-24
150,"UNC Greensboro",".483","23-33-0",".411",baseball,2026-05-24
151,"Rutgers",".482","26-30-0",".464",baseball,2026-05-24
152,"Radford",".481","25-26-0",".490",baseball,2026-05-24
153,"Western Michigan",".481","27-25-0",".519",baseball,2026-05-24
154,"Tulane",".480","25-31-0",".446",baseball,2026-05-24
155,"Indiana State",".480","30-27-0",".526",baseball,2026-05-24
156,"Jacksonville",".479","30-25-0",".545",baseball,2026-05-24
157,"Cal State Northridge",".478","25-28-0",".472",baseball,2026-05-24
158,"UNLV",".478","30-25-0",".545",baseball,2026-05-24
159,"Abilene Christian",".478","26-31-0",".456",baseball,2026-05-24
160,"Toledo",".477","32-29-0",".525",baseball,2026-05-24
161,"Stetson",".476","23-32-0",".418",baseball,2026-05-24
162,"Georgia Southern",".473","16-40-0",".286",baseball,2026-05-24
163,"Northwestern",".473","21-30-1",".413",baseball,2026-05-24
164,"New Orleans",".472","24-30-0",".444",baseball,2026-05-24
165,"North Florida",".472","30-24-0",".556",baseball,2026-05-24
166,"Rhode Island",".470","26-30-0",".464",baseball,2026-05-24
167,"Gardner-Webb",".469","25-30-0",".455",baseball,2026-05-24
168,"Illinois-Chicago",".469","26-27-1",".491",baseball,2026-05-24
169,"Portland",".468","27-25-0",".519",baseball,2026-05-24
170,"Rider",".468","33-18-0",".647",baseball,2026-05-24
171,"North Alabama",".467","31-28-0",".525",baseball,2026-05-24
172,"Wright State",".467","27-28-0",".491",baseball,2026-05-24
173,"Longwood",".466","33-26-0",".559",baseball,2026-05-24
174,"New Mexico",".466","28-24-1",".546",baseball,2026-05-24
175,"Dayton",".466","31-23-0",".574",baseball,2026-05-24
176,"James Madison",".466","21-32-0",".396",baseball,2026-05-24
177,"Illinois State",".466","33-24-0",".579",baseball,2026-05-24
178,"San Francisco",".464","28-30-0",".483",baseball,2026-05-24
179,"Alabama State",".463","33-21-0",".611",baseball,2026-05-24
180,"Marshall",".463","23-32-0",".418",baseball,2026-05-24
181,"Bethune-Cookman",".463","38-20-0",".655",baseball,2026-05-24
182,"Houston Christian",".463","24-29-0",".453",baseball,2026-05-24
183,"Nicholls",".463","20-26-0",".458",baseball,2026-05-24
184,"Fairfield",".462","31-23-0",".574",baseball,2026-05-24
185,"Lindenwood",".462","29-28-0",".517",baseball,2026-05-24
186,"Southern Illinois",".461","27-31-0",".466",baseball,2026-05-24
187,"Northwestern State",".461","26-26-0",".500",baseball,2026-05-24
188,"Nevada",".460","22-27-0",".471",baseball,2026-05-24
189,"Monmouth",".459","30-23-0",".566",baseball,2026-05-24
190,"Yale",".456","30-13-1",".693",baseball,2026-05-24
191,"Central Arkansas",".454","31-26-0",".544",baseball,2026-05-24
192,"Ball State",".453","23-30-0",".455",baseball,2026-05-24
193,"Texas A&M-Corpus Christi",".453","23-27-0",".460",baseball,2026-05-24
194,"Maine",".453","23-32-0",".429",baseball,2026-05-24
195,"Columbia",".451","16-25-1",".393",baseball,2026-05-24
196,"VMI",".451","28-27-0",".509",baseball,2026-05-24
197,"Hofstra",".450","22-29-0",".431",baseball,2026-05-24
198,"Long Beach State",".449","17-35-0",".327",baseball,2026-05-24
199,"Bucknell",".449","27-24-0",".529",baseball,2026-05-24
200,"Army",".449","28-20-0",".583",baseball,2026-05-24
201,"Stony Brook",".448","21-30-0",".412",baseball,2026-05-24
202,"Austin Peay",".448","24-31-0",".436",baseball,2026-05-24
203,"Stephen F. Austin",".447","28-27-0",".518",baseball,2026-05-24
204,"Evansville",".447","21-33-0",".389",baseball,2026-05-24
205,"Florida International",".446","19-35-0",".352",baseball,2026-05-24
206,"Belmont",".445","21-34-0",".382",baseball,2026-05-24
207,"Penn",".445","20-22-0",".476",baseball,2026-05-24
208,"Incarnate Word",".444","19-29-0",".396",baseball,2026-05-24
209,"Florida A&M",".444","30-22-0",".577",baseball,2026-05-24
210,"Davidson",".443","25-28-0",".472",baseball,2026-05-24
211,"Middle Tennessee",".443","26-31-0",".456",baseball,2026-05-24
212,"San Diego",".442","20-30-1",".402",baseball,2026-05-24
213,"Delaware",".440","19-35-0",".352",baseball,2026-05-24
214,"Tennessee Tech",".440","18-37-0",".327",baseball,2026-05-24
215,"Bryant",".439","27-25-0",".519",baseball,2026-05-24
216,"New Mexico State",".439","18-34-0",".370",baseball,2026-05-24
217,"Elon",".438","20-33-0",".377",baseball,2026-05-24
218,"Southern Indiana",".438","29-29-0",".500",baseball,2026-05-24
219,"CSU Bakersfield",".437","21-32-0",".418",baseball,2026-05-24
220,"William & Mary",".436","21-32-0",".396",baseball,2026-05-24
221,"Holy Cross",".436","25-28-0",".472",baseball,2026-05-24
222,"Eastern Michigan",".435","19-34-0",".358",baseball,2026-05-24
223,"Niagara",".434","27-21-1",".561",baseball,2026-05-24
224,"Omaha",".434","21-26-0",".447",baseball,2026-05-24
225,"Navy",".433","30-19-0",".612",baseball,2026-05-24
226,"Pepperdine",".432","21-33-0",".389",baseball,2026-05-24
227,"Southern",".431","26-23-0",".558",baseball,2026-05-24
228,"Bowling Green",".431","17-34-0",".352",baseball,2026-05-24
229,"UT Martin",".431","25-29-0",".473",baseball,2026-05-24
230,"Georgetown",".431","28-28-0",".500",baseball,2026-05-24
231,"Marist",".429","25-30-0",".455",baseball,2026-05-24
232,"Milwaukee",".428","25-31-0",".446",baseball,2026-05-24
233,"Fordham",".427","25-30-0",".455",baseball,2026-05-24
234,"Villanova",".427","19-30-0",".388",baseball,2026-05-24
235,"UMBC",".424","29-24-0",".547",baseball,2026-05-24
236,"Pacific",".423","24-30-1",".445",baseball,2026-05-24
237,"Princeton",".422","15-27-0",".357",baseball,2026-05-24
238,"Central Michigan",".422","22-29-0",".442",baseball,2026-05-24
239,"UNC Asheville",".421","21-34-0",".382",baseball,2026-05-24
240,"Brown",".420","23-20-0",".535",baseball,2026-05-24
241,"Saint Louis",".419","20-34-0",".370",baseball,2026-05-24
242,"Loyola Marymount",".418","12-44-0",".214",baseball,2026-05-24
243,"Canisius",".417","21-26-0",".438",baseball,2026-05-24
244,"Queens (NC)",".416","16-38-0",".296",baseball,2026-05-24
245,"UC Riverside",".416","15-37-0",".288",baseball,2026-05-24
246,"Presbyterian",".414","12-44-0",".214",baseball,2026-05-24
247,"North Dakota State",".414","13-32-0",".289",baseball,2026-05-24
248,"Utah Valley",".413","15-35-0",".333",baseball,2026-05-24
249,"West Georgia",".413","13-41-0",".241",baseball,2026-05-24
250,"Cornell",".412","11-26-0",".297",baseball,2026-05-24
251,"Butler",".412","20-34-0",".370",baseball,2026-05-24
252,"Seattle",".412","16-31-0",".367",baseball,2026-05-24
253,"La Salle",".412","24-31-0",".436",baseball,2026-05-24
254,"Eastern Kentucky",".412","17-37-0",".327",baseball,2026-05-24
255,"Northern Kentucky",".410","24-30-0",".455",baseball,2026-05-24
256,"Quinnipiac",".408","23-27-0",".460",baseball,2026-05-24
257,"Fresno State",".407","14-38-1",".274",baseball,2026-05-24
258,"Sacred Heart",".407","17-32-0",".347",baseball,2026-05-24
259,"Bellarmine",".407","19-34-0",".358",baseball,2026-05-24
260,"Western Illinois",".406","15-36-0",".321",baseball,2026-05-24
261,"UMass",".406","18-29-0",".383",baseball,2026-05-24
262,"Akron",".405","20-34-0",".382",baseball,2026-05-24
263,"Towson",".405","22-32-0",".407",baseball,2026-05-24
264,"Jackson State",".404","23-27-0",".491",baseball,2026-05-24
265,"George Washington",".404","18-35-0",".340",baseball,2026-05-24
266,"North Carolina A&T",".404","14-38-0",".269",baseball,2026-05-24
267,"Long Island",".403","29-20-0",".592",baseball,2026-05-24
268,"Harvard",".403","11-26-0",".297",baseball,2026-05-24
269,"Arkansas-Pine Bluff",".403","24-34-0",".414",baseball,2026-05-24
270,"Lehigh",".402","14-31-0",".326",baseball,2026-05-24
271,"UMass Lowell",".402","21-31-0",".404",baseball,2026-05-24
272,"Fairleigh Dickinson",".400","34-19-1",".639",baseball,2026-05-24
273,"South Dakota State",".400","20-31-0",".436",baseball,2026-05-24
274,"Merrimack",".400","27-29-0",".482",baseball,2026-05-24
275,"Seton Hall",".399","16-30-0",".348",baseball,2026-05-24
276,"Grambling",".395","21-31-0",".396",baseball,2026-05-24
277,"NJIT",".395","16-31-1",".344",baseball,2026-05-24
278,"Northern Colorado",".395","17-38-0",".309",baseball,2026-05-24
279,"St. Bonaventure",".395","13-36-1",".270",baseball,2026-05-24
280,"Wagner",".394","29-24-0",".547",baseball,2026-05-24
281,"Mount St. Mary's",".393","22-26-0",".458",baseball,2026-05-24
282,"Ohio",".392","11-43-0",".204",baseball,2026-05-24
283,"Youngstown State",".391","15-39-0",".278",baseball,2026-05-24
284,"Texas Southern",".391","20-23-0",".467",baseball,2026-05-24
285,"Valparaiso",".390","12-38-0",".240",baseball,2026-05-24
286,"Le Moyne",".389","22-26-0",".458",baseball,2026-05-24
287,"Dartmouth",".389","15-25-0",".375",baseball,2026-05-24
288,"St. Thomas (MN)",".386","12-38-0",".240",baseball,2026-05-24
289,"Stonehill",".386","21-28-0",".429",baseball,2026-05-24
290,"Bradley",".385","11-45-0",".196",baseball,2026-05-24
291,"Iona",".383","19-28-0",".404",baseball,2026-05-24
292,"Lafayette",".383","12-33-0",".267",baseball,2026-05-24
293,"Mercyhurst",".378","15-32-0",".319",baseball,2026-05-24
294,"Albany",".378","15-34-0",".306",baseball,2026-05-24
295,"Oakland",".378","12-42-0",".236",baseball,2026-05-24
296,"Siena",".376","20-30-0",".400",baseball,2026-05-24
297,"Manhattan",".374","20-31-0",".392",baseball,2026-05-24
298,"Norfolk State",".362","19-31-0",".392",baseball,2026-05-24
299,"New Haven",".361","12-33-0",".283",baseball,2026-05-24
300,"Prairie View",".357","12-35-0",".280",baseball,2026-05-24
301,"Central Connecticut",".348","17-27-0",".386",baseball,2026-05-24
302,"Mississippi Valley",".339","12-36-0",".250",baseball,2026-05-24
303,"Alcorn State",".334","4-42-0",".176",baseball,2026-05-24
304,"Coppin State",".331","11-37-0",".229",baseball,2026-05-24
305,"Alabama A&M",".322","7-44-0",".185",baseball,2026-05-24
306,"Saint Peter's",".319","5-47-0",".096",baseball,2026-05-24
307,"Delaware State",".318","8-42-0",".160",baseball,2026-05-24
308,"UMES",".317","9-39-0",".188",baseball,2026-05-24
