id,school_id,State,education,avg_port_add_2years,avg_port_add_2years_rank,avg_port_loss_2years,avg_port_loss_2years_rank,portal_ab,portal_ab_rank,portal_ip,portal_ip_rank,AB50_player_year_C,AB50_player_year_rank_C,AB50_player_year_1B,AB50_player_year_rank_1B,AB50_player_year_2B,AB50_player_year_rank_2B,AB50_player_year_SS,AB50_player_year_rank_SS,AB50_player_year_3B,AB50_player_year_rank_3B,AB50_player_year_LF,AB50_player_year_rank_LF,AB50_player_year_CF,AB50_player_year_rank_CF,AB50_player_year_RF,AB50_player_year_rank_RF,IP20_player_year,IP20_player_year_rank,Coach_2yr_win_percentage,3yr_wOBA,3yr_OPS,3yr_wRAA,3yr_k_bb,3yr_ISO,3yr_xFIP,3yr_WHIP,3yr_K_BB,3yr_A_OPS,3yr_BB_Per,3yr_K_percentage
640,652,25,,0.5,0.097,0.5,0.1148,1.666666667,0.0223,0,0,0,0,0.972972973,0.1535,0,0,3,0.823,0,0,2,0.6634,0.975609756,0.1429,1.386861314,0.3194,0,0,0.536,0.692866667,0.6929,0.686266667,0.360966667,0.605866667,0.413566667,0.351733333,0.380333333,0.474633333,0.255766667,0.6149
641,653,39,,3.5,0.9611,2.5,0.9338,212.6666667,0.9921,15,0.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536,0.572466667,0.571566667,0.533,0.434333333,0.506033333,0.576033333,0.4761,0.6566,0.474233333,0.5786,0.707066667
642,654,36,,6,0.9451,2,0.5574,291.3333333,0.9152,72.77766667,0.9367,1.576923077,0.4877,4,1,2,0.665,2,0.6106,2,0.5913,1.153153153,0.3366,1.720430108,0.4516,1.915384615,0.4764,1.057268722,0.9615,0.546,0.549,0.5464,0.5374,0.783866667,0.4886,0.656733333,0.767266667,0.722166667,0.692233333,0.7265,0.601866667
643,655,9,,5.5,0.9072,4,0.8852,388.6666667,0.9598,25.889,0.5611,2.6,0.8395,0.752293578,0.0558,4,1,3,0.823,3.536842105,0.8846,2,0.6634,1.901234568,0.47,0.806451613,0.0576,0,0,0.544,0.5671,0.557866667,0.556833333,0.652733333,0.673166667,0.647333333,0.8518,0.661566667,0.8715,0.779933333,0.483166667
644,656,14,,0,0,2,0.8971,0,0,0,0,0,0,0,0,0,0,1,0.2054,4,1,1.348837209,0.2246,3,0.7673,2,0.4755,0,0,0.833,0.677133333,0.698133333,0.684033333,0.522033333,0.762833333,0.555333333,0.510966667,0.594766667,0.4408,0.574966667,0.566766667
645,657,38,,0,0,3,0.9669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307,0.1588,0.1474,0.162366667,0.3362,0.0704,0.024466667,0.126133333,0.025,0.191466667,0.1293,0.020633333
646,658,30,,5,0.9922,1,0.6691,72.33333333,0.7352,52.66633333,0.9951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703,0.902833333,0.894066667,0.887866667,0.787966667,0.865333333,0.855266667,0.829066667,0.8722,0.792766667,0.864033333,0.769933333
647,659,32,,4,0.9844,0.5,0.4044,77.66666667,0.7708,19.333,0.7756,0,0,1.402597403,0.2038,0,0,3.924528302,0.8432,0,0,0.931034483,0.0797,0,0,0,0,0.527943284,0.9167,1,0.728366667,0.708233333,0.722266667,0.674933333,0.580933333,0.518166667,0.5814,0.5225,0.6646,0.4516,0.5831
648,660,30,0.6353,11,0.9732,9,0.9243,444.6666667,0.8763,106.1106667,0.8851,4,1,3,0.8065,0,0,2,0.4875,3,0.8148,1.838709677,0.4071,3,0.8165,3,0.8101,0.706950246,0.7698,0.639,0.5486,0.556233333,0.538633333,0.733833333,0.380033333,0.682466667,0.6534,0.580166667,0.749,0.435866667,0.698566667
649,661,30,,2.5,0.8833,1,0.6691,97.66666667,0.8458,21,0.7902,0,0,0,0,2.873239437,0.6944,1.868852459,0.2649,0,0,0,0,4,1,0,0,0,0,0.541,0.3703,0.3668,0.348433333,0.536033333,0.292166667,0.8877,0.776433333,0.8454,0.710733333,0.806633333,0.7492
650,662,30,,0.5,0.3541,0.5,0.4044,3.333333333,0.0751,0,0,0,0,0,0,0.857142857,0.0764,3.666666667,0.8054,0.95,0.1391,0,0,0,0,0,0,0,0,0.436,0.549066667,0.563933333,0.546366667,0.313233333,0.626233333,0.119633333,0.202866667,0.0984,0.244933333,0.097733333,0.2255
651,663,5,0.2559,4.5,0.4682,3,0.2105,178.6666667,0.378,43.33333333,0.402,2.424242424,0.589,1.611111111,0.2724,3,0.8447,2.380165289,0.5267,3,0.8148,3,0.8577,1,0.1798,1,0.2481,0.69266843,0.7554,0.513,0.307466667,0.290066667,0.2762,0.2414,0.3,0.814333333,0.866333333,0.8945,0.822966667,0.958933333,0.647466667
652,664,7,0.7176,3.5,0.3579,3.5,0.2599,49.66666667,0.0722,49.222,0.4899,0,0,3,0.8065,0,0,3,0.8826,3,0.8148,3.188405797,0.8775,3,0.8165,0.61627907,0.0465,0,0,0.514,0.3209,0.318733333,0.320733333,0.4581,0.359733333,0.169733333,0.406866667,0.177066667,0.541533333,0.3142,0.129166667
653,665,22,,0,0,1,0.2705,0,0,0,0,2.816901408,0.9321,2.133858268,0.614,2.37,0.7094,0,0,3,0.8413,2.865671642,0.8049,2.483606557,0.6959,0,0,0,0,0.611,0.569566667,0.567,0.5734,0.711566667,0.3665,0.760733333,0.757466667,0.695,0.804466667,0.4045,0.833233333
654,666,30,,1,0.5292,1.5,0.8088,72,0.7312,0.777666667,0.0878,0,0,2.886792453,0.6178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.223733333,0.220233333,0.220066667,0.377633333,0.205266667,0.0976,0.1117,0.116233333,0.1606,0.055166667,0.3009
655,667,23,,0.5,0.3541,0.5,0.4044,6.333333333,0.1265,8.444333333,0.4634,1.292682927,0.2385,0,0,2,0.5556,1,0.2054,4,1,0,0,3,0.7673,2,0.4755,0,0,0.667,0.7165,0.726133333,0.6956,0.359033333,0.845566667,0.860433333,0.9075,0.836333333,0.898866667,0.884966667,0.708733333
