sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
baseball,2026-04-10,UCLA,Big Ten,30-2,1.0,1.0,0.5905168271212711,1,44-10,0.9642,1,1-seed,1.0,True,,1.0
baseball,2026-04-10,Texas,SEC,27-5,0.99351,3.0,0.5763129284024089,2,40-14,0.987,2,1-seed,2.0,False,,0.75
baseball,2026-04-10,Alabama,SEC,26-8,0.99675,2.0,0.5751348674896533,3,38-17,0.8762,3,1-seed,3.0,False,,0.6666666666666666
baseball,2026-04-10,Georgia Tech,ACC,27-5,0.98052,7.0,0.5683184145625073,4,40-14,0.9967,4,1-seed,4.0,True,,0.8
baseball,2026-04-10,Florida St.,ACC,24-8,0.99026,4.0,0.5632275915540333,5,37-18,0.9805,5,1-seed,5.0,False,,0.75
baseball,2026-04-10,North Carolina,ACC,28-5,0.96753,11.0,0.5643693177190563,6,41-15,0.9349,6,1-seed,6.0,False,,0.7333333333333333
baseball,2026-04-10,Auburn,SEC,22-10,0.98701,5.0,0.5739438433270576,7,34-20,0.9609,7,1-seed,7.0,False,,0.5
baseball,2026-04-10,Mississippi St.,SEC,26-7,0.96429,12.0,0.5584301759801102,8,38-17,1.0,8,1-seed,8.0,False,,0.5833333333333334
baseball,2026-04-10,Florida,SEC,25-9,0.98377,6.0,0.5623834047402437,9,36-20,0.9674,9,1-seed,9.0,False,,0.5833333333333334
baseball,2026-04-10,Oregon St.,Independent,25-7,0.97403,9.0,0.5652901250569573,10,40-15,0.9707,10,1-seed,10.0,False,,0.0
baseball,2026-04-10,Southern California,Big Ten,27-7,0.97078,10.0,0.5695227723515348,11,40-16,0.9153,11,1-seed,11.0,False,,0.6666666666666666
baseball,2026-04-10,Texas A&M,SEC,25-7,0.9513,16.0,0.5606094062339017,12,37-17,0.9283,12,1-seed,12.0,False,,0.5833333333333334
baseball,2026-04-10,Ole Miss,SEC,23-11,0.96104,13.0,0.5615433501226784,13,35-21,0.9446,13,1-seed,13.0,False,,0.4166666666666667
