sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
softball,2026-05-04,Oklahoma,SEC,46-7,0.6775,6,0.624305255799705,1,48-7,0.9935,1,1-seed,1.0,True,,0.8181818181818182
softball,2026-05-04,Alabama,SEC,46-6,0.69238,2,0.6192798197857393,2,47-8,0.9577,2,1-seed,2.0,False,,0.782608695652174
softball,2026-05-04,Nebraska,Big Ten,40-6,0.69114,4,0.6377265216220939,3,42-8,0.9446,3,1-seed,3.0,True,,0.9523809523809523
softball,2026-05-04,Arkansas,SEC,41-9,0.69952,1,0.6242444140245914,4,40-13,0.9772,4,1-seed,4.0,False,,0.6521739130434783
softball,2026-05-04,Florida,SEC,47-8,0.68864,5,0.6278398152009987,5,47-9,1.0,5,1-seed,5.0,False,,0.7391304347826086
softball,2026-05-04,Texas,SEC,38-10,0.69218,3,0.6234788806921343,6,40-10,0.9544,6,1-seed,6.0,False,,0.6521739130434783
softball,2026-05-04,UCLA,Big Ten,44-6,0.66956,7,0.6321514029364353,7,46-6,0.9805,7,1-seed,7.0,False,,0.8636363636363636
softball,2026-05-04,Tennessee,SEC,42-8,0.66823,8,0.6148306122301591,8,41-10,0.9479,8,1-seed,8.0,False,,0.6956521739130435
softball,2026-05-04,Texas Tech,Big 12,49-5,0.65273,12,0.6096618462011392,9,50-7,0.9967,9,1-seed,9.0,True,,0.8695652173913043
softball,2026-05-04,Oregon,Big Ten,39-10,0.66596,9,0.600726836724313,10,39-14,0.9153,10,1-seed,10.0,False,,0.8636363636363636
softball,2026-05-04,Florida St.,ACC,44-8,0.65149,13,0.5919447809732514,11,45-10,0.9837,11,1-seed,11.0,True,,0.8636363636363636
softball,2026-05-04,LSU,SEC,35-16,0.65501,10,0.5882020654076402,12,36-17,0.8697,12,1-seed,12.0,False,,0.5
softball,2026-05-04,Duke,ACC,38-13,0.65396,11,0.590917113673062,13,38-14,0.9674,13,1-seed,13.0,False,,0.8333333333333334
softball,2026-05-04,Texas A&M,SEC,36-14,0.64704,16,0.5793001566679874,14,36-19,0.987,14,1-seed,14.0,False,,0.7272727272727273
softball,2026-05-04,Oklahoma St.,Big 12,36-13,0.64853,15,0.5950605474023427,15,37-16,0.8567,15,1-seed,15.0,False,,0.6818181818181818
softball,2026-05-04,Georgia,SEC,35-17,0.64989,14,0.5865505943748859,16,35-18,0.9739,16,1-seed,16.0,False,,0.4782608695652174
softball,2026-05-04,Virginia Tech,ACC,42-9,0.63141,20,0.5674631800373435,17,43-12,0.9902,17,2-seed,,False,,0.7272727272727273
softball,2026-05-04,Mississippi St.,SEC,37-16,0.63861,18,0.587606736947312,18,37-18,0.8925,18,2-seed,,False,,0.391304347826087
softball,2026-05-04,Arizona,Big 12,35-13,0.63636,19,0.5927724339602563,19,36-14,0.9283,19,2-seed,,False,,0.7272727272727273
softball,2026-05-04,UCF,Big 12,37-14,0.62909,21,0.5744050883038851,20,38-16,0.9349,20,2-seed,,False,,0.6190476190476191
softball,2026-05-04,Washington,Big Ten,34-16,0.60965,27,0.5859248472465306,21,36-16,0.9251,21,2-seed,,False,,0.6818181818181818
softball,2026-05-04,Stanford,ACC,36-12,0.64148,17,0.5626440330292445,22,35-16,0.9381,22,2-seed,,False,,0.75
softball,2026-05-04,Clemson,ACC,32-19,0.62458,23,0.5672242320428748,23,32-20,0.9316,23,2-seed,,False,,0.5416666666666666
softball,2026-05-04,Ole Miss,SEC,31-23,0.62854,22,0.5755770052864551,24,32-23,0.8436,24,2-seed,,False,,0.21739130434782608
softball,2026-05-04,Arizona St.,Big 12,37-16,0.61984,24,0.5618164816317354,25,37-18,0.886,25,2-seed,,False,,0.43478260869565216
softball,2026-05-04,Grand Canyon,Mountain West,47-7,0.60317,29,0.5711756021994137,26,47-8,0.9218,26,2-seed,,True,,0.8333333333333334
softball,2026-05-04,South Carolina,SEC,30-24,0.61759,25,0.5658887585703445,27,31-24,0.873,27,2-seed,,False,,0.30434782608695654
softball,2026-05-04,Southeastern La.,Southland,45-12,0.5932,32,0.5709214419844149,28,44-12,0.9414,28,2-seed,,True,,0.8888888888888888
softball,2026-05-04,Marshall,Sun Belt,37-15,0.60629,28,0.5707559705580576,29,38-17,0.9511,29,2-seed,,False,,0.7391304347826086
softball,2026-05-04,Virginia,ACC,37-12,0.61062,26,0.5427322101840035,30,37-16,0.8893,30,2-seed,,False,,0.5652173913043478
softball,2026-05-04,Indiana,Big Ten,39-13,0.58683,37,0.5569255841428682,31,40-15,0.9707,31,2-seed,,False,,0.6818181818181818
softball,2026-05-04,Louisville,ACC,42-10,0.60184,30,0.5515520031036358,32,43-13,0.9609,32,2-seed,,False,,0.7727272727272727
softball,2026-05-04,Omaha,Summit League,33-10,0.5801,44,0.5592131769603088,33,34-12,0.8013,33,3-seed,,True,,0.875
softball,2026-05-04,Northwestern,Big Ten,28-19,0.58076,43,0.551524738075019,34,29-21,0.9023,34,3-seed,,False,,0.6818181818181818
softball,2026-05-04,Kansas,Big 12,33-17,0.58427,40,0.5394210966109851,35,34-21,0.9186,35,3-seed,,False,,0.5909090909090909
softball,2026-05-04,Michigan,Big Ten,31-19,0.58282,41,0.5546699617928852,36,32-21,0.8599,36,3-seed,,False,last_in,0.4090909090909091
softball,2026-05-04,Texas St.,Sun Belt,36-19,0.59936,31,0.5381382949138933,37,36-22,0.8046,37,3-seed,,False,last_in,0.6666666666666666
softball,2026-05-04,Jacksonville St.,CUSA,40-13,0.58656,38,0.5532770022481184,38,41-14,0.8078,38,3-seed,,True,,0.88
softball,2026-05-04,Auburn,SEC,25-25,0.59204,35,0.5498280522313067,39,26-27,0.8502,39,3-seed,,False,last_in,0.18181818181818182
softball,2026-05-04,Missouri,SEC,27-28,0.58632,39,0.5457152556687714,40,28-30,0.8339,40,3-seed,,False,last_in,0.34782608695652173
softball,2026-05-04,South Fla.,American,39-15,0.59269,33,0.5514112979775718,42,39-16,0.8143,41,3-seed,,True,,0.7692307692307693
softball,2026-05-04,Belmont,MVC,36-11,0.58195,42,0.5490959369381141,46,39-13,0.8632,42,3-seed,,True,,0.8076923076923077
softball,2026-05-04,ULM,Sun Belt,35-19,0.57959,46,0.5499008950305386,48,36-20,0.7655,43,3-seed,,True,,0.7727272727272727
softball,2026-05-04,Cal St. Fullerton,Big West,35-12,0.56553,56,0.5301906298655579,51,37-15,0.7785,44,3-seed,,True,,0.9166666666666666
