sport,snapshot_date,name,display_conference,record_str,rpi,rpi_rank,projected_rpi,projected_rpi_rank,proj_record_str,sixty_four_rank,overall_seed,seed_tier,national_seed,is_auto_bid,bubble_status,conf_win_pct
softball,2026-05-09,Alabama,SEC,47-6,0.6941,2,0.6439014879272889,1,48-6,0.9674,1,1-seed,1.0,False,,0.7916666666666666
softball,2026-05-09,Nebraska,Big Ten,43-6,0.69171,3,0.6531460248458054,2,44-6,0.9544,2,1-seed,2.0,True,,0.9583333333333334
softball,2026-05-09,Arkansas,SEC,42-10,0.69988,1,0.6486504485477569,3,42-11,0.9805,3,1-seed,3.0,False,,0.625
softball,2026-05-09,Oklahoma,SEC,48-7,0.67336,6,0.6301077183730083,4,48-8,0.9935,4,1-seed,4.0,True,,0.8333333333333334
softball,2026-05-09,Florida,SEC,47-9,0.68983,4,0.6330449158662022,5,48-10,0.9967,5,1-seed,5.0,False,,0.7083333333333334
softball,2026-05-09,Texas,SEC,39-10,0.68945,5,0.6386998197923097,6,40-10,0.9609,6,1-seed,6.0,False,,0.6666666666666666
softball,2026-05-09,UCLA,Big Ten,45-7,0.67132,7,0.6356277670509847,7,46-8,0.9707,7,1-seed,7.0,False,,0.8333333333333334
softball,2026-05-09,Tennessee,SEC,42-10,0.66311,8,0.6244468908680201,8,42-10,0.9414,8,1-seed,8.0,False,,0.6666666666666666
softball,2026-05-09,Texas Tech,Big 12,50-5,0.65148,14,0.6196539994761503,9,52-6,1.0,9,1-seed,9.0,True,,0.875
softball,2026-05-09,Oregon,Big Ten,40-11,0.66039,9,0.6240123685388717,10,40-12,0.9446,10,1-seed,10.0,False,,0.8333333333333334
softball,2026-05-09,Florida St.,ACC,46-8,0.65395,12,0.611051841910494,11,48-8,0.9837,11,1-seed,11.0,True,,0.875
softball,2026-05-09,Georgia,SEC,37-17,0.65424,11,0.6043430507179479,12,38-18,0.9772,12,1-seed,12.0,False,,0.5
softball,2026-05-09,Texas A&M,SEC,36-17,0.63959,17,0.60251675882442,13,36-17,0.987,13,1-seed,13.0,False,,0.6666666666666666
softball,2026-05-09,Oklahoma St.,Big 12,37-14,0.65227,13,0.6128582671180935,14,38-14,0.8404,14,1-seed,14.0,False,,0.6666666666666666
softball,2026-05-09,Virginia Tech,ACC,44-9,0.63425,19,0.5982378199127332,15,46-10,0.9902,15,1-seed,15.0,False,,0.75
softball,2026-05-09,Duke,ACC,38-13,0.65555,10,0.6097479480575798,16,40-14,0.9479,16,1-seed,16.0,False,,0.8333333333333334
softball,2026-05-09,LSU,SEC,37-17,0.64948,15,0.5980540025060692,17,37-17,0.899,17,2-seed,,False,,0.5416666666666666
